Tale,Characters,TaleOccurrenceFrequency,RelationFrequency
17. Die weiße Schlange .,"Wasser, Fisch",1,6
17. Die weiße Schlange .,"Welt, Jüngling",1,2
17. Die weiße Schlange .,"Freier, König",1,4
17. Die weiße Schlange .,"Welt, Weile",1,1
17. Die weiße Schlange .,"Freier, Jüngling",1,2
17. Die weiße Schlange .,"Mund, Fuß",1,1
17. Die weiße Schlange .,"Pferd, Königstochter",1,2
17. Die weiße Schlange .,"Kammer, Zeit",1,1
17. Die weiße Schlange .,"Wasser, Pferd",1,1
17. Die weiße Schlange .,"Mensch, Diener",1,1
17. Die weiße Schlange .,"Weg, Bein",1,5
17. Die weiße Schlange .,"Welt, Diener",1,3
17. Die weiße Schlange .,"Tier, Sprache",1,6
17. Die weiße Schlange .,"Gnade, Diener",1,1
17. Die weiße Schlange .,"Welt, Königstochter",1,1
17. Die weiße Schlange .,"Hand, Apfel",1,2
17. Die weiße Schlange .,"König, Königstochter",1,20
17. Die weiße Schlange .,"Nacht, Sack",1,1
17. Die weiße Schlange .,"Königstochter, Apfel",1,1
17. Die weiße Schlange .,"König, Mensch",1,6
17. Die weiße Schlange .,"Rabe, Baum",1,1
17. Die weiße Schlange .,"Wasser, Tag",1,4
17. Die weiße Schlange .,"Königin, Tag",1,9
17. Die weiße Schlange .,"Wasser, Ente",1,3
17. Die weiße Schlange .,"Aufgabe, Pferd",1,1
17. Die weiße Schlange .,"Bein, Leben",1,2
17. Die weiße Schlange .,"Welt, Apfel",1,1
17. Die weiße Schlange .,"Weg, Leute",1,2
17. Die weiße Schlange .,"Wasser, Weg",1,3
17. Die weiße Schlange .,"Pferd, Leute",1,2
17. Die weiße Schlange .,"Weg, Tag",1,11
17. Die weiße Schlange .,"Wald, Feld",1,4
17. Die weiße Schlange .,"Herz, Apfel",1,1
17. Die weiße Schlange .,"Sperling, Wald",1,1
17. Die weiße Schlange .,"Freude, Kopf",1,1
17. Die weiße Schlange .,"Aufgabe, Jüngling",1,1
17. Die weiße Schlange .,"Herz, Glück",1,3
17. Die weiße Schlange .,"Ring, Jüngling",1,1
17. Die weiße Schlange .,"Fisch, Leben",1,1
17. Die weiße Schlange .,"Pferd, Weile",1,1
17. Die weiße Schlange .,"Jüngling, Fuß",1,1
17. Die weiße Schlange .,"Aufgabe, Baum",1,1
17. Die weiße Schlange .,"Pferd, Leben",1,3
17. Die weiße Schlange .,"Ring, König",1,6
17. Die weiße Schlange .,"Freude, König",1,17
17. Die weiße Schlange .,"Garten, Königstochter",1,1
17. Die weiße Schlange .,"Rabe, Welt",1,2
17. Die weiße Schlange .,"Sperling, Feld",1,1
17. Die weiße Schlange .,"Kind, Junge",1,2
"18. Strohhalm , Kohle und Bohne .","Strohhalm, Kohle",4,4
"18. Strohhalm , Kohle und Bohne .","Strohhalm, Bohne",2,2
"18. Strohhalm , Kohle und Bohne .","Stroh, Feuer",2,2
"18. Strohhalm , Kohle und Bohne .","Bohne, Kohle",2,2
"18. Strohhalm , Kohle und Bohne .","Topf, Bohne",2,2
"18. Strohhalm , Kohle und Bohne .","Bruder, Alte",1,2
"18. Strohhalm , Kohle und Bohne .","Bruder, Bohne",1,1
"18. Strohhalm , Kohle und Bohne .","Schneider, Bach",1,1
"18. Strohhalm , Kohle und Bohne .","Alte, Bohne",1,1
"18. Strohhalm , Kohle und Bohne .","Asche, Stroh",1,1
"18. Strohhalm , Kohle und Bohne .","Schneider, Glück",1,1
"18. Strohhalm , Kohle und Bohne .","Topf, Herd",1,1
"18. Strohhalm , Kohle und Bohne .","Stück, Geist",1,1
"18. Strohhalm , Kohle und Bohne .","Asche, Topf",1,1
"18. Strohhalm , Kohle und Bohne .","Land, Bohne",1,1
"18. Strohhalm , Kohle und Bohne .","Topf, Feuer",1,3
"18. Strohhalm , Kohle und Bohne .","Feuer, Bohne",1,1
"18. Strohhalm , Kohle und Bohne .","Stück, Strohhalm",1,1
"18. Strohhalm , Kohle und Bohne .","Brücke, Strohhalm",1,2
"18. Strohhalm , Kohle und Bohne .","Feuer, Hand",1,5
"18. Strohhalm , Kohle und Bohne .","Stroh, Hand",1,1
"18. Strohhalm , Kohle und Bohne .","Bohne, Tod",1,1
"18. Strohhalm , Kohle und Bohne .","Asche, Bruder",1,2
"18. Strohhalm , Kohle und Bohne .","Topf, Kohle",1,2
"18. Strohhalm , Kohle und Bohne .","Brücke, Bach",1,3
"18. Strohhalm , Kohle und Bohne .","Wasser, Bach",1,3
"18. Strohhalm , Kohle und Bohne .","Stück, Kohle",1,1
"18. Strohhalm , Kohle und Bohne .","Geselle, Bohne",1,1
"18. Strohhalm , Kohle und Bohne .","Stroh, Herd",1,1
"18. Strohhalm , Kohle und Bohne .","Bruder, Leben",1,4
"18. Strohhalm , Kohle und Bohne .","Herd, Bohne",1,1
"18. Strohhalm , Kohle und Bohne .","Stroh, Leben",1,2
"18. Strohhalm , Kohle und Bohne .","Geist, Bach",1,1
"18. Strohhalm , Kohle und Bohne .","Wasser, Strohhalm",1,2
"18. Strohhalm , Kohle und Bohne .","Wasser, Stück",1,1
"18. Strohhalm , Kohle und Bohne .","Geist, Kohle",1,1
"18. Strohhalm , Kohle und Bohne .","Zeit, Bohne",1,1
"18. Strohhalm , Kohle und Bohne .","Herd, Strohhalm",1,1
"18. Strohhalm , Kohle und Bohne .","Asche, Leben",1,1
"18. Strohhalm , Kohle und Bohne .","Feuer, Herd",1,4
"18. Strohhalm , Kohle und Bohne .","Stroh, Bohne",1,1
"18. Strohhalm , Kohle und Bohne .","Hand, Herd",1,1
"18. Strohhalm , Kohle und Bohne .","Geselle, Land",1,1
"18. Strohhalm , Kohle und Bohne .","Geselle, Tod",1,1
"18. Strohhalm , Kohle und Bohne .","Feuer, Alte",1,4
"18. Strohhalm , Kohle und Bohne .","Feuer, Tod",1,3
"18. Strohhalm , Kohle und Bohne .","Strohhalm, Bach",1,2
"18. Strohhalm , Kohle und Bohne .","Asche, Bohne",1,1
"18. Strohhalm , Kohle und Bohne .","Stroh, Topf",1,1
"18. Strohhalm , Kohle und Bohne .","Land, Tod",1,2
"18. Strohhalm , Kohle und Bohne .","Topf, Strohhalm",1,1
"18. Strohhalm , Kohle und Bohne .","Frau, Bohne",1,1
"18. Strohhalm , Kohle und Bohne .","Feuer, Leben",1,2
"18. Strohhalm , Kohle und Bohne .","Wasser, Geist",1,2
"18. Strohhalm , Kohle und Bohne .","Feuer, Bruder",1,4
"18. Strohhalm , Kohle und Bohne .","Bach, Glück",1,1
"18. Strohhalm , Kohle und Bohne .","Finger, Kohle",1,1
"18. Strohhalm , Kohle und Bohne .","Brücke, Kohle",1,1
"18. Strohhalm , Kohle und Bohne .","Tod, Kohle",1,1
"18. Strohhalm , Kohle und Bohne .","Stroh, Alte",1,1
"18. Strohhalm , Kohle und Bohne .","Tod, Glück",1,2
"18. Strohhalm , Kohle und Bohne .","Topf, Alte",1,1
"18. Strohhalm , Kohle und Bohne .","Stück, Bach",1,1
"18. Strohhalm , Kohle und Bohne .","Feuer, Kohle",1,3
"18. Strohhalm , Kohle und Bohne .","Asche, Alte",1,1
"18. Strohhalm , Kohle und Bohne .","Leben, Alte",1,2
"18. Strohhalm , Kohle und Bohne .","Leben, Bohne",1,1
"18. Strohhalm , Kohle und Bohne .","Wasser, Kohle",1,2
"18. Strohhalm , Kohle und Bohne .","Stroh, Bruder",1,1
"18. Strohhalm , Kohle und Bohne .","Topf, Leben",1,1
"18. Strohhalm , Kohle und Bohne .","Herd, Kohle",1,1
"18. Strohhalm , Kohle und Bohne .","Geist, Strohhalm",1,1
"18. Strohhalm , Kohle und Bohne .","Kohle, Glück",1,1
"18. Strohhalm , Kohle und Bohne .","Kohle, Bach",1,1
"18. Strohhalm , Kohle und Bohne .","Asche, Feuer",1,3
"18. Strohhalm , Kohle und Bohne .","Feuer, Glück",1,1
"18. Strohhalm , Kohle und Bohne .","Topf, Bruder",1,1
19. Von dem Fischer un syner Fru .,"Frau, De",34,52
19. Von dem Fischer un syner Fru .,"De, Mann",31,43
19. Von dem Fischer un syner Fru .,"Frau, Mann",21,70
19. Von dem Fischer un syner Fru .,"De, Butt",21,21
19. Von dem Fischer un syner Fru .,"De, Ik",14,23
19. Von dem Fischer un syner Fru .,"He, De",12,20
19. Von dem Fischer un syner Fru .,"Mann, Ik",12,14
19. Von dem Fischer un syner Fru .,"Butt, Mann",12,12
19. Von dem Fischer un syner Fru .,"De, Wöör",11,21
19. Von dem Fischer un syner Fru .,"De, See",11,11
19. Von dem Fischer un syner Fru .,"Frau, Ik",10,13
19. Von dem Fischer un syner Fru .,"He, Frau",9,14
19. Von dem Fischer un syner Fru .,"Butt, Ik",8,8
19. Von dem Fischer un syner Fru .,"Frau, Butt",8,8
19. Von dem Fischer un syner Fru .,"He, Mann",7,9
19. Von dem Fischer un syner Fru .,"Frau, See",7,7
19. Von dem Fischer un syner Fru .,"Frau, Ehre",7,16
19. Von dem Fischer un syner Fru .,"De, Ehre",7,20
19. Von dem Fischer un syner Fru .,"De, Awerst",7,17
19. Von dem Fischer un syner Fru .,"De, Kaiser",6,6
19. Von dem Fischer un syner Fru .,"Frau, Kaiser",6,6
19. Von dem Fischer un syner Fru .,"Frau, Awerst",6,12
19. Von dem Fischer un syner Fru .,"He, Ik",6,8
19. Von dem Fischer un syner Fru .,"Wöör, Mann",5,7
19. Von dem Fischer un syner Fru .,"Kaiser, Ik",5,5
19. Von dem Fischer un syner Fru .,"Frau, Papst",5,5
19. Von dem Fischer un syner Fru .,"König, Mann",5,30
19. Von dem Fischer un syner Fru .,"He, Kaiser",5,5
19. Von dem Fischer un syner Fru .,"De, Papst",5,5
19. Von dem Fischer un syner Fru .,"Awerst, Mann",5,7
19. Von dem Fischer un syner Fru .,"Frau, Wöör",5,11
19. Von dem Fischer un syner Fru .,"Kaiser, Mann",5,5
19. Von dem Fischer un syner Fru .,"König, De",5,5
19. Von dem Fischer un syner Fru .,"Papst, Mann",4,4
19. Von dem Fischer un syner Fru .,"Papst, Ik",4,4
19. Von dem Fischer un syner Fru .,"He, Butt",4,4
19. Von dem Fischer un syner Fru .,"Hand, Ehre",4,5
19. Von dem Fischer un syner Fru .,"De, Glück",4,4
19. Von dem Fischer un syner Fru .,"Frau, König",4,35
19. Von dem Fischer un syner Fru .,"Mann, Glück",4,6
19. Von dem Fischer un syner Fru .,"Ga, De",4,4
19. Von dem Fischer un syner Fru .,"Ehre, Wöör",4,12
19. Von dem Fischer un syner Fru .,"De, Bett",4,5
19. Von dem Fischer un syner Fru .,"Frau, Glück",4,7
19. Von dem Fischer un syner Fru .,"Butt, Kaiser",4,4
19. Von dem Fischer un syner Fru .,"Ga, Mann",4,4
19. Von dem Fischer un syner Fru .,"Frau, Hand",4,16
19. Von dem Fischer un syner Fru .,"Hand, De",4,8
19. Von dem Fischer un syner Fru .,"He, Wöör",4,5
19. Von dem Fischer un syner Fru .,"Ga, Frau",4,4
19. Von dem Fischer un syner Fru .,"Hand, Wöör",3,4
19. Von dem Fischer un syner Fru .,"Papst, Kaiser",3,3
19. Von dem Fischer un syner Fru .,"See, Wöör",3,3
19. Von dem Fischer un syner Fru .,"Ga, Glück",3,3
19. Von dem Fischer un syner Fru .,"Gold, Ehre",3,3
19. Von dem Fischer un syner Fru .,"König, Ik",3,3
19. Von dem Fischer un syner Fru .,"He, Ga",3,3
19. Von dem Fischer un syner Fru .,"He, Ehre",3,4
19. Von dem Fischer un syner Fru .,"Butt, Papst",3,3
19. Von dem Fischer un syner Fru .,"Ga, Ik",3,3
19. Von dem Fischer un syner Fru .,"He, Papst",3,3
19. Von dem Fischer un syner Fru .,"König, Butt",3,3
19. Von dem Fischer un syner Fru .,"Gold, Wöör",3,4
19. Von dem Fischer un syner Fru .,"Gold, Frau",3,10
19. Von dem Fischer un syner Fru .,"Gold, De",3,4
19. Von dem Fischer un syner Fru .,"Frau, Bett",3,16
19. Von dem Fischer un syner Fru .,"Butt, Glück",3,3
19. Von dem Fischer un syner Fru .,"See, Mann",2,2
19. Von dem Fischer un syner Fru .,"De, Gans",2,7
19. Von dem Fischer un syner Fru .,"He, König",2,2
19. Von dem Fischer un syner Fru .,"Ga, Kaiser",2,2
19. Von dem Fischer un syner Fru .,"Gott, Mann",2,8
19. Von dem Fischer un syner Fru .,"Gott, De",2,3
19. Von dem Fischer un syner Fru .,"Gott, Butt",2,2
19. Von dem Fischer un syner Fru .,"Awerst, Papst",2,2
19. Von dem Fischer un syner Fru .,"De, Land",2,3
19. Von dem Fischer un syner Fru .,"Soldat, De",2,2
19. Von dem Fischer un syner Fru .,"Awerst, Ik",2,3
19. Von dem Fischer un syner Fru .,"Frau, Eine",2,3
19. Von dem Fischer un syner Fru .,"Awerst, Wöör",2,5
19. Von dem Fischer un syner Fru .,"Kaiser, Glück",2,2
19. Von dem Fischer un syner Fru .,"He, Awerst",2,3
19. Von dem Fischer un syner Fru .,"Ga, Butt",2,2
19. Von dem Fischer un syner Fru .,"Ehre, Bett",2,3
19. Von dem Fischer un syner Fru .,"De, Eine",2,6
19. Von dem Fischer un syner Fru .,"Glück, Ik",2,2
19. Von dem Fischer un syner Fru .,"De, Himmel",2,4
19. Von dem Fischer un syner Fru .,"Ehre, Mann",2,4
19. Von dem Fischer un syner Fru .,"Bett, Mann",2,7
19. Von dem Fischer un syner Fru .,"He, Glück",2,2
19. Von dem Fischer un syner Fru .,"See, Gans",2,2
19. Von dem Fischer un syner Fru .,"Ga, Awerst",2,2
19. Von dem Fischer un syner Fru .,"Eine, Mann",2,3
19. Von dem Fischer un syner Fru .,"Gold, Hand",2,4
19. Von dem Fischer un syner Fru .,"Eine, Tisch",1,1
19. Von dem Fischer un syner Fru .,"Eine, Kaiser",1,1
19. Von dem Fischer un syner Fru .,"Awerst, Butt",1,1
19. Von dem Fischer un syner Fru .,"Gold, Kaiser",1,1
19. Von dem Fischer un syner Fru .,"Butt, Eine",1,1
19. Von dem Fischer un syner Fru .,"He, Gott",1,1
19. Von dem Fischer un syner Fru .,"Gott, Glück",1,2
19. Von dem Fischer un syner Fru .,"Ga, See",1,1
19. Von dem Fischer un syner Fru .,"He, Treppe",1,1
19. Von dem Fischer un syner Fru .,"De, Hase",1,1
19. Von dem Fischer un syner Fru .,"König, Kaiser",1,1
19. Von dem Fischer un syner Fru .,"Frau, Nacht",1,7
19. Von dem Fischer un syner Fru .,"He, Zeit",1,2
19. Von dem Fischer un syner Fru .,"Frau, Treppe",1,2
19. Von dem Fischer un syner Fru .,"Treppe, Tisch",1,1
19. Von dem Fischer un syner Fru .,"Nacht, Awerst",1,2
19. Von dem Fischer un syner Fru .,"Bett, Land",1,2
19. Von dem Fischer un syner Fru .,"De, Nacht",1,3
19. Von dem Fischer un syner Fru .,"Gold, Awerst",1,1
19. Von dem Fischer un syner Fru .,"Wöör, Kirche",1,1
19. Von dem Fischer un syner Fru .,"De, Treppe",1,1
19. Von dem Fischer un syner Fru .,"Reich, Butt",1,1
19. Von dem Fischer un syner Fru .,"Gott, Frau",1,13
19. Von dem Fischer un syner Fru .,"Morgen, De",1,1
19. Von dem Fischer un syner Fru .,"Hand, Tisch",1,2
19. Von dem Fischer un syner Fru .,"Finger, De",1,2
19. Von dem Fischer un syner Fru .,"Gans, Himmel",1,1
19. Von dem Fischer un syner Fru .,"He, Eine",1,1
19. Von dem Fischer un syner Fru .,"He, Hand",1,3
19. Von dem Fischer un syner Fru .,"Eine, Ik",1,1
19. Von dem Fischer un syner Fru .,"Hand, Treppe",1,1
19. Von dem Fischer un syner Fru .,"Frau, Reich",1,5
19. Von dem Fischer un syner Fru .,"Ga, König",1,1
19. Von dem Fischer un syner Fru .,"Wöör, Ik",1,3
19. Von dem Fischer un syner Fru .,"Frau, Zeit",1,9
19. Von dem Fischer un syner Fru .,"Ehre, Butt",1,1
19. Von dem Fischer un syner Fru .,"Wöör, Riese",1,1
19. Von dem Fischer un syner Fru .,"Gott, Ik",1,1
19. Von dem Fischer un syner Fru .,"König, Land",1,14
19. Von dem Fischer un syner Fru .,"Ehre, Kaiser",1,1
19. Von dem Fischer un syner Fru .,"Blume, De",1,1
19. Von dem Fischer un syner Fru .,"Frau, Gans",1,4
19. Von dem Fischer un syner Fru .,"De, Abend",1,1
19. Von dem Fischer un syner Fru .,"De, Riese",1,1
19. Von dem Fischer un syner Fru .,"Land, Abend",1,1
19. Von dem Fischer un syner Fru .,"Frau, Tisch",1,3
19. Von dem Fischer un syner Fru .,"Wöör, Hase",1,1
19. Von dem Fischer un syner Fru .,"Ehre, Ik",1,4
19. Von dem Fischer un syner Fru .,"Frau, Riese",1,1
19. Von dem Fischer un syner Fru .,"Reich, Ik",1,1
19. Von dem Fischer un syner Fru .,"Frau, Licht",1,4
19. Von dem Fischer un syner Fru .,"Ehre, Glück",1,1
19. Von dem Fischer un syner Fru .,"Hand, Mann",1,10
19. Von dem Fischer un syner Fru .,"Bett, Butt",1,1
19. Von dem Fischer un syner Fru .,"Soldat, Mann",1,3
19. Von dem Fischer un syner Fru .,"Stück, De",1,5
19. Von dem Fischer un syner Fru .,"He, Reich",1,1
19. Von dem Fischer un syner Fru .,"Stück, Frau",1,4
19. Von dem Fischer un syner Fru .,"Ehre, Riese",1,1
19. Von dem Fischer un syner Fru .,"See, Himmel",1,1
19. Von dem Fischer un syner Fru .,"Reich, Mann",1,2
19. Von dem Fischer un syner Fru .,"Ehre, Tisch",1,1
19. Von dem Fischer un syner Fru .,"Soldat, Awerst",1,1
19. Von dem Fischer un syner Fru .,"See, Awerst",1,1
19. Von dem Fischer un syner Fru .,"Stück, Ehre",1,1
19. Von dem Fischer un syner Fru .,"Zeit, Mann",1,13
19. Von dem Fischer un syner Fru .,"Bett, Ik",1,1
19. Von dem Fischer un syner Fru .,"Ehre, Treppe",1,1
19. Von dem Fischer un syner Fru .,"Zeit, Ik",1,1
19. Von dem Fischer un syner Fru .,"Awerst, Eine",1,1
19. Von dem Fischer un syner Fru .,"Finger, Ehre",1,1
19. Von dem Fischer un syner Fru .,"Gans, Mann",1,3
19. Von dem Fischer un syner Fru .,"Gold, Finger",1,3
19. Von dem Fischer un syner Fru .,"Wöör, Treppe",1,1
19. Von dem Fischer un syner Fru .,"Gott, Ehre",1,1
19. Von dem Fischer un syner Fru .,"Treppe, Eine",1,1
19. Von dem Fischer un syner Fru .,"Reich, De",1,1
19. Von dem Fischer un syner Fru .,"Hand, Bett",1,3
19. Von dem Fischer un syner Fru .,"Soldat, Wöör",1,1
19. Von dem Fischer un syner Fru .,"Morgen, Ehre",1,1
19. Von dem Fischer un syner Fru .,"Treppe, Mann",1,6
19. Von dem Fischer un syner Fru .,"See, Glück",1,1
19. Von dem Fischer un syner Fru .,"He, See",1,1
19. Von dem Fischer un syner Fru .,"Reich, Glück",1,2
19. Von dem Fischer un syner Fru .,"He, Licht",1,1
19. Von dem Fischer un syner Fru .,"Papst, Glück",1,1
19. Von dem Fischer un syner Fru .,"Finger, Frau",1,3
19. Von dem Fischer un syner Fru .,"De, Tisch",1,1
19. Von dem Fischer un syner Fru .,"Morgen, Bett",1,5
19. Von dem Fischer un syner Fru .,"Wöör, Himmel",1,1
19. Von dem Fischer un syner Fru .,"Awerst, Kaiser",1,1
19. Von dem Fischer un syner Fru .,"De, Zeit",1,1
19. Von dem Fischer un syner Fru .,"Ga, Reich",1,1
19. Von dem Fischer un syner Fru .,"Hand, Eine",1,1
19. Von dem Fischer un syner Fru .,"Wöör, Tisch",1,1
19. Von dem Fischer un syner Fru .,"Wöör, Eine",1,2
19. Von dem Fischer un syner Fru .,"Blume, Hase",1,1
19. Von dem Fischer un syner Fru .,"Stück, Finger",1,1
19. Von dem Fischer un syner Fru .,"Ga, Papst",1,1
19. Von dem Fischer un syner Fru .,"Awerst, Himmel",1,1
19. Von dem Fischer un syner Fru .,"Gold, Stück",1,3
19. Von dem Fischer un syner Fru .,"Ehre, Licht",1,5
19. Von dem Fischer un syner Fru .,"König, Glück",1,7
19. Von dem Fischer un syner Fru .,"Gold, Soldat",1,2
19. Von dem Fischer un syner Fru .,"Blume, Wöör",1,1
19. Von dem Fischer un syner Fru .,"Mann, Tisch",1,3
19. Von dem Fischer un syner Fru .,"Morgen, Land",1,2
19. Von dem Fischer un syner Fru .,"Papst, Eine",1,1
19. Von dem Fischer un syner Fru .,"Finger, Riese",1,1
19. Von dem Fischer un syner Fru .,"Ga, Wöör",1,1
19. Von dem Fischer un syner Fru .,"Stück, Hand",1,3
19. Von dem Fischer un syner Fru .,"He, Gold",1,2
19. Von dem Fischer un syner Fru .,"König, Gans",1,1
19. Von dem Fischer un syner Fru .,"Wöör, Kaiser",1,1
19. Von dem Fischer un syner Fru .,"He, Tisch",1,1
19. Von dem Fischer un syner Fru .,"Ehre, Land",1,3
19. Von dem Fischer un syner Fru .,"Hand, Riese",1,3
19. Von dem Fischer un syner Fru .,"Nacht, Mann",1,9
19. Von dem Fischer un syner Fru .,"Stück, Riese",1,2
19. Von dem Fischer un syner Fru .,"Stück, Wöör",1,1
19. Von dem Fischer un syner Fru .,"Finger, Hand",1,3
19. Von dem Fischer un syner Fru .,"Wöör, Licht",1,4
19. Von dem Fischer un syner Fru .,"Gold, Licht",1,1
19. Von dem Fischer un syner Fru .,"Frau, Land",1,2
19. Von dem Fischer un syner Fru .,"Finger, Wöör",1,1
19. Von dem Fischer un syner Fru .,"Morgen, Frau",1,10
19. Von dem Fischer un syner Fru .,"Licht, Kaiser",1,1
19. Von dem Fischer un syner Fru .,"Awerst, Glück",1,1
19. Von dem Fischer un syner Fru .,"König, Reich",1,18
19. Von dem Fischer un syner Fru .,"König, Zeit",1,19
19. Von dem Fischer un syner Fru .,"Reich, Kaiser",1,1
19. Von dem Fischer un syner Fru .,"Ehre, Eine",1,1
19. Von dem Fischer un syner Fru .,"Gold, Riese",1,1
19. Von dem Fischer un syner Fru .,"Gott, Bett",1,6
20. Das tapfere Schneiderlein .,"Schneiderlein, Riese",12,13
20. Das tapfere Schneiderlein .,"Schneider, Riese",8,8
20. Das tapfere Schneiderlein .,"Baum, Riese",7,7
20. Das tapfere Schneiderlein .,"Schneider, Baum",5,5
20. Das tapfere Schneiderlein .,"Wald, Riese",5,6
20. Das tapfere Schneiderlein .,"Streiche, Riese",5,5
20. Das tapfere Schneiderlein .,"Riese, Stein",4,4
20. Das tapfere Schneiderlein .,"Schneiderlein, Baum",4,4
20. Das tapfere Schneiderlein .,"Schneider, Wald",4,4
20. Das tapfere Schneiderlein .,"Schneiderlein, König",4,5
20. Das tapfere Schneiderlein .,"Schneiderlein, Mann",3,3
20. Das tapfere Schneiderlein .,"Schneider, Mann",3,3
20. Das tapfere Schneiderlein .,"Schneider, Schneiderlein",3,3
20. Das tapfere Schneiderlein .,"Schneiderlein, Bett",3,3
20. Das tapfere Schneiderlein .,"Schneiderlein, Streiche",3,3
20. Das tapfere Schneiderlein .,"Riese, Mann",3,3
20. Das tapfere Schneiderlein .,"Schneider, Stein",2,2
20. Das tapfere Schneiderlein .,"Schneiderlein, Herz",2,3
20. Das tapfere Schneiderlein .,"König, Herr",2,31
20. Das tapfere Schneiderlein .,"Schneiderlein, Ding",2,2
20. Das tapfere Schneiderlein .,"Schneiderlein, Stein",2,2
20. Das tapfere Schneiderlein .,"Stärke, Schneiderlein",2,2
20. Das tapfere Schneiderlein .,"Schneider, König",2,3
20. Das tapfere Schneiderlein .,"Schneiderlein, Ei",2,3
20. Das tapfere Schneiderlein .,"Schneider, Hochzeit",2,3
20. Das tapfere Schneiderlein .,"König, Auge",2,13
20. Das tapfere Schneiderlein .,"Bett, Riese",2,2
20. Das tapfere Schneiderlein .,"Schneider, Jäger",2,2
20. Das tapfere Schneiderlein .,"Schneiderlein, Tag",2,2
20. Das tapfere Schneiderlein .,"Schneiderlein, Ohr",2,2
20. Das tapfere Schneiderlein .,"Schneider, Streiche",2,2
20. Das tapfere Schneiderlein .,"Wald, Jäger",2,9
20. Das tapfere Schneiderlein .,"König, Diener",2,15
20. Das tapfere Schneiderlein .,"Schneiderlein, Welt",2,3
20. Das tapfere Schneiderlein .,"Mann, Herr",2,9
20. Das tapfere Schneiderlein .,"Tier, Baum",2,5
20. Das tapfere Schneiderlein .,"Nacht, Herr",2,4
20. Das tapfere Schneiderlein .,"Streiche, Mann",2,2
20. Das tapfere Schneiderlein .,"Hand, Riese",2,3
20. Das tapfere Schneiderlein .,"Schneider, Erde",2,4
20. Das tapfere Schneiderlein .,"Wald, Schneiderlein",2,3
20. Das tapfere Schneiderlein .,"Weg, Riese",2,2
20. Das tapfere Schneiderlein .,"Geselle, Stein",1,1
20. Das tapfere Schneiderlein .,"Welt, Herr",1,6
20. Das tapfere Schneiderlein .,"Mund, Zahn",1,1
20. Das tapfere Schneiderlein .,"Streiche, Tag",1,1
20. Das tapfere Schneiderlein .,"Schneider, Tier",1,4
20. Das tapfere Schneiderlein .,"Morgen, Zeit",1,2
20. Das tapfere Schneiderlein .,"Schneiderlein, Gast",1,1
20. Das tapfere Schneiderlein .,"Schneider, Herr",1,6
20. Das tapfere Schneiderlein .,"Wald, Mann",1,15
20. Das tapfere Schneiderlein .,"Vogel, Käse",1,1
20. Das tapfere Schneiderlein .,"Weg, Baum",1,5
20. Das tapfere Schneiderlein .,"Stärke, Stück",1,1
20. Das tapfere Schneiderlein .,"Frau, König",1,35
20. Das tapfere Schneiderlein .,"Reich, Tochter",1,7
20. Das tapfere Schneiderlein .,"Ohr, Stimme",1,2
20. Das tapfere Schneiderlein .,"Schneider, Ohr",1,1
20. Das tapfere Schneiderlein .,"Ohr, Zeit",1,2
20. Das tapfere Schneiderlein .,"König, Jäger",1,34
20. Das tapfere Schneiderlein .,"Schneider, Königin",1,1
20. Das tapfere Schneiderlein .,"Schneider, Schwein",1,1
20. Das tapfere Schneiderlein .,"Schneider, Geselle",1,1
20. Das tapfere Schneiderlein .,"Stärke, Käse",1,1
20. Das tapfere Schneiderlein .,"Schneider, Nacht",1,2
20. Das tapfere Schneiderlein .,"Frau, Bauersfrau",1,1
20. Das tapfere Schneiderlein .,"Bett, Ecke",1,5
20. Das tapfere Schneiderlein .,"Freude, Schneiderlein",1,1
20. Das tapfere Schneiderlein .,"Leute, Frieden",1,1
20. Das tapfere Schneiderlein .,"Korb, Topf",1,1
20. Das tapfere Schneiderlein .,"Herz, Streiche",1,1
20. Das tapfere Schneiderlein .,"Vöglein, Axt",1,1
20. Das tapfere Schneiderlein .,"Mensch, Riese",1,1
20. Das tapfere Schneiderlein .,"Welt, Ei",1,1
20. Das tapfere Schneiderlein .,"Frau, Türe",1,9
20. Das tapfere Schneiderlein .,"Tag, Riese",1,1
20. Das tapfere Schneiderlein .,"Arbeit, Baum",1,1
20. Das tapfere Schneiderlein .,"Arbeit, Streiche",1,1
20. Das tapfere Schneiderlein .,"Stück, Schneiderlein",1,1
20. Das tapfere Schneiderlein .,"Streiche, Axt",1,1
20. Das tapfere Schneiderlein .,"Tier, Schwein",1,1
20. Das tapfere Schneiderlein .,"Berg, Riese",1,1
20. Das tapfere Schneiderlein .,"Hand, Baum",1,2
20. Das tapfere Schneiderlein .,"Vater, Ohr",1,4
20. Das tapfere Schneiderlein .,"Schiff, Diener",1,1
20. Das tapfere Schneiderlein .,"Schneider, Zahn",1,1
20. Das tapfere Schneiderlein .,"Vöglein, Baum",1,2
20. Das tapfere Schneiderlein .,"Schneider, Rock",1,1
20. Das tapfere Schneiderlein .,"Schwein, Zahn",1,1
20. Das tapfere Schneiderlein .,"Schneiderlein, Käse",1,1
20. Das tapfere Schneiderlein .,"Gott, Stück",1,1
20. Das tapfere Schneiderlein .,"Königin, Mann",1,2
20. Das tapfere Schneiderlein .,"König, Mann",1,30
20. Das tapfere Schneiderlein .,"Welt, Tag",1,4
