Tale,Characters,TaleOccurrenceFrequency,RelationFrequency
1. Der Froschkönig oder der eiserne Heinrich .,"Freude, König",1,17
1. Der Froschkönig oder der eiserne Heinrich .,"Stuhl, König",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Kleid",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Herz, Kind",1,15
1. Der Froschkönig oder der eiserne Heinrich .,"Wald, Tür",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Brunnen, Herr",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Morgen, Wagen",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Kind, Brunnen",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"Weg, Stück",1,12
1. Der Froschkönig oder der eiserne Heinrich .,"Tochter, Gesicht",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Tür, Tag",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Geselle",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Pferd",1,11
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Tür",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Königstochter, Stimme",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Stimme",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Pferd, Diener",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"Wald, Riese",1,6
1. Der Froschkönig oder der eiserne Heinrich .,"Freude, Königstochter",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Stimme",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Stimme, Kopf",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Bett",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"'nein, Herz",1,5
1. Der Froschkönig oder der eiserne Heinrich .,"Tür, Kind",1,5
1. Der Froschkönig oder der eiserne Heinrich .,"Brunnen, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, Diener",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Tür, Brunnen",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wagen, Kopf",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"'nein, Wagen",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Kopf",1,6
1. Der Froschkönig oder der eiserne Heinrich .,"Reich, Brunnen",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Kind",1,27
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Auge",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wald, Frosch",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Perle",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, Frosch",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Diener",1,15
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Königssohn",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Weg, Herz",1,7
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Stein",1,6
1. Der Froschkönig oder der eiserne Heinrich .,"König, Kopf",1,12
1. Der Froschkönig oder der eiserne Heinrich .,"Türe, Fuß",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Herz",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Wand, Frosch",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Mensch",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Mensch",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Finger, Ecke",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Weg, Heinrich",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Morgen, Diener",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Wald",1,11
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Brunnen",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Hexe, Brunnen",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Morgen, Kopf",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Pferd, Wagen",1,6
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Wagen",1,1
