Tale,Categories,TaleOccurrenceFrequency,CategoryRelationFrequency
8. Der wunderliche Spielmann .,"Tier, Männlich",1,39
8. Der wunderliche Spielmann .,"Tier, Körperteil",1,25
9. Die zwölf Brüder .,"Männlich, Beziehung",15,185
9. Die zwölf Brüder .,"Orte, Beziehung",4,82
9. Die zwölf Brüder .,"Tier, Männlich",3,39
9. Die zwölf Brüder .,"Tier, Beziehung",3,11
9. Die zwölf Brüder .,"Männlich, Orte",3,41
9. Die zwölf Brüder .,"Adel, Beziehung",3,123
9. Die zwölf Brüder .,"Adel, Weiblich",2,105
9. Die zwölf Brüder .,"Tier, Orte",2,21
9. Die zwölf Brüder .,"Weiblich, Orte",2,65
9. Die zwölf Brüder .,"Adel, Orte",2,61
9. Die zwölf Brüder .,"Männlich, Körperteil",2,30
9. Die zwölf Brüder .,"Weiblich, Beziehung",2,176
9. Die zwölf Brüder .,"Weiblich, Verschiedenes",2,35
9. Die zwölf Brüder .,"Beziehung, Körperteil",2,53
9. Die zwölf Brüder .,"Beziehung, Verschiedenes",1,54
9. Die zwölf Brüder .,"Adel, Körperteil",1,61
9. Die zwölf Brüder .,"Adel, Verschiedenes",1,67
9. Die zwölf Brüder .,"Tier, Verschiedenes",1,11
9. Die zwölf Brüder .,"Männlich, Verschiedenes",1,32
9. Die zwölf Brüder .,"Tier, Weiblich",1,14
9. Die zwölf Brüder .,"Orte, Verschiedenes",1,33
9. Die zwölf Brüder .,"Adel, Männlich",1,72
9. Die zwölf Brüder .,"Männlich, Weiblich",1,33
10. Das Lumpengesindel .,"Tier, Körperteil",3,25
10. Das Lumpengesindel .,"Tier, Verschiedenes",1,11
10. Das Lumpengesindel .,"Gewerbebezeichnung, Körperteil",1,19
11. Brüderchen und Schwesterchen .,"Weiblich, Beziehung",19,176
11. Brüderchen und Schwesterchen .,"Männlich, Beziehung",8,185
11. Brüderchen und Schwesterchen .,"Männlich, Weiblich",8,33
11. Brüderchen und Schwesterchen .,"Adel, Weiblich",7,105
11. Brüderchen und Schwesterchen .,"Orte, Beziehung",7,82
11. Brüderchen und Schwesterchen .,"Weiblich, Orte",6,65
11. Brüderchen und Schwesterchen .,"Weiblich, Körperteil",6,41
11. Brüderchen und Schwesterchen .,"Beziehung, Körperteil",6,53
11. Brüderchen und Schwesterchen .,"Adel, Beziehung",6,123
11. Brüderchen und Schwesterchen .,"Adel, Verschiedenes",4,67
11. Brüderchen und Schwesterchen .,"Fabelwesen, Beziehung",4,14
11. Brüderchen und Schwesterchen .,"Weiblich, Verschiedenes",4,35
11. Brüderchen und Schwesterchen .,"Beziehung, Verschiedenes",3,54
11. Brüderchen und Schwesterchen .,"Fabelwesen, Orte",3,15
11. Brüderchen und Schwesterchen .,"Fabelwesen, Weiblich",3,16
11. Brüderchen und Schwesterchen .,"Orte, Körperteil",3,34
11. Brüderchen und Schwesterchen .,"Orte, Verschiedenes",2,33
11. Brüderchen und Schwesterchen .,"Männlich, Körperteil",2,30
11. Brüderchen und Schwesterchen .,"Adel, Körperteil",2,61
11. Brüderchen und Schwesterchen .,"Körperteil, Verschiedenes",2,23
11. Brüderchen und Schwesterchen .,"Adel, Orte",2,61
11. Brüderchen und Schwesterchen .,"Adel, Fabelwesen",2,6
11. Brüderchen und Schwesterchen .,"Fabelwesen, Körperteil",1,9
11. Brüderchen und Schwesterchen .,"Fabelwesen, Verschiedenes",1,4
11. Brüderchen und Schwesterchen .,"Männlich, Orte",1,41
11. Brüderchen und Schwesterchen .,"Männlich, Verschiedenes",1,32
12. Rapunzel .,"Weiblich, Beziehung",4,176
12. Rapunzel .,"Weiblich, Körperteil",3,41
12. Rapunzel .,"Weiblich, Orte",3,65
12. Rapunzel .,"Orte, Verschiedenes",2,33
12. Rapunzel .,"Adel, Orte",2,61
12. Rapunzel .,"Orte, Beziehung",2,82
12. Rapunzel .,"Orte, Körperteil",2,34
12. Rapunzel .,"Adel, Körperteil",2,61
12. Rapunzel .,"Adel, Weiblich",1,105
12. Rapunzel .,"Adel, Beziehung",1,123
12. Rapunzel .,"Adel, Verschiedenes",1,67
12. Rapunzel .,"Beziehung, Körperteil",1,53
13. Die drei Männlein im Walde .,"Weiblich, Beziehung",11,176
13. Die drei Männlein im Walde .,"Adel, Beziehung",5,123
13. Die drei Männlein im Walde .,"Adel, Weiblich",4,105
13. Die drei Männlein im Walde .,"Weiblich, Nahrung",4,13
13. Die drei Männlein im Walde .,"Beziehung, Nahrung",3,9
13. Die drei Männlein im Walde .,"Orte, Nahrung",3,16
13. Die drei Männlein im Walde .,"Beziehung, Körperteil",2,53
13. Die drei Männlein im Walde .,"Adel, Körperteil",2,61
13. Die drei Männlein im Walde .,"Adel, Verschiedenes",1,67
13. Die drei Männlein im Walde .,"Wertgegenstände, Nahrung",1,5
13. Die drei Männlein im Walde .,"Nahrung, Körperteil",1,6
13. Die drei Männlein im Walde .,"Weiblich, Orte",1,65
13. Die drei Männlein im Walde .,"Weiblich, Körperteil",1,41
13. Die drei Männlein im Walde .,"Weiblich, Verschiedenes",1,35
13. Die drei Männlein im Walde .,"Beziehung, Verschiedenes",1,54
13. Die drei Männlein im Walde .,"Wertgegenstände, Orte",1,15
14. Die drei Spinnerinnen .,"Adel, Weiblich",3,105
14. Die drei Spinnerinnen .,"Adel, Beziehung",2,123
14. Die drei Spinnerinnen .,"Adel, Körperteil",2,61
14. Die drei Spinnerinnen .,"Weiblich, Beziehung",2,176
14. Die drei Spinnerinnen .,"Weiblich, Körperteil",1,41
14. Die drei Spinnerinnen .,"Beziehung, Körperteil",1,53
14. Die drei Spinnerinnen .,"Körperteil, Verschiedenes",1,23
14. Die drei Spinnerinnen .,"Weiblich, Nahrung",1,13
14. Die drei Spinnerinnen .,"Beziehung, Nahrung",1,9
14. Die drei Spinnerinnen .,"Adel, Nahrung",1,10
15. Hänsel und Grethel .,"Weiblich, Beziehung",16,176
15. Hänsel und Grethel .,"Orte, Beziehung",12,82
15. Hänsel und Grethel .,"Weiblich, Orte",11,65
15. Hänsel und Grethel .,"Beziehung, Körperteil",6,53
15. Hänsel und Grethel .,"Weiblich, Körperteil",4,41
15. Hänsel und Grethel .,"Orte, Körperteil",4,34
15. Hänsel und Grethel .,"Weiblich, Verschiedenes",2,35
15. Hänsel und Grethel .,"Beziehung, Verschiedenes",1,54
15. Hänsel und Grethel .,"Männlich, Beziehung",1,185
15. Hänsel und Grethel .,"Orte, Verschiedenes",1,33
