Tale,Categories,TaleOccurrenceFrequency,CategoryRelationFrequency
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Orte, Körperteil",2,34
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Männlich, Orte",2,41
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Orte, Beziehung",2,82
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Wertgegenstände, Orte",1,15
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Tier, Männlich",1,39
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Tier, Körperteil",1,25
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Tier, Beziehung",1,11
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Beziehung, Körperteil",1,53
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Beziehung, Verschiedenes",1,54
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Orte, Verschiedenes",1,33
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Männlich, Körperteil",1,30
"36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .","Gewerbebezeichnung, Orte",1,14
37. Daumesdick .,"Weiblich, Beziehung",2,176
37. Daumesdick .,"Männlich, Gewerbebezeichnung",1,36
37. Daumesdick .,"Körperteil, Verschiedenes",1,23
37. Daumesdick .,"Wertgegenstände, Orte",1,15
37. Daumesdick .,"Gewerbebezeichnung, Körperteil",1,19
37. Daumesdick .,"Männlich, Verschiedenes",1,32
37. Daumesdick .,"Orte, Körperteil",1,34
37. Daumesdick .,"Orte, Verschiedenes",1,33
37. Daumesdick .,"Männlich, Orte",1,41
37. Daumesdick .,"Gewerbebezeichnung, Wertgegenstände",1,9
37. Daumesdick .,"Weiblich, Körperteil",1,41
37. Daumesdick .,"Beziehung, Körperteil",1,53
38. Die Hochzeit der Frau Füchsin .,"Tier, Männlich",10,39
38. Die Hochzeit der Frau Füchsin .,"Tier, Weiblich",5,14
38. Die Hochzeit der Frau Füchsin .,"Männlich, Weiblich",4,33
38. Die Hochzeit der Frau Füchsin .,"Tier, Körperteil",3,25
38. Die Hochzeit der Frau Füchsin .,"Männlich, Beziehung",2,185
38. Die Hochzeit der Frau Füchsin .,"Weiblich, Körperteil",2,41
38. Die Hochzeit der Frau Füchsin .,"Männlich, Körperteil",1,30
39. Die Wichtelmänner .,"Fabelwesen, Beziehung",2,14
39. Die Wichtelmänner .,"Weiblich, Körperteil",1,41
40. Der Räuberbräutigam .,"Weiblich, Beziehung",2,176
40. Der Räuberbräutigam .,"Orte, Verschiedenes",2,33
40. Der Räuberbräutigam .,"Nahrung, Körperteil",2,6
40. Der Räuberbräutigam .,"Gewerbebezeichnung, Beziehung",2,37
40. Der Räuberbräutigam .,"Weiblich, Gewerbebezeichnung",2,21
40. Der Räuberbräutigam .,"Weiblich, Nahrung",1,13
40. Der Räuberbräutigam .,"Weiblich, Körperteil",1,41
40. Der Räuberbräutigam .,"Beziehung, Verschiedenes",1,54
40. Der Räuberbräutigam .,"Orte, Beziehung",1,82
41. Herr Korbes .,"Körperteil, Verschiedenes",1,23
41. Herr Korbes .,"Männlich, Körperteil",1,30
41. Herr Korbes .,"Männlich, Verschiedenes",1,32
42. Der Herr Gevatter .,"Männlich, Verschiedenes",1,32
42. Der Herr Gevatter .,"Männlich, Gewerbebezeichnung",1,36
42. Der Herr Gevatter .,"Adel, Beziehung",1,123
42. Der Herr Gevatter .,"Adel, Körperteil",1,61
42. Der Herr Gevatter .,"Orte, Beziehung",1,82
42. Der Herr Gevatter .,"Beziehung, Körperteil",1,53
42. Der Herr Gevatter .,"Wertgegenstände, Körperteil",1,14
43. Frau Trude .,"Weiblich, Eigenname",3,21
43. Frau Trude .,"Eigenname, Beziehung",1,12
43. Frau Trude .,"Fabelwesen, Weiblich",1,16
43. Frau Trude .,"Weiblich, Beziehung",1,176
43. Frau Trude .,"Fabelwesen, Eigenname",1,1
44. Der Gevatter Tod .,"Beziehung, Verschiedenes",2,54
44. Der Gevatter Tod .,"Weiblich, Beziehung",1,176
44. Der Gevatter Tod .,"Beziehung, Körperteil",1,53
44. Der Gevatter Tod .,"Adel, Weiblich",1,105
44. Der Gevatter Tod .,"Adel, Beziehung",1,123
44. Der Gevatter Tod .,"Orte, Körperteil",1,34
44. Der Gevatter Tod .,"Männlich, Orte",1,41
44. Der Gevatter Tod .,"Wertgegenstände, Beziehung",1,31
44. Der Gevatter Tod .,"Wertgegenstände, Orte",1,15
44. Der Gevatter Tod .,"Orte, Beziehung",1,82
45. Daumerlings Wanderschaft .,"Fabelwesen, Männlich",15,18
45. Daumerlings Wanderschaft .,"Männlich, Wertgegenstände",4,32
45. Daumerlings Wanderschaft .,"Fabelwesen, Wertgegenstände",4,7
45. Daumerlings Wanderschaft .,"Fabelwesen, Weiblich",2,16
45. Daumerlings Wanderschaft .,"Männlich, Orte",2,41
45. Daumerlings Wanderschaft .,"Männlich, Weiblich",2,33
45. Daumerlings Wanderschaft .,"Tier, Männlich",1,39
45. Daumerlings Wanderschaft .,"Männlich, Verschiedenes",1,32
45. Daumerlings Wanderschaft .,"Wertgegenstände, Verschiedenes",1,8
45. Daumerlings Wanderschaft .,"Tier, Körperteil",1,25
45. Daumerlings Wanderschaft .,"Tier, Orte",1,21
45. Daumerlings Wanderschaft .,"Tier, Beziehung",1,11
45. Daumerlings Wanderschaft .,"Tier, Fabelwesen",1,2
45. Daumerlings Wanderschaft .,"Männlich, Körperteil",1,30
45. Daumerlings Wanderschaft .,"Fabelwesen, Orte",1,15
45. Daumerlings Wanderschaft .,"Fabelwesen, Körperteil",1,9
45. Daumerlings Wanderschaft .,"Fabelwesen, Verschiedenes",1,4
45. Daumerlings Wanderschaft .,"Adel, Wertgegenstände",1,28
46. Fitchers Vogel .,"Männlich, Beziehung",1,185
46. Fitchers Vogel .,"Weiblich, Beziehung",1,176
46. Fitchers Vogel .,"Körperteil, Verschiedenes",1,23
46. Fitchers Vogel .,"Fabelwesen, Wertgegenstände",1,7
47. Von dem Machandelboom .,"Weiblich, Beziehung",7,176
47. Von dem Machandelboom .,"Weiblich, Verschiedenes",5,35
47. Von dem Machandelboom .,"Beziehung, Verschiedenes",3,54
47. Von dem Machandelboom .,"Körperteil, Verschiedenes",2,23
47. Von dem Machandelboom .,"Weiblich, Orte",1,65
47. Von dem Machandelboom .,"Weiblich, Wertgegenstände",1,20
47. Von dem Machandelboom .,"Wertgegenstände, Beziehung",1,31
48. Der alte Sultan .,"Orte, Beziehung",2,82
48. Der alte Sultan .,"Adel, Weiblich",2,105
48. Der alte Sultan .,"Weiblich, Beziehung",2,176
48. Der alte Sultan .,"Weiblich, Verschiedenes",1,35
48. Der alte Sultan .,"Adel, Orte",1,61
48. Der alte Sultan .,"Männlich, Weiblich",1,33
48. Der alte Sultan .,"Männlich, Beziehung",1,185
48. Der alte Sultan .,"Adel, Beziehung",1,123
48. Der alte Sultan .,"Adel, Körperteil",1,61
48. Der alte Sultan .,"Adel, Verschiedenes",1,67
48. Der alte Sultan .,"Weiblich, Orte",1,65
49. Die sechs Schwäne .,"Männlich, Beziehung",11,185
49. Die sechs Schwäne .,"Adel, Beziehung",9,123
49. Die sechs Schwäne .,"Adel, Orte",8,61
49. Die sechs Schwäne .,"Orte, Beziehung",6,82
49. Die sechs Schwäne .,"Adel, Verschiedenes",4,67
49. Die sechs Schwäne .,"Weiblich, Beziehung",4,176
49. Die sechs Schwäne .,"Adel, Männlich",4,72
49. Die sechs Schwäne .,"Männlich, Orte",3,41
49. Die sechs Schwäne .,"Beziehung, Verschiedenes",3,54
49. Die sechs Schwäne .,"Orte, Verschiedenes",2,33
49. Die sechs Schwäne .,"Männlich, Verschiedenes",2,32
49. Die sechs Schwäne .,"Männlich, Weiblich",2,33
49. Die sechs Schwäne .,"Adel, Weiblich",2,105
49. Die sechs Schwäne .,"Adel, Körperteil",2,61
49. Die sechs Schwäne .,"Weiblich, Orte",2,65
49. Die sechs Schwäne .,"Orte, Körperteil",1,34
49. Die sechs Schwäne .,"Gewerbebezeichnung, Wertgegenstände",1,9
49. Die sechs Schwäne .,"Weiblich, Körperteil",1,41
49. Die sechs Schwäne .,"Beziehung, Körperteil",1,53
49. Die sechs Schwäne .,"Fabelwesen, Weiblich",1,16
50. Dornröschen .,"Adel, Verschiedenes",6,67
50. Dornröschen .,"Adel, Beziehung",3,123
50. Dornröschen .,"Weiblich, Beziehung",3,176
50. Dornröschen .,"Beziehung, Verschiedenes",2,54
50. Dornröschen .,"Weiblich, Verschiedenes",1,35
50. Dornröschen .,"Weiblich, Orte",1,65
50. Dornröschen .,"Gewerbebezeichnung, Körperteil",1,19
50. Dornröschen .,"Adel, Orte",1,61
50. Dornröschen .,"Orte, Beziehung",1,82
50. Dornröschen .,"Orte, Verschiedenes",1,33
50. Dornröschen .,"Männlich, Körperteil",1,30
50. Dornröschen .,"Adel, Weiblich",1,105
50. Dornröschen .,"Gewerbebezeichnung, Orte",1,14
51. Fundevogel .,"Gewerbebezeichnung, Beziehung",5,37
51. Fundevogel .,"Eigenname, Beziehung",3,12
51. Fundevogel .,"Orte, Beziehung",2,82
51. Fundevogel .,"Gewerbebezeichnung, Eigenname",2,6
51. Fundevogel .,"Orte, Eigenname",1,9
51. Fundevogel .,"Gewerbebezeichnung, Orte",1,14
52. König Drosselbart .,"Adel, Weiblich",7,105
52. König Drosselbart .,"Adel, Beziehung",4,123
52. König Drosselbart .,"Weiblich, Beziehung",4,176
52. König Drosselbart .,"Adel, Körperteil",3,61
52. König Drosselbart .,"Adel, Gewerbebezeichnung",3,59
52. König Drosselbart .,"Weiblich, Körperteil",1,41
52. König Drosselbart .,"Weiblich, Wertgegenstände",1,20
52. König Drosselbart .,"Gewerbebezeichnung, Körperteil",1,19
52. König Drosselbart .,"Adel, Orte",1,61
52. König Drosselbart .,"Gewerbebezeichnung, Beziehung",1,37
52. König Drosselbart .,"Weiblich, Gewerbebezeichnung",1,21
53. Sneewittchen .,"Adel, Eigenname",7,31
53. Sneewittchen .,"Eigenname, Körperteil",5,12
53. Sneewittchen .,"Orte, Beziehung",3,82
53. Sneewittchen .,"Orte, Eigenname",3,9
53. Sneewittchen .,"Weiblich, Eigenname",3,21
53. Sneewittchen .,"Eigenname, Beziehung",2,12
53. Sneewittchen .,"Adel, Orte",2,61
53. Sneewittchen .,"Adel, Verschiedenes",2,67
53. Sneewittchen .,"Eigenname, Verschiedenes",2,11
53. Sneewittchen .,"Gewerbebezeichnung, Eigenname",1,6
53. Sneewittchen .,"Eigenname, Nahrung",1,3
53. Sneewittchen .,"Beziehung, Nahrung",1,9
53. Sneewittchen .,"Weiblich, Gewerbebezeichnung",1,21
53. Sneewittchen .,"Wertgegenstände, Eigenname",1,4
53. Sneewittchen .,"Orte, Körperteil",1,34
53. Sneewittchen .,"Adel, Gewerbebezeichnung",1,59
53. Sneewittchen .,"Beziehung, Körperteil",1,53
53. Sneewittchen .,"Adel, Beziehung",1,123
53. Sneewittchen .,"Tier, Eigenname",1,4
53. Sneewittchen .,"Wertgegenstände, Orte",1,15
"54. Der Ranzen , das Hütlein und das Hörnlein .","Männlich, Beziehung",8,185
"54. Der Ranzen , das Hütlein und das Hörnlein .","Wertgegenstände, Beziehung",3,31
"54. Der Ranzen , das Hütlein und das Hörnlein .","Männlich, Wertgegenstände",3,32
"54. Der Ranzen , das Hütlein und das Hörnlein .","Adel, Beziehung",2,123
"54. Der Ranzen , das Hütlein und das Hörnlein .","Adel, Weiblich",1,105
"54. Der Ranzen , das Hütlein und das Hörnlein .","Adel, Körperteil",1,61
"54. Der Ranzen , das Hütlein und das Hörnlein .","Weiblich, Beziehung",1,176
"54. Der Ranzen , das Hütlein und das Hörnlein .","Wertgegenstände, Orte",1,15
"54. Der Ranzen , das Hütlein und das Hörnlein .","Orte, Beziehung",1,82
"54. Der Ranzen , das Hütlein und das Hörnlein .","Orte, Körperteil",1,34
"54. Der Ranzen , das Hütlein und das Hörnlein .","Adel, Männlich",1,72
"54. Der Ranzen , das Hütlein und das Hörnlein .","Männlich, Verschiedenes",1,32
"54. Der Ranzen , das Hütlein und das Hörnlein .","Beziehung, Körperteil",1,53
"54. Der Ranzen , das Hütlein und das Hörnlein .","Beziehung, Verschiedenes",1,54
"54. Der Ranzen , das Hütlein und das Hörnlein .","Adel, Wertgegenstände",1,28
55. Rumpelstilzchen .,"Weiblich, Beziehung",8,176
55. Rumpelstilzchen .,"Adel, Beziehung",7,123
55. Rumpelstilzchen .,"Adel, Weiblich",6,105
55. Rumpelstilzchen .,"Adel, Wertgegenstände",5,28
55. Rumpelstilzchen .,"Weiblich, Wertgegenstände",4,20
55. Rumpelstilzchen .,"Wertgegenstände, Beziehung",4,31
55. Rumpelstilzchen .,"Orte, Beziehung",3,82
55. Rumpelstilzchen .,"Adel, Orte",2,61
55. Rumpelstilzchen .,"Gewerbebezeichnung, Beziehung",2,37
55. Rumpelstilzchen .,"Weiblich, Gewerbebezeichnung",2,21
55. Rumpelstilzchen .,"Beziehung, Verschiedenes",2,54
55. Rumpelstilzchen .,"Wertgegenstände, Orte",1,15
55. Rumpelstilzchen .,"Adel, Körperteil",1,61
55. Rumpelstilzchen .,"Weiblich, Orte",1,65
55. Rumpelstilzchen .,"Wertgegenstände, Körperteil",1,14
55. Rumpelstilzchen .,"Gewerbebezeichnung, Wertgegenstände",1,9
55. Rumpelstilzchen .,"Orte, Verschiedenes",1,33
55. Rumpelstilzchen .,"Adel, Gewerbebezeichnung",1,59
56. Der Liebste Roland .,"Weiblich, Beziehung",2,176
56. Der Liebste Roland .,"Fabelwesen, Beziehung",2,14
56. Der Liebste Roland .,"Fabelwesen, Weiblich",2,16
56. Der Liebste Roland .,"Beziehung, Körperteil",1,53
56. Der Liebste Roland .,"Fabelwesen, Orte",1,15
57. Der goldene Vogel .,"Männlich, Beziehung",13,185
57. Der goldene Vogel .,"Adel, Tier",10,16
57. Der goldene Vogel .,"Tier, Körperteil",9,25
57. Der goldene Vogel .,"Tier, Orte",8,21
57. Der goldene Vogel .,"Adel, Männlich",8,72
57. Der goldene Vogel .,"Tier, Männlich",7,39
57. Der goldene Vogel .,"Adel, Körperteil",7,61
57. Der goldene Vogel .,"Adel, Beziehung",6,123
57. Der goldene Vogel .,"Adel, Orte",4,61
57. Der goldene Vogel .,"Orte, Beziehung",3,82
57. Der goldene Vogel .,"Tier, Beziehung",3,11
57. Der goldene Vogel .,"Orte, Körperteil",3,34
57. Der goldene Vogel .,"Männlich, Körperteil",3,30
57. Der goldene Vogel .,"Männlich, Orte",3,41
57. Der goldene Vogel .,"Adel, Weiblich",2,105
57. Der goldene Vogel .,"Adel, Verschiedenes",2,67
57. Der goldene Vogel .,"Weiblich, Beziehung",2,176
57. Der goldene Vogel .,"Männlich, Weiblich",1,33
58. Der Hund und der Sperling .,"Männlich, Beziehung",2,185
58. Der Hund und der Sperling .,"Weiblich, Nahrung",1,13
59. Der Frieder und das Catherlieschen .,"Weiblich, Wertgegenstände",2,20
59. Der Frieder und das Catherlieschen .,"Gewerbebezeichnung, Körperteil",2,19
59. Der Frieder und das Catherlieschen .,"Wertgegenstände, Körperteil",1,14
59. Der Frieder und das Catherlieschen .,"Männlich, Gewerbebezeichnung",1,36
59. Der Frieder und das Catherlieschen .,"Gewerbebezeichnung, Orte",1,14
59. Der Frieder und das Catherlieschen .,"Nahrung, Verschiedenes",1,6
59. Der Frieder und das Catherlieschen .,"Männlich, Körperteil",1,30
60. Die zwei Brüder .,"Männlich, Beziehung",23,185
60. Die zwei Brüder .,"Adel, Männlich",21,72
60. Die zwei Brüder .,"Adel, Gewerbebezeichnung",18,59
60. Die zwei Brüder .,"Adel, Beziehung",16,123
60. Die zwei Brüder .,"Männlich, Gewerbebezeichnung",13,36
60. Die zwei Brüder .,"Weiblich, Beziehung",13,176
60. Die zwei Brüder .,"Adel, Weiblich",12,105
60. Die zwei Brüder .,"Adel, Nahrung",6,10
60. Die zwei Brüder .,"Gewerbebezeichnung, Beziehung",5,37
60. Die zwei Brüder .,"Weiblich, Gewerbebezeichnung",5,21
60. Die zwei Brüder .,"Orte, Beziehung",5,82
60. Die zwei Brüder .,"Adel, Verschiedenes",5,67
60. Die zwei Brüder .,"Adel, Körperteil",4,61
60. Die zwei Brüder .,"Männlich, Körperteil",4,30
60. Die zwei Brüder .,"Wertgegenstände, Beziehung",4,31
60. Die zwei Brüder .,"Männlich, Nahrung",4,10
60. Die zwei Brüder .,"Adel, Tier",4,16
60. Die zwei Brüder .,"Tier, Körperteil",3,25
60. Die zwei Brüder .,"Männlich, Orte",3,41
60. Die zwei Brüder .,"Männlich, Weiblich",3,33
60. Die zwei Brüder .,"Gewerbebezeichnung, Nahrung",3,4
60. Die zwei Brüder .,"Männlich, Wertgegenstände",3,32
60. Die zwei Brüder .,"Gewerbebezeichnung, Körperteil",2,19
60. Die zwei Brüder .,"Gewerbebezeichnung, Verschiedenes",2,12
60. Die zwei Brüder .,"Tier, Gewerbebezeichnung",2,10
60. Die zwei Brüder .,"Tier, Männlich",2,39
60. Die zwei Brüder .,"Beziehung, Körperteil",2,53
60. Die zwei Brüder .,"Beziehung, Verschiedenes",2,54
60. Die zwei Brüder .,"Weiblich, Körperteil",1,41
60. Die zwei Brüder .,"Weiblich, Verschiedenes",1,35
60. Die zwei Brüder .,"Fabelwesen, Weiblich",1,16
60. Die zwei Brüder .,"Wertgegenstände, Körperteil",1,14
60. Die zwei Brüder .,"Männlich, Verschiedenes",1,32
60. Die zwei Brüder .,"Tier, Weiblich",1,14
60. Die zwei Brüder .,"Fabelwesen, Männlich",1,18
60. Die zwei Brüder .,"Tier, Nahrung",1,4
60. Die zwei Brüder .,"Adel, Orte",1,61
60. Die zwei Brüder .,"Wertgegenstände, Orte",1,15
60. Die zwei Brüder .,"Fabelwesen, Orte",1,15
60. Die zwei Brüder .,"Fabelwesen, Beziehung",1,14
60. Die zwei Brüder .,"Fabelwesen, Körperteil",1,9
60. Die zwei Brüder .,"Orte, Körperteil",1,34
61. Das Bürle .,"Tier, Gewerbebezeichnung",4,10
61. Das Bürle .,"Weiblich, Nahrung",2,13
61. Das Bürle .,"Weiblich, Gewerbebezeichnung",2,21
61. Das Bürle .,"Gewerbebezeichnung, Wertgegenstände",2,9
61. Das Bürle .,"Gewerbebezeichnung, Nahrung",1,4
61. Das Bürle .,"Weiblich, Körperteil",1,41
61. Das Bürle .,"Weiblich, Verschiedenes",1,35
61. Das Bürle .,"Gewerbebezeichnung, Orte",1,14
61. Das Bürle .,"Weiblich, Orte",1,65
61. Das Bürle .,"Weiblich, Wertgegenstände",1,20
62. Die Bienenkönigin .,"Männlich, Beziehung",5,185
62. Die Bienenkönigin .,"Adel, Orte",2,61
62. Die Bienenkönigin .,"Adel, Beziehung",2,123
62. Die Bienenkönigin .,"Adel, Weiblich",1,105
62. Die Bienenkönigin .,"Beziehung, Verschiedenes",1,54
62. Die Bienenkönigin .,"Wertgegenstände, Orte",1,15
62. Die Bienenkönigin .,"Adel, Männlich",1,72
62. Die Bienenkönigin .,"Adel, Wertgegenstände",1,28
62. Die Bienenkönigin .,"Weiblich, Beziehung",1,176
62. Die Bienenkönigin .,"Männlich, Verschiedenes",1,32
63. Die drei Federn .,"Männlich, Beziehung",4,185
63. Die drei Federn .,"Adel, Weiblich",2,105
63. Die drei Federn .,"Adel, Verschiedenes",1,67
63. Die drei Federn .,"Weiblich, Beziehung",1,176
63. Die drei Federn .,"Männlich, Weiblich",1,33
63. Die drei Federn .,"Weiblich, Körperteil",1,41
64. Die goldene Gans .,"Weiblich, Beziehung",4,176
64. Die goldene Gans .,"Orte, Nahrung",4,16
64. Die goldene Gans .,"Adel, Weiblich",3,105
64. Die goldene Gans .,"Adel, Beziehung",3,123
64. Die goldene Gans .,"Adel, Orte",2,61
64. Die goldene Gans .,"Adel, Nahrung",2,10
64. Die goldene Gans .,"Männlich, Gewerbebezeichnung",2,36
64. Die goldene Gans .,"Gewerbebezeichnung, Beziehung",1,37
64. Die goldene Gans .,"Gewerbebezeichnung, Orte",1,14
64. Die goldene Gans .,"Weiblich, Gewerbebezeichnung",1,21
64. Die goldene Gans .,"Adel, Verschiedenes",1,67
64. Die goldene Gans .,"Orte, Körperteil",1,34
64. Die goldene Gans .,"Männlich, Körperteil",1,30
64. Die goldene Gans .,"Weiblich, Orte",1,65
64. Die goldene Gans .,"Männlich, Beziehung",1,185
64. Die goldene Gans .,"Gewerbebezeichnung, Körperteil",1,19
64. Die goldene Gans .,"Orte, Beziehung",1,82
64. Die goldene Gans .,"Männlich, Verschiedenes",1,32
64. Die goldene Gans .,"Beziehung, Verschiedenes",1,54
65. Allerleirauh .,"Adel, Gewerbebezeichnung",7,59
65. Allerleirauh .,"Gewerbebezeichnung, Verschiedenes",4,12
65. Allerleirauh .,"Adel, Verschiedenes",4,67
65. Allerleirauh .,"Adel, Weiblich",3,105
65. Allerleirauh .,"Adel, Beziehung",3,123
65. Allerleirauh .,"Weiblich, Beziehung",3,176
65. Allerleirauh .,"Adel, Körperteil",2,61
65. Allerleirauh .,"Körperteil, Verschiedenes",2,23
65. Allerleirauh .,"Beziehung, Verschiedenes",1,54
65. Allerleirauh .,"Adel, Orte",1,61
65. Allerleirauh .,"Adel, Fabelwesen",1,6
65. Allerleirauh .,"Fabelwesen, Verschiedenes",1,4
65. Allerleirauh .,"Fabelwesen, Gewerbebezeichnung",1,3
65. Allerleirauh .,"Weiblich, Verschiedenes",1,35
65. Allerleirauh .,"Gewerbebezeichnung, Körperteil",1,19
66. Häsichenbraut .,"Tier, Gewerbebezeichnung",1,10
67. Die zwölf Jäger .,"Orte, Körperteil",1,34
67. Die zwölf Jäger .,"Adel, Gewerbebezeichnung",1,59
67. Die zwölf Jäger .,"Weiblich, Beziehung",1,176
67. Die zwölf Jäger .,"Adel, Weiblich",1,105
67. Die zwölf Jäger .,"Adel, Beziehung",1,123
68. De Gaudeif un sien Meester .,"Fabelwesen, Weiblich",1,16
68. De Gaudeif un sien Meester .,"Fabelwesen, Orte",1,15
68. De Gaudeif un sien Meester .,"Fabelwesen, Männlich",1,18
68. De Gaudeif un sien Meester .,"Weiblich, Orte",1,65
68. De Gaudeif un sien Meester .,"Männlich, Orte",1,41
68. De Gaudeif un sien Meester .,"Wertgegenstände, Verschiedenes",1,8
68. De Gaudeif un sien Meester .,"Männlich, Weiblich",1,33
69. Jorinde und Joringel .,"Weiblich, Orte",1,65
70. Die drei Glückskinder .,"Männlich, Beziehung",3,185
70. Die drei Glückskinder .,"Wertgegenstände, Beziehung",1,31
70. Die drei Glückskinder .,"Adel, Wertgegenstände",1,28
70. Die drei Glückskinder .,"Adel, Beziehung",1,123
70. Die drei Glückskinder .,"Adel, Männlich",1,72
70. Die drei Glückskinder .,"Männlich, Wertgegenstände",1,32
71. Sechse kommen durch die ganze Welt .,"Adel, Orte",4,61
71. Sechse kommen durch die ganze Welt .,"Adel, Gewerbebezeichnung",4,59
71. Sechse kommen durch die ganze Welt .,"Männlich, Orte",4,41
71. Sechse kommen durch die ganze Welt .,"Weiblich, Beziehung",3,176
71. Sechse kommen durch die ganze Welt .,"Adel, Weiblich",3,105
71. Sechse kommen durch die ganze Welt .,"Adel, Beziehung",3,123
71. Sechse kommen durch die ganze Welt .,"Adel, Körperteil",2,61
71. Sechse kommen durch die ganze Welt .,"Adel, Wertgegenstände",2,28
71. Sechse kommen durch die ganze Welt .,"Orte, Verschiedenes",2,33
71. Sechse kommen durch die ganze Welt .,"Orte, Körperteil",1,34
71. Sechse kommen durch die ganze Welt .,"Adel, Männlich",1,72
71. Sechse kommen durch die ganze Welt .,"Adel, Verschiedenes",1,67
71. Sechse kommen durch die ganze Welt .,"Gewerbebezeichnung, Wertgegenstände",1,9
71. Sechse kommen durch die ganze Welt .,"Männlich, Gewerbebezeichnung",1,36
71. Sechse kommen durch die ganze Welt .,"Gewerbebezeichnung, Beziehung",1,37
71. Sechse kommen durch die ganze Welt .,"Weiblich, Gewerbebezeichnung",1,21
71. Sechse kommen durch die ganze Welt .,"Männlich, Wertgegenstände",1,32
71. Sechse kommen durch die ganze Welt .,"Männlich, Weiblich",1,33
71. Sechse kommen durch die ganze Welt .,"Wertgegenstände, Körperteil",1,14
71. Sechse kommen durch die ganze Welt .,"Männlich, Beziehung",1,185
71. Sechse kommen durch die ganze Welt .,"Weiblich, Wertgegenstände",1,20
71. Sechse kommen durch die ganze Welt .,"Wertgegenstände, Beziehung",1,31
72. Der Wolf und der Mensch .,"Tier, Körperteil",2,25
72. Der Wolf und der Mensch .,"Tier, Männlich",1,39
72. Der Wolf und der Mensch .,"Tier, Beziehung",1,11
72. Der Wolf und der Mensch .,"Männlich, Körperteil",1,30
72. Der Wolf und der Mensch .,"Männlich, Beziehung",1,185
72. Der Wolf und der Mensch .,"Beziehung, Körperteil",1,53
73. Der Wolf und der Fuchs .,"Tier, Orte",4,21
73. Der Wolf und der Fuchs .,"Tier, Weiblich",2,14
73. Der Wolf und der Fuchs .,"Weiblich, Orte",2,65
73. Der Wolf und der Fuchs .,"Weiblich, Nahrung",1,13
73. Der Wolf und der Fuchs .,"Orte, Nahrung",1,16
73. Der Wolf und der Fuchs .,"Tier, Nahrung",1,4
73. Der Wolf und der Fuchs .,"Tier, Männlich",1,39
73. Der Wolf und der Fuchs .,"Tier, Verschiedenes",1,11
74. Der Fuchs und die Frau Gevatterin .,"Tier, Weiblich",3,14
74. Der Fuchs und die Frau Gevatterin .,"Tier, Orte",2,21
74. Der Fuchs und die Frau Gevatterin .,"Weiblich, Verschiedenes",1,35
74. Der Fuchs und die Frau Gevatterin .,"Weiblich, Orte",1,65
75. Der Fuchs und die Katze .,"Tier, Männlich",5,39
75. Der Fuchs und die Katze .,"Tier, Verschiedenes",1,11
75. Der Fuchs und die Katze .,"Männlich, Verschiedenes",1,32
75. Der Fuchs und die Katze .,"Tier, Körperteil",1,25
75. Der Fuchs und die Katze .,"Tier, Orte",1,21
75. Der Fuchs und die Katze .,"Männlich, Körperteil",1,30
75. Der Fuchs und die Katze .,"Männlich, Orte",1,41
75. Der Fuchs und die Katze .,"Körperteil, Verschiedenes",1,23
76. Die Nelke .,"Adel, Gewerbebezeichnung",6,59
76. Die Nelke .,"Adel, Verschiedenes",5,67
76. Die Nelke .,"Adel, Weiblich",4,105
76. Die Nelke .,"Adel, Männlich",4,72
76. Die Nelke .,"Gewerbebezeichnung, Körperteil",3,19
76. Die Nelke .,"Gewerbebezeichnung, Beziehung",2,37
76. Die Nelke .,"Weiblich, Gewerbebezeichnung",2,21
76. Die Nelke .,"Adel, Beziehung",2,123
76. Die Nelke .,"Adel, Körperteil",2,61
76. Die Nelke .,"Männlich, Gewerbebezeichnung",1,36
76. Die Nelke .,"Gewerbebezeichnung, Verschiedenes",1,12
76. Die Nelke .,"Orte, Verschiedenes",1,33
76. Die Nelke .,"Männlich, Beziehung",1,185
76. Die Nelke .,"Adel, Orte",1,61
76. Die Nelke .,"Orte, Beziehung",1,82
76. Die Nelke .,"Weiblich, Beziehung",1,176
77. Das kluge Grethel .,"Männlich, Beziehung",5,185
78. Der alte Großvater und der Enkel .,"Weiblich, Beziehung",1,176
78. Der alte Großvater und der Enkel .,"Beziehung, Verschiedenes",1,54
79. Die Wassernixe .,"Fabelwesen, Weiblich",3,16
79. Die Wassernixe .,"Weiblich, Beziehung",2,176
79. Die Wassernixe .,"Weiblich, Orte",2,65
79. Die Wassernixe .,"Orte, Beziehung",2,82
79. Die Wassernixe .,"Fabelwesen, Orte",1,15
79. Die Wassernixe .,"Fabelwesen, Beziehung",1,14
