tales	similarity (overlap of top 10 nouns)	nouns
26. Rothkäppchen ., 40. Der Räuberbräutigam .	3	 Haus,  Weg,  Wald
26. Rothkäppchen ., 49. Die sechs Schwäne .	3	 Weg,  Wald,  Tag
26. Rothkäppchen ., 73. Der Wolf und der Fuchs .	3	 Wald,  Tag,  Wolf
26. Rothkäppchen ., full corpus	3	 Haus,  Wald,  Tag
27. Die Bremer Stadtmusikanten ., 40. Der Räuberbräutigam .	3	 Haus,  Weg,  Räuber
28. Der singende Knochen ., 49. Die sechs Schwäne .	3	 Bruder,  Wald, König
28. Der singende Knochen ., full corpus	3	 Bruder,  Wald, König
31. Das Mädchen ohne Hände ., 49. Die sechs Schwäne .	3	 Königin, König,  Kind
31. Das Mädchen ohne Hände ., 50. Dornröschen .	3	 Königin, König,  Kind
31. Das Mädchen ohne Hände ., 52. König Drosselbart .	3	König,  Hand,  Frau
31. Das Mädchen ohne Hände ., 76. Die Nelke .	3	 Königin, König,  Kind
31. Das Mädchen ohne Hände ., full corpus	3	König,  Frau,  Kind
34. Die kluge Else ., 37. Daumesdick .	3	 Frau,  Mann,  Kind
34. Die kluge Else ., 42. Der Herr Gevatter .	3	 Kopf,  Mann,  Kind
34. Die kluge Else ., full corpus	3	 Frau,  Mann,  Kind
37. Daumesdick ., 58. Der Hund und der Sperling .	3	 Pferd,  Wagen,  Mann
37. Daumesdick ., 85. Die Goldkinder .	3	 Pferd,  Vater,  Frau
38. Die Hochzeit der Frau Füchsin ., 48. Der alte Sultan .	3	 Katze,  Frau,  Herr
38. Die Hochzeit der Frau Füchsin ., 75. Der Fuchs und die Katze .	3	 Katze, Fuchs,  Herr
39. Die Wichtelmänner ., 78. Der alte Großvater und der Enkel .	3	 Tisch,  Mann,  Frau
42. Der Herr Gevatter ., 44. Der Gevatter Tod .	3	 Kranke,  Mann,  Kind
43. Frau Trude ., 49. Die sechs Schwäne .	3	 Mädchen,  Tag,  Kind
48. Der alte Sultan ., full corpus	3	 Frau,  Wald,  Kind
49. Die sechs Schwäne ., 54. Der Ranzen , das Hütlein und das Hörnlein .	3	 Bruder,  Wald,  Tag
49. Die sechs Schwäne ., 56. Der Liebste Roland .	3	 Mädchen,  Alte,  Kind
49. Die sechs Schwäne ., 76. Die Nelke .	3	 Königin, König,  Kind
50. Dornröschen ., 76. Die Nelke .	3	 Königin, König,  Kind
50. Dornröschen ., full corpus	3	König,  Tag,  Kind
52. König Drosselbart ., 71. Sechse kommen durch die ganze Welt .	3	 Mann,  Königstochter, König
52. König Drosselbart ., full corpus	3	 Frau,  Mann, König
53. Sneewittchen ., 76. Die Nelke .	3	 Königin,  Herz,  Kind
54. Der Ranzen , das Hütlein und das Hörnlein ., full corpus	3	 Bruder,  Wald,  Tag
63. Die drei Federn ., full corpus	3	 Bruder,  Frau, König
71. Sechse kommen durch die ganze Welt ., 75. Der Fuchs und die Katze .	3	 Sack,  Welt,  Herr
78. Der alte Großvater und der Enkel ., full corpus	3	 Mann,  Vater,  Frau
1. Der Froschkönig oder der eiserne Heinrich ., 8. Der wunderliche Spielmann .	2	 Geselle,  Wald
1. Der Froschkönig oder der eiserne Heinrich ., 9. Die zwölf Brüder .	2	 König,  Wald
1. Der Froschkönig oder der eiserne Heinrich ., 17. Die weiße Schlange .	2	 König,  Königstochter
1. Der Froschkönig oder der eiserne Heinrich ., 20. Das tapfere Schneiderlein .	2	 Wald,  König
1. Der Froschkönig oder der eiserne Heinrich ., 29. Der Teufel mit den drei goldenen Haaren .	2	 König,  Wasser
1. Der Froschkönig oder der eiserne Heinrich ., 51. Fundevogel .	2	 Wald,  Wasser
1. Der Froschkönig oder der eiserne Heinrich ., 54. Der Ranzen , das Hütlein und das Hörnlein .	2	 Wald,  König
1. Der Froschkönig oder der eiserne Heinrich ., 64. Die goldene Gans .	2	 König,  Wald
2. Katze und Maus in Gesellschaft ., 12. Rapunzel .	2	 Tag,  Kind
2. Katze und Maus in Gesellschaft ., 15. Hänsel und Grethel .	2	 Haus,  Kind
2. Katze und Maus in Gesellschaft ., 23. Von dem Mäuschen , Vögelchen und der Bratwurst .	2	 Maus,  Tag
2. Katze und Maus in Gesellschaft ., 26. Rothkäppchen .	2	 Haus,  Tag
2. Katze und Maus in Gesellschaft ., 44. Der Gevatter Tod .	2	 Gevatter,  Kind
2. Katze und Maus in Gesellschaft ., 49. Die sechs Schwäne .	2	 Tag,  Kind
2. Katze und Maus in Gesellschaft ., 50. Dornröschen .	2	 Tag,  Kind
2. Katze und Maus in Gesellschaft ., 70. Die drei Glückskinder .	2	 Maus, Katze
3. Marienkind ., 11. Brüderchen und Schwesterchen .	2	 Königin,  Kind
3. Marienkind ., 13. Die drei Männlein im Walde .	2	 Mädchen,  König
3. Marienkind ., 25. Die sieben Raben .	2	 Mädchen,  Kind
3. Marienkind ., 31. Das Mädchen ohne Hände .	2	 Königin,  Kind
3. Marienkind ., 35. Der Schneider im Himmel .	2	 Himmel,  Türe
3. Marienkind ., 43. Frau Trude .	2	 Mädchen,  Kind
3. Marienkind ., 53. Sneewittchen .	2	 Königin,  Kind
3. Marienkind ., 56. Der Liebste Roland .	2	 Mädchen,  Kind
3. Marienkind ., 76. Die Nelke .	2	 Königin,  Kind
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 9. Die zwölf Brüder .	2	 Feuer,  König
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 13. Die drei Männlein im Walde .	2	 Mann,  König
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 16. Die drei Schlangenblätter .	2	 Mann,  Vater
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 19. Von dem Fischer un syner Fru .	2	 Mann,  König
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 20. Das tapfere Schneiderlein .	2	 Mann,  König
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 37. Daumesdick .	2	 Mann,  Vater
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 55. Rumpelstilzchen .	2	 Nacht,  König
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 64. Die goldene Gans .	2	 Mann,  König
4. Mährchen von einem , der auszog das Fürchten zu lernen ., full corpus	2	 Mann,  Vater
5. Der Wolf und die sieben jungen Geislein ., 6. Der treue Johannes .	2	 Stein,  Kind
5. Der Wolf und die sieben jungen Geislein ., 11. Brüderchen und Schwesterchen .	2	 Wald,  Kind
5. Der Wolf und die sieben jungen Geislein ., 15. Hänsel und Grethel .	2	 Wald,  Kind
5. Der Wolf und die sieben jungen Geislein ., 20. Das tapfere Schneiderlein .	2	 Stein,  Wald
5. Der Wolf und die sieben jungen Geislein ., 49. Die sechs Schwäne .	2	 Wald,  Kind
5. Der Wolf und die sieben jungen Geislein ., full corpus	2	 Wald,  Kind
6. Der treue Johannes ., 11. Brüderchen und Schwesterchen .	2	König,  Kind
6. Der treue Johannes ., 17. Die weiße Schlange .	2	 Leben,  Königstochter
6. Der treue Johannes ., 31. Das Mädchen ohne Hände .	2	König,  Kind
6. Der treue Johannes ., 49. Die sechs Schwäne .	2	König,  Kind
6. Der treue Johannes ., 52. König Drosselbart .	2	 Königstochter, König
6. Der treue Johannes ., 62. Die Bienenkönigin .	2	 Stein,  Schloß
6. Der treue Johannes ., 67. Die zwölf Jäger .	2	 Königstochter, König
6. Der treue Johannes ., 71. Sechse kommen durch die ganze Welt .	2	 Königstochter, König
6. Der treue Johannes ., full corpus	2	König,  Kind
7. Der gute Handel ., 33. Die drei Sprachen .	2	 Hund,  Frosch
7. Der gute Handel ., 54. Der Ranzen , das Hütlein und das Hörnlein .	2	 König,  Tag
8. Der wunderliche Spielmann ., 15. Hänsel und Grethel .	2	 Weg,  Wald
8. Der wunderliche Spielmann ., 20. Das tapfere Schneiderlein .	2	 Baum,  Wald
8. Der wunderliche Spielmann ., 40. Der Räuberbräutigam .	2	 Weg,  Wald
8. Der wunderliche Spielmann ., 49. Die sechs Schwäne .	2	 Weg,  Wald
8. Der wunderliche Spielmann ., 64. Die goldene Gans .	2	 Baum,  Wald
8. Der wunderliche Spielmann ., 73. Der Wolf und der Fuchs .	2	 Wald,  Wolf
8. Der wunderliche Spielmann ., 75. Der Fuchs und die Katze .	2	 Baum,  Wald
9. Die zwölf Brüder ., 11. Brüderchen und Schwesterchen .	2	 Wald,  Kind
