title	number_of_sentences	number_of_tokens	number_of_lemmas	mean_sentence_length	lemma_token_ratio	top_10_nouns
183. Der Riese und der Schneider .	29	834	275	28.75862068965517	0.32973621103117506	Riese, Schneider, Wald, Wasser, 'warum, Brunnen, Quelle, Diener, Holz, Sinn
184. Der Nagel .	11	288	124	26.181818181818183	0.4305555555555556	Pferd, Nagel, Kaufmann, Eile, Nacht, Haus, Mantelsack, Roß, 'herr, Hinterfuß
185. Der arme Junge im Grab .	48	1342	398	27.958333333333332	0.2965722801788376	Junge, Brief, Mann, Bauer, Tag, Richter, Traube, Tod, Grab, Stroh
186. Die wahre Braut .	96	2810	667	29.270833333333332	0.23736654804270463	Mädchen, Hand, Arbeit, Abend, Tag, Alte, Schloß, Linde, Braut, Stiefmutter
187. Der Hase und der Jgel .	47	1514	499	32.212765957446805	0.3295904887714663	De, Hase, Swinegel, Fro, Aver, Wöör, Up, He, To, Du
188. Spindel , Weberschiffchen und Nadel .	42	1146	353	27.285714285714285	0.3080279232111693	Mädchen, Spindel, Nadel, Hand, Haus, Königssohn, Faden, Weberschiffchen, Ende, Arbeit
189. Der Bauer und der Teufel .	16	406	162	25.375	0.39901477832512317	Bäuerlein, Teufel, Erde, Acker, Schatz, Frucht, Rübe, Zeit, Bauer, Streiche
190. Die Brosamen auf dem Tisch .	7	197	110	28.142857142857142	0.5583756345177665	Güggel, Tisch, Uffe, Dhüendli, 'nei, Nei, Dfrau, Brosame, Einisch, Frau
191. Das Meerhäschen .	46	1301	354	28.282608695652176	0.27209838585703305	Königstochter, Fenster, Fuchs, Jüngling, Rabe, Fisch, Schloß, Haupt, Tag, Pfahl
192. Der Meisterdieb .	98	3388	745	34.57142857142857	0.21989374262101535	Graf, Dieb, Sack, Herr, Meister, Pfarrer, Sohn, Meisterdieb, Bauer, Fremde
193. Der Trommler .	117	4167	747	35.61538461538461	0.17926565874730022	Trommler, Mädchen, Glasberg, Riese, Abend, Hexe, Alte, Arbeit, Wald, Königstochter
194. Die Kornähre .	11	247	128	22.454545454545453	0.5182186234817814	Ähre, Gott, Halm, Mensch, Herr, Kornähre, Erde, Fruchtbarkeit, Boden, Sechzigfältig
195. Der Grabhügel .	51	1589	467	31.15686274509804	0.2938955317809943	Soldat, Gold, Stiefel, Arme, Teufel, Bauer, Grabhügel, Korn, Kind, Nacht
196. Oll Rinkrank .	30	925	281	30.833333333333332	0.3037837837837838	De, He, Barg, Eine, König, To, Rinkrank, Königsdocht, Bart, Tochter
197. Die Krystallkugel .	33	1143	364	34.63636363636363	0.3184601924759405	Jüngling, Schloß, Königstochter, Ei, Meer, Gestalt, Sonne, Hut, Kristallkugel, Macht
198. Jungfrau Maleen .	79	2179	493	27.582278481012658	0.22625057365764112	Jungfrau, Maleen, Braut, De, Kirche, Vater, Königssohn, Kammer, Brennesselbusch, Kirchentür
199. Der Stiefel von Büffelleder .	42	1586	419	37.76190476190476	0.26418663303909207	Soldat, Jäger, Räuber, Alte, Wald, Flasche, Tag, Weg, Hand, Braten
200. Der goldene Schlüssel .	8	197	102	24.625	0.5177664974619289	Schlüssel, Kastenchen, Schnee, Sache, Winterszeit, Junge, Holz, Schlitten, Haus, Feuer
full corpus	8657	302452	73414	35.35194731895284	0.2427294248343539	König, De, Frau, Mann, Tag, Haus, Kind, Vater, Wald, Mädchen
