tales	similarity (overlap of top 10 nouns)	nouns
67. Die zwölf Jäger ., 127. Der Eisenofen .	2	 Königstochter,  Braut
67. Die zwölf Jäger ., 135. Die weiße und die schwarze Braut .	2	König,  Braut
67. Die zwölf Jäger ., 193. Der Trommler .	2	 Königstochter,  Mädchen
67. Die zwölf Jäger ., 198. Jungfrau Maleen .	2	 Braut,  Vater
68. De Gaudeif un sien Meester ., 87. Der Arme und der Reiche .	2	 Pferd,  Mann
68. De Gaudeif un sien Meester ., 104. Die klugen Leute .	2	 Pferd,  Mann
68. De Gaudeif un sien Meester ., 139. Dat Mäken von Brakel .	2	 Mann,  De
68. De Gaudeif un sien Meester ., 145. Der undankbare Sohn .	2	Sohn,  Mann
68. De Gaudeif un sien Meester ., 178. Meister Pfriem .	2	 Pferd,  Meister
68. De Gaudeif un sien Meester ., full corpus	2	 Mann,  De
69. Jorinde und Joringel ., 73. Der Wolf und der Fuchs .	2	 Tag,  Wald
69. Jorinde und Joringel ., 85. Die Goldkinder .	2	 Wald,  Schloß
69. Jorinde und Joringel ., 88. Das singende springende Löweneckerchen .	2	 Vogel,  Schloß
69. Jorinde und Joringel ., 93. Die Rabe .	2	 Tag,  Schloß
69. Jorinde und Joringel ., 122. Der Krautesel .	2	 Vogel,  Schloß
69. Jorinde und Joringel ., 123. Die Alte im Wald .	2	 Tag,  Wald
69. Jorinde und Joringel ., 127. Der Eisenofen .	2	 Tag,  Wald
69. Jorinde und Joringel ., 136. Der Eisenhans .	2	 Tag,  Wald
69. Jorinde und Joringel ., 186. Die wahre Braut .	2	 Tag,  Schloß
69. Jorinde und Joringel ., 191. Das Meerhäschen .	2	 Tag,  Schloß
69. Jorinde und Joringel ., 199. Der Stiefel von Büffelleder .	2	 Tag,  Wald
69. Jorinde und Joringel ., full corpus	2	 Tag,  Wald
70. Die drei Glückskinder ., 93. Die Rabe .	2	 Zeit,  Schloß
70. Die drei Glückskinder ., 108.	2	 König,  Hahn
70. Die drei Glückskinder ., 149. Der Hahnenbalken .	2	 Leute,  Hahn
70. Die drei Glückskinder ., 171. Der Zaunkönig .	2	 Zeit,  König
71. Sechse kommen durch die ganze Welt ., 76. Die Nelke .	2	König,  Herr
71. Sechse kommen durch die ganze Welt ., 89. Die Gänsemagd .	2	König,  Königstochter
71. Sechse kommen durch die ganze Welt ., 94. Die kluge Bauerntochter .	2	König,  Herr
71. Sechse kommen durch die ganze Welt ., 111. Der gelernte Jäger .	2	 Welt,  Königstochter
71. Sechse kommen durch die ganze Welt ., 129. Die vier kunstreichen Brüder .	2	 Königstochter,  Mann
71. Sechse kommen durch die ganze Welt ., 136. Der Eisenhans .	2	König,  Mann
71. Sechse kommen durch die ganze Welt ., 151 * .	2	 Herr,  Bein
71. Sechse kommen durch die ganze Welt ., 180. Die ungleichen Kinder Evas .	2	 Herr,  Welt
71. Sechse kommen durch die ganze Welt ., 192. Der Meisterdieb .	2	 Herr,  Sack
71. Sechse kommen durch die ganze Welt ., full corpus	2	König,  Mann
73. Der Wolf und der Fuchs ., 74. Der Fuchs und die Frau Gevatterin .	2	 Bauer, Fuchs
73. Der Wolf und der Fuchs ., 75. Der Fuchs und die Katze .	2	 Wald, Fuchs
73. Der Wolf und der Fuchs ., 104. Die klugen Leute .	2	 Tag,  Bauer
73. Der Wolf und der Fuchs ., 123. Die Alte im Wald .	2	 Tag,  Wald
73. Der Wolf und der Fuchs ., 127. Der Eisenofen .	2	 Tag,  Wald
73. Der Wolf und der Fuchs ., 136. Der Eisenhans .	2	 Tag,  Wald
73. Der Wolf und der Fuchs ., 185. Der arme Junge im Grab .	2	 Tag,  Bauer
73. Der Wolf und der Fuchs ., 199. Der Stiefel von Büffelleder .	2	 Tag,  Wald
73. Der Wolf und der Fuchs ., full corpus	2	 Tag,  Wald
74. Der Fuchs und die Frau Gevatterin ., 75. Der Fuchs und die Katze .	2	 Welt, Fuchs
74. Der Fuchs und die Frau Gevatterin ., 94. Die kluge Bauerntochter .	2	 Bauer,  Frau
74. Der Fuchs und die Frau Gevatterin ., 95. Der alte Hildebrand .	2	 Bauer,  Gevatter
74. Der Fuchs und die Frau Gevatterin ., 96. De drei Vügelkens .	2	 Frau,  Junge
74. Der Fuchs und die Frau Gevatterin ., 98. Doctor Allwissend .	2	 Bauer,  Frau
74. Der Fuchs und die Frau Gevatterin ., 157. Der Sperling und seine vier Kinder .	2	 Welt,  Junge
75. Der Fuchs und die Katze ., 132. Der Fuchs und das Pferd .	2	 Wald,  Herr
75. Der Fuchs und die Katze ., 161. Schneeweißchen und Rosenroth .	2	 Baum,  Wald
75. Der Fuchs und die Katze ., 176. Die Lebenszeit .	2	 Herr,  Hund
75. Der Fuchs und die Katze ., 180. Die ungleichen Kinder Evas .	2	 Herr,  Welt
75. Der Fuchs und die Katze ., 192. Der Meisterdieb .	2	 Herr,  Sack
76. Die Nelke ., 89. Die Gänsemagd .	2	König,  Herz
76. Die Nelke ., 94. Die kluge Bauerntochter .	2	König,  Herr
76. Die Nelke ., 102. Der Zaunkönig und der Bär .	2	 Königin,  Kind
76. Die Nelke ., 144. Das Eselein .	2	König,  Kind
76. Die Nelke ., 151. Die drei Faulen .	2	 Sohn, König
76. Die Nelke ., 174. Die Eule .	2	 Leben,  Herr
76. Die Nelke ., 192. Der Meisterdieb .	2	 Sohn,  Herr
76. Die Nelke ., full corpus	2	König,  Kind
77. Das kluge Grethel ., 145. Der undankbare Sohn .	2	 Huhn,  Trunk
78. Der alte Großvater und der Enkel ., 85. Die Goldkinder .	2	 Frau,  Vater
78. Der alte Großvater und der Enkel ., 87. Der Arme und der Reiche .	2	 Mann,  Frau
78. Der alte Großvater und der Enkel ., 88. Das singende springende Löweneckerchen .	2	 Mann,  Vater
78. Der alte Großvater und der Enkel ., 98. Doctor Allwissend .	2	 Tisch,  Frau
78. Der alte Großvater und der Enkel ., 129. Die vier kunstreichen Brüder .	2	 Mann,  Vater
78. Der alte Großvater und der Enkel ., 134. Die sechs Diener .	2	 Mann,  Auge
78. Der alte Großvater und der Enkel ., 154. Der gestohlene Heller .	2	 Frau,  Vater
78. Der alte Großvater und der Enkel ., 160. Räthselmärchen .	2	 Frau,  Mann
78. Der alte Großvater und der Enkel ., 190. Die Brosamen auf dem Tisch .	2	 Tisch,  Frau
79. Die Wassernixe ., 141. Das Lämmchen und Fischchen .	2	 Schwesterchen,  Bruderchen
80. Von dem Tode des Hühnchens ., 183. Der Riese und der Schneider .	2	 Wasser,  Brunnen
81. Bruder Lustig ., 118. Die drei Feldscherer .	2	 Soldat,  Herz
81. Bruder Lustig ., 119. Die sieben Schwaben .	2	 Weg,  Wasser
83. Hans im Glück ., 84. Hans heirathet .	2	Hans,  Hand
83. Hans im Glück ., 89. Die Gänsemagd .	2	 Pferd,  Gans
83. Hans im Glück ., 104. Die klugen Leute .	2	 Kuh,  Pferd
83. Hans im Glück ., 106. Der arme Müllerbursch und das Kätzchen .	2	 Pferd, Hans
84. Hans heirathet ., 154. Der gestohlene Heller .	2	 Heller,  Frau
84. Hans heirathet ., 160. Räthselmärchen .	2	 Frau,  Feld
84. Hans heirathet ., 170. Lieb und Leid theilen .	2	 Frau,  Hand
85. Die Goldkinder ., 88. Das singende springende Löweneckerchen .	2	 Vater,  Schloß
85. Die Goldkinder ., 90. Der junge Riese .	2	 Pferd,  Vater
85. Die Goldkinder ., 108.	2	 Haus,  Vater
85. Die Goldkinder ., 145. Der undankbare Sohn .	2	 Frau,  Vater
85. Die Goldkinder ., 154. Der gestohlene Heller .	2	 Frau,  Vater
85. Die Goldkinder ., 160. Räthselmärchen .	2	 Haus,  Frau
85. Die Goldkinder ., 163. Der gläserne Sarg .	2	 Hirsch,  Schloß
85. Die Goldkinder ., 164. Der faule Heinz .	2	 Haus,  Frau
85. Die Goldkinder ., 166. Der starke Hans .	2	 Haus,  Vater
85. Die Goldkinder ., 178. Meister Pfriem .	2	 Haus,  Pferd
85. Die Goldkinder ., 191. Das Meerhäschen .	2	 Fisch,  Schloß
86. Der Fuchs und die Gänse ., 173. Rohrdommel und Wiedehopf .	2	 Herde,  Wiese
87. Der Arme und der Reiche ., 93. Die Rabe .	2	 Haus,  Frau
87. Der Arme und der Reiche ., 103. Der süße Brei .	2	 Haus,  Frau
87. Der Arme und der Reiche ., 104. Die klugen Leute .	2	 Pferd,  Mann
87. Der Arme und der Reiche ., 145. Der undankbare Sohn .	2	 Frau,  Mann
87. Der Arme und der Reiche ., 164. Der faule Heinz .	2	 Haus,  Frau
87. Der Arme und der Reiche ., 178. Meister Pfriem .	2	 Haus,  Pferd
87. Der Arme und der Reiche ., 179. Die Gänsehirtin am Brunnen .	2	 Haus,  Rücken
88. Das singende springende Löweneckerchen ., 122. Der Krautesel .	2	 Vogel,  Schloß
88. Das singende springende Löweneckerchen ., 129. Die vier kunstreichen Brüder .	2	 Mann,  Vater
88. Das singende springende Löweneckerchen ., 134. Die sechs Diener .	2	 Tochter,  Mann
88. Das singende springende Löweneckerchen ., 144. Das Eselein .	2	 Tochter,  Nacht
88. Das singende springende Löweneckerchen ., 145. Der undankbare Sohn .	2	 Mann,  Vater
88. Das singende springende Löweneckerchen ., 169. Das Waldhaus .	2	 Mann,  Nacht
88. Das singende springende Löweneckerchen ., 197. Die Krystallkugel .	2	 Meer,  Schloß
88. Das singende springende Löweneckerchen ., full corpus	2	 Mann,  Vater
89. Die Gänsemagd ., 127. Der Eisenofen .	2	 Königstochter,  Braut
89. Die Gänsemagd ., 135. Die weiße und die schwarze Braut .	2	König,  Braut
90. Der junge Riese ., 92. Der König vom goldenen Berg .	2	 Sohn,  Jahr
90. Der junge Riese ., 97. Das Wasser des Lebens .	2	 Sohn,  Vater
90. Der junge Riese ., 106. Der arme Müllerbursch und das Kätzchen .	2	 Pferd,  Jahr
90. Der junge Riese ., 110. Der Jude im Dorn .	2	 Lohn,  Jahr
90. Der junge Riese ., 124. Die drei Brüder .	2	 Sohn,  Vater
90. Der junge Riese ., 150. Die alte Bettelfrau .	2	 Lohn,  Junge
90. Der junge Riese ., 157. Der Sperling und seine vier Kinder .	2	 Junge,  Vater
90. Der junge Riese ., 166. Der starke Hans .	2	 Jahr,  Vater
90. Der junge Riese ., 200. Der goldene Schlüssel .	2	 Junge,  Holz
91. Dat Erdmänneken ., 111. Der gelernte Jäger .	2	 Königstochter,  König
91. Dat Erdmänneken ., 116. Das blaue Licht .	2	 Königstochter,  König
91. Dat Erdmänneken ., 143. Up Reisen gohn .	2	 Nig, De
91. Dat Erdmänneken ., 165. Der Vogel Greif .	2	 Tochter,  König
91. Dat Erdmänneken ., 179. Die Gänsehirtin am Brunnen .	2	 Tochter,  König
91. Dat Erdmänneken ., 187. Der Hase und der Jgel .	2	 He, De
92. Der König vom goldenen Berg ., 99. Der Geist im Glas .	2	Vater,  Sohn
92. Der König vom goldenen Berg ., 101. Der Bärenhäuter .	2	 Mann,  Jahr
92. Der König vom goldenen Berg ., 110. Der Jude im Dorn .	2	 Männchen,  Jahr
92. Der König vom goldenen Berg ., 116. Das blaue Licht .	2	 Männchen,  König
92. Der König vom goldenen Berg ., 120. Die drei Handwerksburschen .	2	 Mann,  Kaufmann
92. Der König vom goldenen Berg ., 127. Der Eisenofen .	2	Vater,  Berg
92. Der König vom goldenen Berg ., 137. De drei schwatten Princessinnen .	2	 Sohn,  Berg
92. Der König vom goldenen Berg ., 181. Die Nixe im Teich .	2	 Wasser,  Jahr
93. Die Rabe ., 103. Der süße Brei .	2	 Haus,  Frau
93. Die Rabe ., 128. Die faule Spinnerin .	2	Mann,  Frau
93. Die Rabe ., 147. Das junggeglühte Männlein .	2	 Zeit,  Haus
93. Die Rabe ., 154. Der gestohlene Heller .	2	 Tag,  Frau
93. Die Rabe ., 177. Die Boten des Todes .	2	 Tag,  Riese
93. Die Rabe ., 186. Die wahre Braut .	2	 Tag,  Schloß
94. Die kluge Bauerntochter ., 119. Die sieben Schwaben .	2	 Herr,  Weg
94. Die kluge Bauerntochter ., 135. Die weiße und die schwarze Braut .	2	König,  Tochter
94. Die kluge Bauerntochter ., 144. Das Eselein .	2	König,  Tochter
94. Die kluge Bauerntochter ., 192. Der Meisterdieb .	2	 Bauer,  Herr
94. Die kluge Bauerntochter ., full corpus	2	König,  Frau
95. Der alte Hildebrand ., 103. Der süße Brei .	2	 Haus,  Kind
95. Der alte Hildebrand ., 195. Der Grabhügel .	2	 Bauer,  Kind
95. Der alte Hildebrand ., full corpus	2	 Haus,  Kind
96. De drei Vügelkens ., 179. Die Gänsehirtin am Brunnen .	2	 Königin,  König
96. De drei Vügelkens ., 187. Der Hase und der Jgel .	2	 Up, De
97. Das Wasser des Lebens ., 107. Die beiden Wanderer .	2	 Brot,  König
97. Das Wasser des Lebens ., 108.	2	 König,  Vater
97. Das Wasser des Lebens ., 129. Die vier kunstreichen Brüder .	2	 Vater,  Jäger
97. Das Wasser des Lebens ., 153. Die Sternthaler .	2	 Brot,  Vater
97. Das Wasser des Lebens ., 166. Der starke Hans .	2	 Zwerg,  Vater
97. Das Wasser des Lebens ., 181. Die Nixe im Teich .	2	 Wasser,  Jäger
98. Doctor Allwissend ., 104. Die klugen Leute .	2	 Bauer,  Geld
98. Doctor Allwissend ., 146. Die Rübe .	2	 Wagen,  Bauer
98. Doctor Allwissend ., 190. Die Brosamen auf dem Tisch .	2	 Tisch,  Frau
98. Doctor Allwissend ., 192. Der Meisterdieb .	2	 Bauer,  Herr
99. Der Geist im Glas ., 124. Die drei Brüder .	2	 Sohn,  Geld
99. Der Geist im Glas ., 127. Der Eisenofen .	2	Vater,  Wald
99. Der Geist im Glas ., 128. Die faule Spinnerin .	2	 Axt,  Wald
100. Des Teufels rußiger Bruder ., 118. Die drei Feldscherer .	2	 Soldat,  Auge
100. Des Teufels rußiger Bruder ., 125. Der Teufel und seine Großmutter .	2	Teufel,  Soldat
101. Der Bärenhäuter ., 104. Die klugen Leute .	2	 Geld,  Mann
102. Der Zaunkönig und der Bär ., 103. Der süße Brei .	2	 Frau,  Kind
102. Der Zaunkönig und der Bär ., 148. Des Herrn und des Teufels Gethier .	2	 Wolf,  Schwanz
102. Der Zaunkönig und der Bär ., 152. Das Hirtenbüblein .	2	 König,  Kind
102. Der Zaunkönig und der Bär ., 161. Schneeweißchen und Rosenroth .	2	Bär,  Kind
102. Der Zaunkönig und der Bär ., 171. Der Zaunkönig .	2	 König,  Zaunkönig
102. Der Zaunkönig und der Bär ., 179. Die Gänsehirtin am Brunnen .	2	 Königin,  König
102. Der Zaunkönig und der Bär ., full corpus	2	 Frau,  Kind
103. Der süße Brei ., 105. Märchen von der Unke .	2	 Mutter,  Kind
103. Der süße Brei ., 123. Die Alte im Wald .	2	 Wald,  Mädchen
103. Der süße Brei ., 128. Die faule Spinnerin .	2	 Wald,  Frau
103. Der süße Brei ., 153. Die Sternthaler .	2	 Mutter,  Kind
103. Der süße Brei ., 154. Der gestohlene Heller .	2	 Mutter,  Frau
103. Der süße Brei ., 160. Räthselmärchen .	2	 Haus,  Frau
103. Der süße Brei ., 164. Der faule Heinz .	2	 Haus,  Frau
103. Der süße Brei ., 166. Der starke Hans .	2	 Mutter,  Haus
103. Der süße Brei ., 179. Die Gänsehirtin am Brunnen .	2	 Haus,  Mädchen
103. Der süße Brei ., 193. Der Trommler .	2	 Wald,  Mädchen
104. Die klugen Leute ., 106. Der arme Müllerbursch und das Kätzchen .	2	 Tag,  Pferd
104. Die klugen Leute ., 120. Die drei Handwerksburschen .	2	 Geld,  Mann
104. Die klugen Leute ., 136. Der Eisenhans .	2	 Tag,  Mann
104. Die klugen Leute ., 151 * .	2	 Tag,  Pferd
104. Die klugen Leute ., 160. Räthselmärchen .	2	 Tag,  Mann
104. Die klugen Leute ., 169. Das Waldhaus .	2	 Kuh,  Mann
104. Die klugen Leute ., 178. Meister Pfriem .	2	 Himmel,  Pferd
104. Die klugen Leute ., full corpus	2	 Tag,  Mann
105. Märchen von der Unke ., 153. Die Sternthaler .	2	 Mutter,  Kind
105. Märchen von der Unke ., 161. Schneeweißchen und Rosenroth .	2	 Mutter,  Kind
106. Der arme Müllerbursch und das Kätzchen ., 109. Das Todtenhemdchen .	2	 Tag,  Jahr
106. Der arme Müllerbursch und das Kätzchen ., 151 * .	2	 Tag,  Pferd
106. Der arme Müllerbursch und das Kätzchen ., 166. Der starke Hans .	2	Hans,  Jahr
106. Der arme Müllerbursch und das Kätzchen ., 181. Die Nixe im Teich .	2	 Müller,  Jahr
107. Die beiden Wanderer ., 108.	2	 Weg,  König
107. Die beiden Wanderer ., 116. Das blaue Licht .	2	 Tag,  König
107. Die beiden Wanderer ., 163. Der gläserne Sarg .	2	Schneider,  Auge
107. Die beiden Wanderer ., 171. Der Zaunkönig .	2	 König,  Auge
107. Die beiden Wanderer ., 174. Die Eule .	2	 Stadt,  Auge
107. Die beiden Wanderer ., 199. Der Stiefel von Büffelleder .	2	 Tag,  Weg
108., 111. Der gelernte Jäger .	2	 König,  Vater
108., 162. Der kluge Knecht .	2	 Hans,  Haus
108., 166. Der starke Hans .	2	 Haus,  Vater
108., 179. Die Gänsehirtin am Brunnen .	2	 Haus,  König
108., full corpus	2	 Haus,  Vater
109. Das Todtenhemdchen ., 127. Der Eisenofen .	2	 Tag,  Nacht
109. Das Todtenhemdchen ., 144. Das Eselein .	2	 Nacht,  Kind
109. Das Todtenhemdchen ., 177. Die Boten des Todes .	2	 Tag,  Welt
109. Das Todtenhemdchen ., 180. Die ungleichen Kinder Evas .	2	 Welt,  Gott
109. Das Todtenhemdchen ., 195. Der Grabhügel .	2	 Kind,  Nacht
109. Das Todtenhemdchen ., full corpus	2	 Tag,  Kind
110. Der Jude im Dorn ., 115. Die klare Sonne bringts an den Tag .	2	 Heller,  Jude
111. Der gelernte Jäger ., 116. Das blaue Licht .	2	 Königstochter,  König
111. Der gelernte Jäger ., 157. Der Sperling und seine vier Kinder .	2	 Welt,  Vater
112. Der Dreschflegel vom Himmel ., 175. Der Mond .	2	 Himmel,  Taler
113. De beiden Künigeskinner ., 137. De drei schwatten Princessinnen .	2	 He, De
113. De beiden Künigeskinner ., 143. Up Reisen gohn .	2	 Up, De
113. De beiden Künigeskinner ., 165. Der Vogel Greif .	2	 Tochter,  König
113. De beiden Künigeskinner ., 179. Die Gänsehirtin am Brunnen .	2	 Tochter,  König
115. Die klare Sonne bringts an den Tag ., 120. Die drei Handwerksburschen .	2	 Geld,  Arbeit
115. Die klare Sonne bringts an den Tag ., 124. Die drei Brüder .	2	 Handwerk,  Geld
116. Das blaue Licht ., 127. Der Eisenofen .	2	 Tag,  Königstochter
116. Das blaue Licht ., 193. Der Trommler .	2	 Königstochter,  Hexe
116. Das blaue Licht ., 199. Der Stiefel von Büffelleder .	2	 Tag, Soldat
117. Das eigensinnige Kind ., 154. Der gestohlene Heller .	2	 Mutter, Kind
117. Das eigensinnige Kind ., 180. Die ungleichen Kinder Evas .	2	Kind,  Gott
117. Das eigensinnige Kind ., 194. Die Kornähre .	2	 Gott,  Erde
118. Die drei Feldscherer ., 121. Der Königssohn der sich vor nichts fürchtet .	2	 Auge,  Hand
118. Die drei Feldscherer ., 122. Der Krautesel .	2	 Mädchen,  Herz
118. Die drei Feldscherer ., 123. Die Alte im Wald .	2	 Mädchen,  Hand
118. Die drei Feldscherer ., 149. Der Hahnenbalken .	2	 Mädchen,  Auge
118. Die drei Feldscherer ., 179. Die Gänsehirtin am Brunnen .	2	 Mädchen,  Auge
120. Die drei Handwerksburschen ., 185. Der arme Junge im Grab .	2	 Richter,  Mann
121. Der Königssohn der sich vor nichts fürchtet ., 123. Die Alte im Wald .	2	 Hand,  Ring
121. Der Königssohn der sich vor nichts fürchtet ., 130. Einäuglein , Zweiäuglein und Dreiäuglein .	2	 Baum,  Auge
121. Der Königssohn der sich vor nichts fürchtet ., 149. Der Hahnenbalken .	2	 Wasser,  Auge
121. Der Königssohn der sich vor nichts fürchtet ., 177. Die Boten des Todes .	2	 Riese,  Auge
122. Der Krautesel ., 123. Die Alte im Wald .	2	 Alte,  Mädchen
122. Der Krautesel ., 186. Die wahre Braut .	2	 Alte,  Schloß
122. Der Krautesel ., 193. Der Trommler .	2	 Alte,  Mädchen
123. Die Alte im Wald ., 127. Der Eisenofen .	2	 Tag,  Wald
123. Die Alte im Wald ., 136. Der Eisenhans .	2	 Tag,  Wald
123. Die Alte im Wald ., 161. Schneeweißchen und Rosenroth .	2	 Wald,  Mädchen
123. Die Alte im Wald ., 169. Das Waldhaus .	2	 Alte,  Wald
126. Ferenand getrü und Ferenand ungetrü ., 137. De drei schwatten Princessinnen .	2	 He, De
126. Ferenand getrü und Ferenand ungetrü ., 187. Der Hase und der Jgel .	2	 He, De
127. Der Eisenofen ., 136. Der Eisenhans .	2	 Tag,  Wald
127. Der Eisenofen ., 169. Das Waldhaus .	2	 Wald,  Nacht
127. Der Eisenofen ., 186. Die wahre Braut .	2	 Tag,  Braut
127. Der Eisenofen ., 193. Der Trommler .	2	 Wald,  Königstochter
127. Der Eisenofen ., 198. Jungfrau Maleen .	2	 Königssohn,  Braut
127. Der Eisenofen ., 199. Der Stiefel von Büffelleder .	2	 Tag,  Wald
127. Der Eisenofen ., full corpus	2	 Tag,  Wald
128. Die faule Spinnerin ., full corpus	2	 Wald,  Frau
129. Die vier kunstreichen Brüder ., 145. Der undankbare Sohn .	2	 Mann,  Vater
129. Die vier kunstreichen Brüder ., 160. Räthselmärchen .	2	 Zeit,  Mann
129. Die vier kunstreichen Brüder ., 197. Die Krystallkugel .	2	 Königstochter,  Ei
129. Die vier kunstreichen Brüder ., full corpus	2	 Mann,  Vater
130. Einäuglein , Zweiäuglein und Dreiäuglein ., 131. Die schöne Katrinelje und Pif Paf Poltrie .	2	 Mutter,  Schwester
130. Einäuglein , Zweiäuglein und Dreiäuglein ., 155. Die Brautschau .	2	 Mutter,  Schwester
130. Einäuglein , Zweiäuglein und Dreiäuglein ., 161. Schneeweißchen und Rosenroth .	2	 Baum,  Mutter
131. Die schöne Katrinelje und Pif Paf Poltrie ., 135. Die weiße und die schwarze Braut .	2	 Bruder,  Schwester
131. Die schöne Katrinelje und Pif Paf Poltrie ., 155. Die Brautschau .	2	 Mutter,  Schwester
132. Der Fuchs und das Pferd ., 162. Der kluge Knecht .	2	 Dienst,  Feld
133. Die zertanzten Schuhe ., 144. Das Eselein .	2	König,  Nacht
133. Die zertanzten Schuhe ., 151. Die drei Faulen .	2	König,  Bett
133. Die zertanzten Schuhe ., 169. Das Waldhaus .	2	 Nacht,  Bett
134. Die sechs Diener ., 145. Der undankbare Sohn .	2	 Alte,  Mann
134. Die sechs Diener ., 169. Das Waldhaus .	2	 Alte,  Mann
134. Die sechs Diener ., 179. Die Gänsehirtin am Brunnen .	2	 Tochter,  Auge
134. Die sechs Diener ., 182. Die Geschenke des kleinen Volkes .	2	 Alte,  Mann
135. Die weiße und die schwarze Braut ., 144. Das Eselein .	2	König,  Tochter
136. Der Eisenhans ., 160. Räthselmärchen .	2	 Tag,  Mann
136. Der Eisenhans ., 169. Das Waldhaus .	2	 Wald,  Mann
136. Der Eisenhans ., 183. Der Riese und der Schneider .	2	 Wald,  Brunnen
136. Der Eisenhans ., 185. Der arme Junge im Grab .	2	 Tag,  Mann
136. Der Eisenhans ., 199. Der Stiefel von Büffelleder .	2	 Tag,  Wald
137. De drei schwatten Princessinnen ., 143. Up Reisen gohn .	2	 Nig, De
137. De drei schwatten Princessinnen ., 187. Der Hase und der Jgel .	2	 He, De
137. De drei schwatten Princessinnen ., 196. Oll Rinkrank .	2	 He, De
138. Knoist un sine dre Sühne ., 160. Räthselmärchen .	2	 Mann,  Feld
139. Dat Mäken von Brakel ., full corpus	2	 Mann,  De
140. Das Hausgesinde ., full corpus	2	 Mann,  Kind
143. Up Reisen gohn ., 187. Der Hase und der Jgel .	2	 Up, De
144. Das Eselein ., 195. Der Grabhügel .	2	 Kind,  Nacht
144. Das Eselein ., full corpus	2	König,  Kind
145. Der undankbare Sohn ., 154. Der gestohlene Heller .	2	 Frau,  Vater
145. Der undankbare Sohn ., 160. Räthselmärchen .	2	 Frau,  Mann
145. Der undankbare Sohn ., 169. Das Waldhaus .	2	 Alte,  Mann
145. Der undankbare Sohn ., 182. Die Geschenke des kleinen Volkes .	2	 Alte,  Mann
146. Die Rübe ., 152. Das Hirtenbüblein .	2	 König,  Stunde
146. Die Rübe ., 189. Der Bauer und der Teufel .	2	 Rübe,  Bauer
146. Die Rübe ., 192. Der Meisterdieb .	2	 Bauer,  Sack
147. Das junggeglühte Männlein ., 160. Räthselmärchen .	2	 Zeit,  Haus
147. Das junggeglühte Männlein ., 171. Der Zaunkönig .	2	 Zeit,  Herr
147. Das junggeglühte Männlein ., 176. Die Lebenszeit .	2	 Zeit,  Herr
147. Das junggeglühte Männlein ., 180. Die ungleichen Kinder Evas .	2	 Haus,  Herr
147. Das junggeglühte Männlein ., 200. Der goldene Schlüssel .	2	 Haus,  Feuer
149. Der Hahnenbalken ., 179. Die Gänsehirtin am Brunnen .	2	 Mädchen,  Auge
150. Die alte Bettelfrau ., 181. Die Nixe im Teich .	2	 Wasser, Frau
150. Die alte Bettelfrau ., 200. Der goldene Schlüssel .	2	 Feuer,  Junge
151 * ., 178. Meister Pfriem .	2	 Pferd,  Arbeit
151 * ., 186. Die wahre Braut .	2	 Tag,  Arbeit
153. Die Sternthaler ., 154. Der gestohlene Heller .	2	 Mutter,  Vater
153. Die Sternthaler ., 161. Schneeweißchen und Rosenroth .	2	 Mutter,  Kind
153. Die Sternthaler ., 166. Der starke Hans .	2	 Mutter,  Vater
153. Die Sternthaler ., full corpus	2	 Kind,  Vater
154. Der gestohlene Heller ., 160. Räthselmärchen .	2	 Tag,  Frau
154. Der gestohlene Heller ., 164. Der faule Heinz .	2	 Tag,  Frau
154. Der gestohlene Heller ., 166. Der starke Hans .	2	 Mutter,  Vater
154. Der gestohlene Heller ., 198. Jungfrau Maleen .	2	 Kammer,  Vater
156. Die Schlickerlinge ., 186. Die wahre Braut .	2	Mädchen,  Braut
159. Das Dietmarsische Lügenmärchen ., 175. Der Mond .	2	 Himmel,  Land
160. Räthselmärchen ., 162. Der kluge Knecht .	2	 Haus,  Feld
160. Räthselmärchen ., 185. Der arme Junge im Grab .	2	 Tag,  Mann
161. Schneeweißchen und Rosenroth ., 166. Der starke Hans .	2	 Mutter,  Zwerg
161. Schneeweißchen und Rosenroth ., 193. Der Trommler .	2	 Wald,  Mädchen
164. Der faule Heinz ., 179. Die Gänsehirtin am Brunnen .	2	 Haus,  Gans
165. Der Vogel Greif ., 179. Die Gänsehirtin am Brunnen .	2	 Tochter,  König
165. Der Vogel Greif ., 196. Oll Rinkrank .	2	 Tochter,  König
166. Der starke Hans ., full corpus	2	 Haus,  Vater
169. Das Waldhaus ., 182. Die Geschenke des kleinen Volkes .	2	 Alte,  Mann
169. Das Waldhaus ., 186. Die wahre Braut .	2	 Alte, Mädchen
169. Das Waldhaus ., 193. Der Trommler .	2	 Alte,  Wald
169. Das Waldhaus ., 199. Der Stiefel von Büffelleder .	2	 Alte,  Wald
169. Das Waldhaus ., full corpus	2	 Wald,  Mann
171. Der Zaunkönig ., 179. Die Gänsehirtin am Brunnen .	2	 König,  Auge
171. Der Zaunkönig ., 180. Die ungleichen Kinder Evas .	2	 Herr,  Gott
171. Der Zaunkönig ., 194. Die Kornähre .	2	 Herr,  Gott
175. Der Mond ., 178. Meister Pfriem .	2	 Wagen,  Himmel
176. Die Lebenszeit ., 180. Die ungleichen Kinder Evas .	2	 Herr,  Gott
177. Die Boten des Todes ., 191. Das Meerhäschen .	2	 Tag,  Jüngling
177. Die Boten des Todes ., 199. Der Stiefel von Büffelleder .	2	 Tag,  Weg
