tales	similarity (overlap of top 10 nouns)	nouns
5. Der Wolf und die sieben jungen Geislein ., 9. Die zwölf Brüder .	3	 Mutter,  Wald,  Kind
5. Der Wolf und die sieben jungen Geislein ., 48. Der alte Sultan .	3	 Wald, Wolf,  Kind
5. Der Wolf und die sieben jungen Geislein ., 103. Der süße Brei .	3	 Mutter,  Wald,  Kind
5. Der Wolf und die sieben jungen Geislein ., 161. Schneeweißchen und Rosenroth .	3	 Mutter,  Wald,  Kind
6. Der treue Johannes ., 16. Die drei Schlangenblätter .	3	 Leben, König,  Schiff
6. Der treue Johannes ., 76. Die Nelke .	3	 Leben, König,  Kind
8. Der wunderliche Spielmann ., 26. Rothkäppchen .	3	 Wald,  Weg,  Wolf
9. Die zwölf Brüder ., 13. Die drei Männlein im Walde .	3	 Wald,  König,  Mädchen
9. Die zwölf Brüder ., 49. Die sechs Schwäne .	3	 Wald,  Mädchen,  Kind
9. Die zwölf Brüder ., full corpus	3	 Wald,  Mädchen,  Kind
10. Das Lumpengesindel ., 41. Herr Korbes .	3	 Haus,  Huhnchen,  Wagen
11. Brüderchen und Schwesterchen ., 50. Dornröschen .	3	 Königin, König,  Kind
11. Brüderchen und Schwesterchen ., 144. Das Eselein .	3	König,  Nacht,  Kind
11. Brüderchen und Schwesterchen ., 199. Der Stiefel von Büffelleder .	3	 Wald,  Hand,  Jäger
11. Brüderchen und Schwesterchen ., full corpus	3	König,  Wald,  Kind
12. Rapunzel ., 16. Die drei Schlangenblätter .	3	 Frau,  Mann,  Tag
12. Rapunzel ., 34. Die kluge Else .	3	 Mann,  Frau,  Kind
12. Rapunzel ., 37. Daumesdick .	3	 Frau,  Mann,  Kind
12. Rapunzel ., 43. Frau Trude .	3	 Tag,  Mann,  Kind
12. Rapunzel ., 50. Dornröschen .	3	 Tag,  Königssohn,  Kind
12. Rapunzel ., 93. Die Rabe .	3	 Tag,  Garten,  Frau
12. Rapunzel ., 136. Der Eisenhans .	3	 Tag,  Mann,  Haar
12. Rapunzel ., 160. Räthselmärchen .	3	 Frau,  Mann,  Tag
13. Die drei Männlein im Walde ., 15. Hänsel und Grethel .	3	 Haus,  Wald,  Frau
13. Die drei Männlein im Walde ., 19. Von dem Fischer un syner Fru .	3	 Frau,  Mann,  König
13. Die drei Männlein im Walde ., 29. Der Teufel mit den drei goldenen Haaren .	3	 Wasser,  Frau,  König
13. Die drei Männlein im Walde ., 40. Der Räuberbräutigam .	3	 Haus,  Wald,  Mädchen
13. Die drei Männlein im Walde ., 43. Frau Trude .	3	 Haus,  Mann,  Mädchen
13. Die drei Männlein im Walde ., 51. Fundevogel .	3	 Haus,  Wald,  Wasser
13. Die drei Männlein im Walde ., 64. Die goldene Gans .	3	 Wald,  König,  Mann
13. Die drei Männlein im Walde ., 85. Die Goldkinder .	3	 Haus,  Wald,  Frau
13. Die drei Männlein im Walde ., 87. Der Arme und der Reiche .	3	 Haus,  Mann,  Frau
13. Die drei Männlein im Walde ., 92. Der König vom goldenen Berg .	3	 Mann,  Wasser,  König
