Characters,CharacterFrequency
"Mädchen, Jäger",8
"Hochzeit, Frau",8
"Königin, Tochter",8
"Gott, Mann",8
"Jäger, Junge",8
"Fuchs, Löwe",8
"Fuchs, Jäger",8
"Heil., Lamm",8
"Bruder, Lamm",8
"Schneider, Riese",8
"König, Haar",8
"Bruder, Tag",8
"Rotkappechen, Wolf",8
"Frau, Wolf",8
"Hahn, Esel",8
"Mann, Auge",8
"Wasser, Wein",8
"Wasser, Tochter",8
"Morgen, Tochter",8
"Frau, Wein",8
"Kind, Auge",8
"Weg, Haus",8
"Vogel, Haus",8
"Wein, Brot",8
"Apfel, Baum",8
"Butt, Ik",8
"Frau, Butt",8
"Hand, De",8
"He, Ik",8
"Katze, Frau",7
"Mädchen, Tochter",7
"Brot, Tag",7
"Herz, Haus",7
"Wasser, Faß",7
"Mädchen, Bräutigam",7
"Mädchen, Königssohn",7
"Wald, Grethel",7
"Wald, Hänsel",7
"Bett, Mann",7
"Weg, Mann",7
"Weg, Hänsel",7
"Stück, Brot",7
"Wald, Nacht",7
"König, Jüngling",7
"Diener, Herr",7
"Freude, Welt",7
"Frau, See",7
"Frau, Glück",7
"Awerst, Mann",7
"Wöör, Mann",7
"De, Gans",7
"Frau, Nacht",7
"König, Glück",7
"Jungfrau, Pferd",7
"Hand, Kopf",7
"Freude, Kind",7
"König, Jude",7
"Mutter, Tag",7
"Wald, Welt",7
"Jahr, Zeit",7
"Mädchen, Alte",7
"'nein, Frau",7
"Hand, Fuß",7
"Jäger, Tag",7
"Königin, Alte",7
"Zauberin, Rapunzel",7
"Wasser, Frosch",7
"Vater, Herz",7
"König, Wagen",7
"Weg, Herz",7
"Gott, Haus",7
"Wald, Mutter",7
"Jungfrau, Kind",7
"Welt, Jahr",7
"Wald, Land",7
"Weg, Pferd",7
"Königin, Bett",7
"Königin, Nacht",7
"Morgen, Kind",7
"Feuer, Holz",7
"Vater, Junge",7
"Tag, Auge",7
"Vater, Hochzeit",7
"Vater, Tochter",7
"Hochzeit, Tag",7
"Tag, Tochter",7
"Morgen, Nacht",7
"Feuer, König",7
"Ding, König",7
"Feuer, Tag",7
"Schloß, Tochter",7
"König, Bett",7
"Kammer, Schloß",7
"König, Drosselbart",7
"Wand, Land",7
"Land, Spieglein",7
"Berg, Zwerg",7
"Fuchs, Königssohn",7
"Sperling, Hund",7
"Kammer, Herr",7
"Gevatter, Mann",7
"Jäger, Kopf",7
"Mutter, Grethel",7
"Hans, Tag",7
"'guten, Grethel",7
"Hans, Gut",7
"Hans, Abend",7
"Hans, Else",7
"Knecht, Kind",7
"Vater, Freude",7
"Tier, Kopf",7
"König, Allerleirauh",7
"De, Sohn",7
"Brot, Kreuzer",7
"Baum, Riese",7
"Reich, Tochter",7
"Braut, Haus",7
"Wirt, Tochter",7
"Königstochter, Herr",7
"Bruder, Zeit",7
"Rotkappechen, Großmutter",7
"Wald, Wein",7
"Haus, Türe",7
"Stube, Türe",7
"Hund, Esel",7
"Bruder, Mann",7
"Käse, Butter",7
"Sprache, Herr",7
"Vater, Jäger",7
"Löwe, Tier",7
"Löwe, Wein",7
"Schultheiß, Bürle",7
"Hans, Kuh",7
"Lamm, Lustig",6
"Herz, Lamm",6
"Gold, Tochter",6
"Frau, Leute",6
"Leute, Mann",6
"Brief, König",6
"Gold, Esel",6
"Türchen, Besenchen",6
"Flohchen, Türchen",6
"Türchen, Lauschen",6
"Teufel, Mann",6
"Welt, Gemahlin",6
"Gott, Engel",6
"Frau, Engel",6
"Mutter, Mach",6
"Mach, Hans",6
"Mach, Grethel",6
"Mutter, 'adies",6
"Mutter, Adie",6
"Hans, 'adies",6
"Hans, Adie",6
"'adies, Adie",6
"Grethel, Tag",6
"Gut, Grethel",6
"Mutter, 'guten",6
"Mutter, Abend",6
"Mutter, Kopf",6
"Keller, Else",6
"Else, Kreuzhacke",6
"Else, Kind",6
"Kreuzhacke, Kind",6
"Keller, Frau",6
"Keller, Faß",6
"Keller, Mann",6
"Hans, Hand",6
"Wirt, Gast",6
"Wirt, Tier",6
"Daumesdick, Mann",6
"Pferd, Mann",6
"Wasser, Stein",6
"Wasser, Kopf",6
"Wasser, Mensch",6
"Wald, Riese",6
"Tür, Herz",6
"Pferd, Wagen",6
"Gevatter, Maus",6
"Maus, Name",6
"Katze, Tag",6
"Gevatter, Kind",6
"Kind, Kirche",6
"Frau, Jungfrau",6
"Kind, Maria",6
"Tag, Türe",6
"Gold, Herz",6
"Wald, Pferd",6
"Jungfrau, Königin",6
"Sprache, Kind",6
"Kind, Leute",6
"Bein, Mann",6
"Treppe, Mann",6
"Vater, Tag",6
"Stück, Mann",6
"Mensch, Mann",6
"Wirt, Nacht",6
"Wirt, Schloß",6
"Nacht, Schloß",6
"Nacht, Auge",6
"Leben, Auge",6
"Geist, König",6
"Erde, König",6
"König, Mensch",6
"Schloß, Mann",6
"Wasser, Fisch",6
"Königstochter, Leben",6
"Leben, Johannes",6
"Vater, Leben",6
"Erde, Frau",6
"Morgen, Vater",6
"Wasser, Mädchen",6
"Wasser, Frau",6
"Wald, Gott",6
"Fuß, Kopf",6
"Königin, Haus",6
"Braut, Bräutigam",6
"Morgen, Wald",6
"Wasser, Bruder",6
"Sohn, Mann",6
"Vater, Herr",6
"Tier, Sprache",6
"Ring, König",6
"Mann, Glück",6
"De, Eine",6
"Frau, Kaiser",6
"De, Kaiser",6
"Vater, Tod",6
"Gott, Bett",6
"Gott, Herr",6
