Characters,CharacterFrequency
"Ei, Treppe",4
"Jäger, Mann",4
"Hand, Tod",4
"Vater, Huhn",4
"Hexenmeister, Haus",4
"Schlüssel, Ei",4
"Braut, Mann",4
"Jahr, De",4
"Schnee, De",4
"Ehre, Gans",4
"Gans, Ik",4
"Ehre, Awerst",4
"Vogel, Wöör",4
"Vogel, Awerst",4
"Vogel, Welt",4
"Bauer, Frau",4
"Gold, Leute",4
"Freier, Tochter",4
"Wasser, Baum",4
"Teufel, Frau",4
"Teufel, Hand",4
"Teufel, Gold",4
"Wagenchen, Mistchen",4
"Wagenchen, Flohchen",4
"Wagenchen, Türchen",4
"Wagenchen, Lauschen",4
"Mensch, Haus",4
"Mir_Es, König",4
"Wald, Königin",4
"Wald, Herr",4
"Engel, Königin",4
"Jungfrau, Herr",4
"Engel, Kind",4
"Mutter, Leben",4
"Gott, Sohn",4
"Hans, Haus",4
"Hans, Auge",4
"Jahr, Meister",4
"Meister, Junge",4
"Else, Mann",4
"Keller, Kopf",4
"Keller, Zeit",4
"Hahn, Zeit",4
"Bier, Zeit",4
"Bier, Kreuzhacke",4
"Hans, Kreuzhacke",4
"Hans, Kind",4
"Else, Kopf",4
"Kreuzhacke, Kopf",4
"Frau, Magd",4
"Magd, Else",4
"Else, Knecht",4
"Geld, Brot",4
"Herr, Tisch",4
"Reihe, Sohn",4
"Meh, Blatt",4
"Stall, Haus",4
"Stall, Tier",4
"Tier, Sohn",4
"Herz, Wein",4
"Welt, Ding",4
"Wirt, Deck",4
"Wand, Koch",4
"Meister, Sack",4
"Wirt, Sack",4
"Vater, Pferd",4
"Mutter, Zeit",4
"Daumesdick, Ohr",4
"Fuhrmann, Wagen",4
"Teufel, Bruder",4
"Heil., Ranzen",4
"Heil., Herz",4
"Wasser, Lustig",4
"Schloß, Lustig",4
"Heil., Gold",4
"Freude, Hans",4
"Gold, Lustig",4
"Gold, Kopf",4
"E, Eine",4
"E, Spielhansel",4
"De, Zahn",4
"Hans, Gans",4
"Bruder, Königin",4
"Bruder, Feder",4
"Mädchen, Bett",4
"Bruder, Bett",4
"Mädchen, Land",4
"Freude, Tochter",4
"Feuer, Koch",4
"Königssohn, Zeit",4
"Huhn, Koch",4
"Förster, Kind",4
"Herz, Schneewittchen",4
"Schneewittchen, Alte",4
"Erde, Haus",4
"Königstochter, Name",4
"Wald, Königssohn",4
"Ranzen, Hutlein",4
"Köhler, Tüchlein",4
"Ranzen, Tüchlein",4
"Ranzen, Mann",4
"Mädchen, Stroh",4
"Stroh, Männchen",4
"Gold, Männchen",4
"Teufel, Fuß",4
"Königssohn, Schwanz",4
"Haar, Stein",4
"Vater, Jungfrau",4
"Jungfrau, Jüngling",4
"Freude, Pferd",4
"Fuchs, Königstochter",4
"Bruder, Mensch",4
"Sperling, 'fuhrmann",4
"Fuhrmann, 'fuhrmann",4
"Sperling, Kopf",4
"Pferd, Auge",4
"Sperling, Mann",4
"Leben, 'fuhrmann",4
"Turm, König",4
"Tag, Glück",4
"Haar, Königssohn",4
"Rapunzel, Königssohn",4
"Alte, Tag",4
"Erde, Hand",4
"Vogel, Auge",4
"Königssohn, Leben",4
"Mädchen, Knabe",4
"Wein, Tochter",4
"Wald, Erde",4
"Wald, Berg",4
"Mir_Es, Brot",4
"Besen, Haus",4
"Weg, Kuchen",4
"Mutter, Kuchen",4
"Tag, Tod",4
"Königin, Fuß",4
"Kammer, Königin",4
"Kammer, Kind",4
"Berg, König",4
"Mutter, Haus",4
"Mutter, Tochter",4
"Mädchen, Fuß",4
"Königssohn, Königin",4
"Frau, Hänsel",4
"Kind, Grethel",4
"Kind, Hänsel",4
"Weg, Tier",4
"Weg, Kind",4
"'nein, Tier",4
"Schwesterchen, Grethel",4
"Kind, Holz",4
"Tag, Holz",4
"Brot, Grethel",4
"Vater, Hänsel",4
"Feuer, Grethel",4
"Weg, Grethel",4
"Schwesterchen, Hänsel",4
"Stück, Grethel",4
"Feld, Haus",4
"Grethel, Haus",4
"Hexe, Grethel",4
"Vogel, Türe",4
"Wein, Tag",4
"Leben, Mann",4
"Zeit, Tod",4
"Königin, Diener",4
"Hand, Koch",4
"Wasser, Tag",4
"Freier, König",4
"Leben, Apfel",4
"Jüngling, Baum",4
"Strohhalm, Kohle",4
"Feuer, Herd",4
"Feuer, Bruder",4
"Feuer, Alte",4
"Bruder, Leben",4
"He, Butt",4
"Ga, Frau",4
"Ga, De",4
"Ga, Mann",4
"De, Glück",4
"He, Ehre",4
"Hand, Wöör",4
"Ehre, Mann",4
"Frau, Gans",4
"Gold, Hand",4
"Gold, De",4
"Gold, Wöör",4
"Butt, Kaiser",4
"Stück, Frau",4
"Papst, Mann",4
"Papst, Ik",4
"De, Himmel",4
"Frau, Licht",4
"Wöör, Licht",4
"Ehre, Ik",4
"Topf, Frau",4
"Allerleirauh, Suppe",4
"Frau, Häsichen",4
"Frau, Toachter",4
"Frau, Geoart",4
"Häsichen, Toachter",4
"Häsichen, Geoart",4
"Toachter, Geoart",4
"Coal, Seits",4
"Coal, Mäken",4
"Häsichen, 'thu",4
"Vorzimmer, König",4
"Jan, Sohn",4
"Herrgott, De",4
"Gaudeifen, Sohn",4
"Korb, Vogel",4
"Krug, Königstochter",4
"Königstochter, Laufer",4
"König, Sack",4
"Fuchs, Bauer",4
"Wasser, Hahnchen",4
"Wald, Männchen",3
"Dümmling, Männchen",3
"Dümmling, Wein",3
"Gans, Feder",3
"Wirt, Gans",3
"Braut, Dümmling",3
"Braut, Tochter",3
"Vater, Braut",3
"Frau, Gut",3
"Mantel, König",3
"Mantel, Kleid",3
"Schloß, Kind",3
"Koch, Stallchen",3
"Stallchen, Kleid",3
"Zeit, Koch",3
"Frau, Seits",3
"Frau, Mäken",3
"De, Seits",3
"De, Toachter",3
"De, Geoart",3
"De, Mäken",3
"Seits, Toachter",3
"Seits, Geoart",3
"Toachter, Mäken",3
"Geoart, Mäken",3
"Coal, Haosenschwanzeken",3
"Häsichen, Haosenschwanzeken",3
"Seits, Haosenschwanzeken",3
"Haosenschwanzeken, Mäken",3
"Braut, Häsichen",3
"Braut, De",3
"Vorzimmer, Jäger",3
"König, Erbse",3
"Vorzimmer, Spinnrad",3
"König, Spinnrad",3
"Jan, De",3
"Jan, Gaudeifen",3
"De, Gaudeifen",3
"De, Meister",3
"Geld, De",3
"Jorinde, Joringel",3
"Katze, König",3
"Katze, Schloß",3
"Krug, Laufer",3
"Wasser, Krug",3
"Gold, Sack",3
"Sack, Herr",3
"Mensch, Jäger",3
"Wolf, Gesicht",3
"Fuchs, 'rothfuchs",3
"'rothfuchs, Wolf",3
"Fuchs, Nimmersatt",3
"Fuchs, Gevatterin",3
"Fuchs, Welt",3
"Fuchs, Wölfin",3
"Fuchs, Kunst",3
"Herz, Koch",3
"Turm, Frau",3
"Turm, Königin",3
"Huhn, Spieß",3
"Nixe, Kind",3
"Wasser, Huhnchen",3
"Wald, Hirsch",3
"Geld, Lustig",3
"Lustig, Kreuzer",3
"Brot, Lustig",3
"Gold, Jahr",3
"Frau, Glückskind",3
"Jahr, Leute",3
"Wasser, 'nein",3
"Wasser, Junge",3
"Brief, Frau",3
"'nein, Königin",3
"Jahr, Junge",3
"König, Knabe",3
"Räuber, Knabe",3
"Teufel, König",3
"Teufel, Tochter",3
"Haar, Tochter",3
"Teufel, Haus",3
"Teufel, Wein",3
"Teufel, Brunnen",3
"Teufel, Apfel",3
"Teufel, Baum",3
"Wein, Brunnen",3
"Haar, Alte",3
"Wein, Stein",3
"Teufel, Esel",3
"Mistchen, Baumchen",3
"Mistchen, Flohchen",3
"Mistchen, Türchen",3
"Mistchen, Besenchen",3
"Mistchen, Lauschen",3
"Müller, Mann",3
"Frau, Müller",3
"Teufel, Kind",3
"Gott, Tag",3
"Morgen, Garten",3
"König, Garten",3
"König, Himmel",3
"Gott, Hand",3
"Brief, Mutter",3
"Teufel, Brief",3
"Teufel, Königin",3
"Gott, Jungfrau",3
"Gott, Königin",3
"Engel, Haus",3
"Jungfrau, Haus",3
"Hand, Gnade",3
"Engel, Jahr",3
"Jahr, Haus",3
"Welt, Himmel",3
"Engel, Sohn",3
"Gott, Stein",3
"Hans, Messer",3
"Ziege, Hans",3
"Hans, Bein",3
"Hans, Gesicht",3
"Gesicht, Kopf",3
"'guten, Kopf",3
"Vater, Meister",3
"Wald, Meister",3
"Wald, Leben",3
"Meister, Sohn",3
"Krug, Zeit",3
"Keller, Kreuzhacke",3
"Keller, Kind",3
"Bier, Else",3
"Bier, Kind",3
"Keller, Magd",3
"Frau, Faß",3
"Frau, Else",3
"Magd, Knecht",3
"Knecht, Mann",3
"Bier, Frau",3
"Hans, Frau",3
"Hans, Geld",3
"Frau, Geld",3
"Gott, Hans",3
"Schneider, Türe",3
"Erde, Herr",3
"Schemel, Türe",3
"Tischchen, Sack",3
"Sack, Deck",3
"Stall, Junge",3
"Schneider, Stall",3
"Schneider, Blatt",3
"Ziege, Stall",3
"Ziege, Tier",3
"Ziege, Blatt",3
"Blatt, Sohn",3
"Wand, Junge",3
"Schneider, Haus",3
"Zeit, Holz",3
"Tischchen, Herz",3
"Messer, Herz",3
"Vater, Tischchen",3
"Wirt, Geselle",3
"Wein, Sohn",3
"Sohn, Alte",3
"Arbeit, Meister",3
"Geselle, Sack",3
"Geselle, Esel",3
"Geselle, Gold",3
"Tischchen, Bruder",3
"Wirt, Stall",3
"Wirt, Esel",3
"Hand, Tier",3
"Tier, Esel",3
"Meister, Tag",3
"Ding, Sack",3
"Sack, Gast",3
"Stück, Erde",3
"Baum, Sack",3
"Freude, Sohn",3
"Fuchs, Gesicht",3
"Bruder, Gesicht",3
"Weg, Kopf",3
"Vater, Wagen",3
"Weg, Daumesdick",3
"Bauer, Pferd",3
"Zeit, Tochter",3
"König, Brunnen",3
"Wasser, Kugel",3
"Königstochter, Brunnen",3
"Stein, Kopf",3
"Freude, Königstochter",3
"Frosch, Haus",3
"Brunnen, Haus",3
"Wasser, Herz",3
"Vater, Frosch",3
"Wald, Tür",3
"Frosch, Herz",3
"Stuhl, König",3
"Stuhl, Tisch",3
"König, Ecke",3
"Wand, Bett",3
"Königssohn, Auge",3
"Morgen, Kopf",3
"Heinrich, Wagen",3
"Weg, Königssohn",3
"Herz, Wagen",3
"Wagen, Herr",3
"Herz, Königssohn",3
"Haus, Maus",3
"Katze, Mauschen",3
"Katze, Fetttopf",3
"Fetttopf, Maus",3
"Ding, Haar",3
"Ding, Kind",3
"Kind, Pfote",3
"Weg, Katze",3
"Wald, Jungfrau",3
"Arbeit, Frau",3
"Arbeit, Holz",3
"Mädchen, Jungfrau",3
"Schlüssel, Türe",3
"Jungfrau, Türe",3
"Herz, Maria",3
"Schlüssel, Schloß",3
"Hand, Schloß",3
"Gold, Finger",3
"Hand, Türe",3
"Mädchen, Finger",3
"Mädchen, Erde",3
"Haar, Baum",3
"Weg, Land",3
"Land, Baum",3
"Tür, Königin",3
"Sprache, Bett",3
"Sprache, Nacht",3
"Mund, Kind",3
"Morgen, Leute",3
"Tür, Türe",3
"Königin, Himmel",3
"Kind, Töchterlein",3
"Himmel, Töchterlein",3
"Erde, Jungfrau",3
"Feuer, Licht",3
"Feuer, Tod",3
"Licht, Tod",3
"Weg, Nacht",3
"Feuer, Ecke",3
"Vater, Mir_Es",3
"Gott, Bruder",3
"Mir_Es, Ei",3
"Vater, Ding",3
"Ding, Haus",3
"Brot, Haus",3
"Sohn, Junge",3
"Ecke, Mann",3
"Vater, Auge",3
"Vater, Mensch",3
"Mir_Es, Nacht",3
"'siehst, Mann",3
"Taler, Mann",3
"Mensch, Nacht",3
"Mensch, Abend",3
"Mensch, Tochter",3
"Mensch, Junge",3
"Abend, Mann",3
"Wirt, Auge",3
"Mir_Es, Schloß",3
"Mir_Es, Leben",3
"Nacht, Stube",3
"Stube, Schloß",3
"Stube, Auge",3
"Jungfrau, Tochter",3
"Schloß, Tag",3
"Katze, Auge",3
"Hund, Ecke",3
"Morgen, Erde",3
"Axt, Junge",3
"Weg, Feuer",3
"Hochzeit, Gemahlin",3
"Mutter, Geißlein",3
"Wald, Haar",3
"Weg, Fuß",3
"Mutter, Stimme",3
"Kind, Stimme",3
"Kind, Haustür",3
"Stimme, Wolf",3
"Fuß, Pfote",3
"Wald, Pfote",3
"Bett, Tisch",3
"Wiese, Baum",3
"Gott, Leben",3
"Schneider, Hochzeit",3
"Tier, Alte",3
"Bein, Stein",3
"Diener, Johannes",3
"Kammer, Leben",3
"Kammer, Sohn",3
"Kammer, Tod",3
"Bett, Leben",3
"Bett, Tod",3
"Königstochter, Sohn",3
"Königstochter, Johannes",3
"Schloß, Sohn",3
"Vater, Johannes",3
"Zeit, Johannes",3
"Frau, Katerliesechen",3
"Katerliesechen, Mann",3
"Keller, Trunk",3
"Bier, Trunk",3
"Bier, Wurst",3
"Bier, Katerliesechen",3
"Hund, Wurst",3
"Hund, Katerliesechen",3
"Feld, Katerliesechen",3
"Keller, Katerliesechen",3
"Frau, Mir_Es",3
"Mir_Es, Sprache",3
"Mir_Es, Katerliesechen",3
"Gold, Katerliesechen",3
"Gold, Mir_Es",3
"Weg, Frieder",3
"Weg, Friedearche",3
"Käse, Frieder",3
"Käse, Friedearche",3
"Weg, Sprache",3
"Berg, Sprache",3
"Mir_Es, Käse",3
"Mir_Es, Butter",3
"Frieder, Haus",3
"Katerliesechen, Name",3
"Türe, Name",3
"Name, Friedearche",3
"Sprache, Haus",3
"Teufel, Sprache",3
"Fuß, Herr",3
"Wald, Gold",3
"Jäger, Ecke",3
"Sprache, Alte",3
"Hase, Fuß",3
"Tier, Hase",3
"'nein, Jäger",3
"Berg, Jungfrau",3
"Wirt, Drachen",3
"Reich, Jäger",3
"Reich, Tod",3
"Jäger, Kirche",3
"Berg, Jäger",3
"Feuer, Jäger",3
"Stück, Jäger",3
"Löwe, Drachen",3
"Königstochter, Wolf",3
"Königstochter, Hase",3
"Reich, Gemahlin",3
"Sprache, Hase",3
"Löwe, Kopf",3
"Hase, Kopf",3
"Tier, Leute",3
"Jahr, Drachen",3
"König, Hase",3
"Fuchs, Hund",3
"Hund, Jäger",3
"Kammer, Türe",3
"Koch, Herr",3
"Drachen, Türe",3
"Wirt, Kleid",3
"König, Wolf",3
"Jäger, Kleid",3
"Kleid, Herr",3
"Schloß, Drachen",3
"Keller, König",3
"Mensch, Sprache",3
"Keller, Herr",3
"Diener, Jäger",3
"Diener, Tochter",3
"Diener, Mann",3
"Tochter, Herr",3
"Sprache, Baum",3
"Fuß, Stein",3
"Bruder, Tor",3
"Frau, Kuh",3
"Zeit, Kopf",3
"Kuh, Kopf",3
"Kuh, Bürle",3
"Schultheiß, Sprache",3
"Bürle, Mann",3
"Sprache, Müller",3
"Schultheiß, Bauer",3
"Wasser, Bürle",3
"Schultheiß, Herde",3
"Herde, Faß",3
"Wasser, Sprache",3
"Dümmling, Leide_Es",3
"Dümmling, Tier",3
"Dümmling, Frieden",3
"Leide_Es, Tier",3
"Leide_Es, Frieden",3
"Tier, Frieden",3
"Dümmling, Jtsche",3
"Ring, Dümmling",3
"Frau, Dümmling",3
"Reich, Dümmling",3
"Männchen, Kuchen",3
"Dümmling, Kuchen",3
"Schlüssel, Herz",3
"Herz, Johannes",3
"Gold, Erde",3
"Bett, Wein",3
"Johannes, Herr",3
"Blatt, Baum",3
"Gold, Reich",3
"Gold, Glück",3
"Land, Schloß",3
"Hand, Brunnen",3
"Mädchen, Königstochter",3
"Schiff, Herr",3
"Königstochter, Gemahlin",3
"Rabe, Johannes",3
"Braut, Stein",3
"Feuer, Pferd",3
"Feuer, Sprache",3
"Sprache, Stein",3
"Braut, Erde",3
"Morgen, Herr",3
"Gnade, Stein",3
"Vater, Stein",3
"Welt, Kopf",3
"Königin, Kopf",3
"Kind, Johannes",3
"Kind, Stein",3
"Wasser, Geld",3
"Frosch, Geld",3
"Frosch, Ak",3
"Geld, Kuh",3
"König, Hund",3
"Frau, Königstochter",3
"Königstochter, Tochter",3
"Bauer, Soldat",3
"Rock, König",3
"Rock, Geld",3
"Taler, Jude",3
"Schatzkammer, Taler",3
"König, Soldat",3
"Soldat, Geld",3
"Herr, Jude",3
"Rock, Mann",3
"Bauer, Zeit",3
"Mensch, Geld",3
"Wald, Geselle",3
"Wald, Weile",3
"Geselle, Zeit",3
"Geselle, Weile",3
"Spielmann, Baum",3
"Spielmann, Meister",3
"Spielmann, Wolf",3
"Fuchs, Baum",3
"Fuchs, Spielmann",3
"Fuchs, Fuß",3
"Fuchs, Pfote",3
"Spielmann, Hasechen",3
"Geselle, Tier",3
"Spielmann, Mann",3
"Kind, Sohn",3
"Wald, Turm",3
"Wald, Benjamin",3
"Mutter, Turm",3
"Mutter, Welt",3
"Mutter, Baum",3
"Turm, Sohn",3
"Bruder, Sohn",3
"Bruder, Baum",3
"Mutter, Gott",3
"Mutter, Sprache",3
"Herz, Sprache",3
"Bruder, Königstochter",3
"Freude, Bruder",3
"Königstochter, Gnade",3
"Königstochter, Kleid",3
"Topf, Feuer",3
"Bruder, Blume",3
"Wald, Blume",3
"Garten, Haus",3
"Mädchen, Rabe",3
"Wald, 'nein",3
"'nein, Welt",3
"'nein, Kind",3
"'nein, Alte",3
"Frau, Bruder",3
"Bruder, Jahr",3
"Herz, Baum",3
"Mutter, Jahr",3
"Hahnchen, Fuß",3
"Ente, Hahnchen",3
"Nußberg, Hahnchen",3
"Ente, Nacht",3
"Ei, Huhnchen",3
"Ei, Haus",3
"Nähnadel, Kopf",3
"Tag, Fuß",3
"Weg, Schwesterchen",3
"Welt, Schwesterchen",3
"Wiese, Feld",3
"Feld, Tag",3
"Baum, Stein",3
"Tag, Stein",3
"Wald, Hexe",3
"Wald, Stiefmutter",3
"Rehchen, Schwesterchen",3
"Mädchen, Rehchen",3
"Abend, Jäger",3
"Hexe, König",3
"Hexe, Alte",3
"Hand, Alte",3
"Nacht, Alte",3
"Tochter, Auge",3
"Tochter, Glück",3
"Morgen, Schloß",3
"Gott, König",3
"Gott, Gnade",3
"Tier, Tochter",3
"Zauberin, Garten",3
"Welt, Leute",3
"Frau, Garten",3
"Rapunzel, Garten",3
"Rapunzel, Hand",3
"Frau, Name",3
"Rapunzel, Kind",3
"Turm, Jahr",3
"Turm, Türe",3
"Vater, Gold",3
"Stück, Geld",3
"Welt, Ohr",3
"Daumesdick, Pfarrer",3
"Pfarrer, Mann",3
"Daumesdick, Bett",3
"Daumesdick, Wolf",3
"Wolf, Mann",3
"Freude, Sprache",3
"Füchsin, Magd",3
"Katze, Magd",3
"Fuchs, Freier",3
"Fuchs, Kammer",3
"Katze, Freier",3
"Hochzeit, Herr",3
"Leder, Schuh",3
"Leder, Paar",3
"Schuh, Paar",3
"Arbeit, Schuh",3
"Arbeit, Ecke",3
"Berg, Mann",3
"Herz, Bräutigam",3
"Wald, Braut",3
"Weg, Bräutigam",3
"Haus, Bräutigam",3
"Mädchen, Erbse",3
"Hochzeit, Tod",3
"Braut, Faß",3
"Räuber, Faß",3
"Finger, Faß",3
"Alte, Türe",3
"Wand, Haus",3
"Korbes, Haus",3
"Huhnchen, Wagen",3
"Asche, Gesicht",3
"Korb, Haus",3
"Wasser, Tod",3
"Kranke, Mann",3
"Besen, Treppe",3
"Finger, Herr",3
"Treppe, Herr",3
"Frau, Trude",3
"Hexe, Frau",3
"Arzt, Pate",3
"Pate, Tod",3
"Däumling, Herr",3
"Schatzkammer, Schneiderlein",3
"Schatzkammer, Däumling",3
"Arbeit, König",3
"Fuchs, Feld",3
"Vater, Fuchs",3
"Fuchs, Ei",3
"Fuchs, Herz",3
"Vogel, Fitchers",3
"Schlüssel, Haus",3
"Zeit, Haus",3
"Silber, Haus",3
"Korb, Gold",3
"Awerst, Kind",3
"Kind, Wöör",3
"Appell, Frau",3
"Schnee, Kind",3
"Ehre, Kind",3
"Gans, Wöör",3
"Weg, Tochter",3
"Ehre, Tochter",3
"Wöör, Tochter",3
"Hand, Gans",3
"Moder, Ik",3
"De, Licht",3
"He, Vogel",3
"Stück, Vogel",3
"Gold, Feder",3
"Vogel, Ehre",3
"Vogel, Gans",3
"Bauer, Sultan",3
"Frau, Haustür",3
"Wolf, Schwein",3
"Knabe, Kind",3
"Schneiderlein, Ei",3
"Ei, Gast",3
"Schneiderlein, Welt",3
"Schneiderlein, Herz",3
"Schneiderlein, Streiche",3
"Weg, Berg",3
"Schneider, Schneiderlein",3
"Schneider, Mann",3
"Schneiderlein, Mann",3
"Riese, Mann",3
"Wasser, Hand",3
"Auge, Stein",3
"Wald, Schneiderlein",3
"Schneider, Hand",3
"Schneiderlein, Bett",3
"Königstochter, Mann",3
"Schneider, König",3
"Hochzeit, Jäger",3
"Erde, Mund",3
"Jäger, Auge",3
"Frau, Diener",3
"Wasser, Arbeit",3
"Wasser, Abend",3
"Aschenputtel, Haus",3
"Aschenputtel, Mutter",3
"Aschenputtel, Baum",3
"Aschenputtel, Tag",3
"Jungfrau, Sohn",3
"Hochzeit, Stiefmutter",3
"König, Stiefmutter",3
"Mädchen, Schuh",3
"Tochter, Kleid",3
"Asche, Aschenputtel",3
"Vogel, Tag",3
"Morgen, Schuh",3
"Mutter, Schuh",3
"Mädchen, Messer",3
"Schuh, Königssohn",3
"Messer, Königin",3
"Schuh, Hand",3
"Königssohn, Pferd",3
"Pferd, Tier",3
"Wirt, Diener",3
"Wirt, Tisch",3
"Mantel, Diener",3
"Mantel, Königstochter",3
"Nacht, Königstochter",3
"Gold, Nacht",3
"Wasser, Tisch",3
"Bratwurst, Maus",3
"Feuer, Maus",3
"Morgen, Leben",3
"Vöglein, Leben",3
"Brief, Leben",3
"Arbeit, Tochter",3
"Frau, Zahn",3
"Haus, Zahn",3
"Frau, Feder",3
"Bett, Feder",3
"Bett, Holle",3
"Holle, Haus",3
"Frau, Tor",3
"Tor, Holle",3
"Gold, Tor",3
"Mutter, Gold",3
"Apfel, Kopf",3
"Gold, Tag",3
"Zeit, Leute",3
"Leute, Eltern",3
"Rabe, Zwerglein",3
"Zwerg, Haus",3
"Becherchen, Tellerchen",3
"Haus, Zwerglein",3
"Rotkappechen, Wein",3
"Stück, Wein",3
"Stück, Kuchen",3
"Großmutter, Kuchen",3
"Großmutter, Tag",3
"Wald, Rotkappechen",3
"Rotkappechen, Haus",3
"Großmutter, Rotkäppchen",3
"Haus, Rotkäppchen",3
"Blume, Rotkäppchen",3
"Freude, Auge",3
"Großmutter, Auge",3
"Bett, Großmutter",3
"Bett, Kuchen",3
"Morgen, Gott",3
"Gott, Türe",3
"Mir_Es, Türe",3
"Ohr, Auge",3
"Hand, Ei",3
"Frau, Jäger",3
"Bett, Stube",3
"Bett, Haus",3
"Rotkappechen, Weg",3
"Weg, Wein",3
"Weg, Jäger",3
"Wein, Jäger",3
"Sack, Mann",3
"Bremen, Stadtmusikant",3
"Bremen, Esel",3
"Katze, Gesicht",3
"Bein, Tag",3
"Bein, Kopf",3
"Tag, Gast",3
"Katze, Baum",3
"Weg, Licht",3
"Stube, Esel",3
"Asche, Weg",3
"Katze, Türe",3
"Finger, Haus",3
"Haus, Gesicht",3
"Mann, Gesicht",3
"Männlein, Wein",3
"Brücke, König",3
"Zauberin, Königssohn",3
"Frau, Haar",3
"Welt, Königssohn",3
"Turm, Leben",3
"Wasser, Milch",3
"Morgen, Milch",3
"Morgen, Wein",3
"Milch, Wein",3
"Milch, Tochter",3
"Milch, Mann",3
"Mädchen, Erdbeere",3
"Wald, Erdbeere",3
"Schnee, Erdbeere",3
"Schnee, Haus",3
"Erdbeere, Haus",3
"Weg, 'nein",3
"Mädchen, Hauschen",3
"Ei, Türe",3
"Herz, Mund",3
"Mund, Mann",3
"Mädchen, Axt",3
"Mädchen, Wagen",3
"Mutter, Wagen",3
"Jahr, Glück",3
"Schloß, Glück",3
"Schloß, Stiefmutter",3
"Bett, Fuß",3
"Tochter, Kopf",3
"Morgen, Alte",3
"Freude, Kammer",3
"Faß, König",3
"Faß, Alte",3
"Mädchen, Flachs",3
"Flachs, Schloß",3
"Mädchen, Abend",3
"Morgen, Sohn",3
"Hochzeit, Tisch",3
"Mädchen, Glück",3
"Mädchen, Kammer",3
"Frau, Bräutigam",3
"Braut, Königssohn",3
"Hochzeit, Glück",3
"Königssohn, Fuß",3
"Tier, Haus",3
"Grethel, Alte",3
"Alte, Hänsel",3
"Brot, Hänsel",3
"Haus, Hänsel",3
"Vater, Grethel",3
"Vater, Holz",3
"Feuer, Berg",3
"Hand, Grethel",3
"Hand, Hänsel",3
"Stück, Hänsel",3
"Bein, Baum",3
"Mensch, Auge",3
"Stall, Grethel",3
"Wasser, Grethel",3
"Grethel, Kopf",3
"König, Feld",3
"König, Tor",3
"Schlange, Blatt",3
"Erde, Mensch",3
"Gott, Auge",3
"Wein, Türe",3
"Brot, Türe",3
"Mund, Leben",3
"Diener, Tag",3
"Wasser, Ente",3
"Welt, Diener",3
"Wasser, Weg",3
"Fisch, Tag",3
"Pferd, Junge",3
"Rabe, Pferd",3
"Aufgabe, Königstochter",3
"Pferd, Leben",3
"Jüngling, Tod",3
"Herz, Glück",3
"Feuer, Kohle",3
"Asche, Feuer",3
"Brücke, Bach",3
"Wasser, Bach",3
"Ga, Glück",3
"Hand, Bett",3
"Ehre, Bett",3
"He, Ga",3
"He, Awerst",3
"Ga, Ik",3
"Awerst, Ik",3
"Wöör, Ik",3
"See, Wöör",3
"He, Hand",3
"Frau, Eine",3
"Frau, Tisch",3
"Eine, Mann",3
"Mann, Tisch",3
"De, Land",3
"Ehre, Land",3
"König, Butt",3
"König, Ik",3
"Gans, Mann",3
"Soldat, Mann",3
"Gold, Ehre",3
"Butt, Glück",3
"Gold, Stück",3
"Stück, Hand",3
"Finger, Frau",3
"Finger, Hand",3
"Hand, Riese",3
"Butt, Papst",3
"Papst, Kaiser",3
"He, Papst",3
"De, Nacht",3
"Gott, De",3
"Schneiderlein, Frau",3
"Teufel, Lustig",3
"Heil., Zeit",3
"Herz, Lustig",3
"Heil., Ei",3
"'nein, Ranzen",3
"'nein, Lamm",3
"Ei, Lustig",3
"Wasser, Heil.",3
"Heil., Soldat",3
"Heil., König",3
"Gold, Ranzen",3
"Weg, Lustig",3
"Ei, Kopf",3
"Wirt, Lustig",3
"Teufel, Ranzen",3
"Ranzen, Himmel",3
"E, Zahn",3
"Eine, Spielhansel",3
"Haus, Spielhansel",3
"Herrgott, G'sogt",3
"Herrgott, Hietzt",3
"Herrgott, Spielhansel",3
"G'sogt, De",3
"G'sogt, Spielhansel",3
"Sand, Herrgott",3
"Herrgott, E",3
"E, De",3
"G'sogt, Eine",3
"Wide, E",3
"Wide, Eine",3
"Eine, Hietzt",3
"Welt, Zahn",3
"Ding, Hietzt",3
"Sand, Zahn",3
"Wide, Zahn",3
"Hans, Glück",3
"Hans, Stein",3
"Pferd, Kuh",3
"Milch, Hans",3
"Gans, Schwein",3
"Fisch, Glück",3
"Vater, Goldkind",3
"Wald, Goldkind",3
"Braut, Goldkind",3
"Fuchs, Gans",3
"Bruder, Schwan",3
"Mädchen, Leben",3
"Tag, Tisch",3
"Asche, König",3
"Bruder, Frieden",3
"Jahr, Land",3
"Haar, Koch",3
"Dornrösche, Königssohn",3
"Königssohn, Schloß",3
"Förster, Jagd",3
"Kind, Baum",3
"Lenchen, Kind",3
"Wasser, Kochin",3
"Wasser, Fundevogel",3
"Fundevogel, Kochin",3
"Knecht, Kochin",3
"Kind, Kochin",3
"Haus, Kochin",3
"König, Eine",3
"Drosselbart, Eine",3
"Geld, Leute",3
"Herz, Jäger",3
"Tier, Leben",3
"Jäger, Hirschfänger",3
"Spiegel, Königin",3
"Berg, Königin",3
"Schneewittchen, Türe",3
"Erde, Schneewittchen",3
"Schneewittchen, Apfel",3
"Silber, Glück",3
