Characters,TaleDistributionFrequency
"Welt, Alte",5
"Wald, Sohn",5
"Mutter, Herz",5
"Mädchen, Mann",5
"König, Jagd",5
"Tier, Jäger",5
"Mädchen, Jäger",5
"Hand, Nacht",5
"Königin, Tochter",5
"Mädchen, Königin",5
"Morgen, Haus",5
"Weg, Welt",5
"Frau, Gnade",5
"Hochzeit, Zeit",5
"Hochzeit, Schloß",5
"Wald, Feuer",5
"Wald, Tochter",5
"Leben, Gnade",5
"Erde, Frau",5
"Frau, Leute",5
"Gold, Kind",5
"Frau, Feld",5
"Welt, Gemahlin",5
"Zeit, Kind",5
"Mutter, Kopf",5
"Fuchs, Tier",5
"Gold, Welt",5
"Vater, Tier",5
"Tier, Kopf",5
"Fuchs, Haus",5
"Wasser, Kind",5
"Wasser, Kopf",5
"König, Fuß",5
"Wasser, Mensch",5
"Gott, Haus",5
"Frau, Jungfrau",5
"Weg, Baum",5
"Morgen, Kind",5
"Erde, Kind",5
"Feuer, Holz",5
"Königin, Bett",5
"Hand, Herz",5
"Welt, Sohn",5
"Herz, Königin",5
"Hand, Königin",5
"Vater, Gott",5
"Vater, Tochter",5
"Feuer, König",5
"Bett, Ecke",5
"Bett, Auge",5
"Nacht, Abend",5
"Baum, Tag",5
"Welt, Tochter",5
"Vater, Tag",5
"Nacht, Auge",5
"Feuer, Hand",5
"Hochzeit, Tag",5
"Welt, Mensch",5
"Leben, Auge",5
"Feuer, Abend",5
"Treppe, Mann",5
"Nacht, Schloß",5
"Tier, Stein",5
"Leben, Kopf",5
"Wald, Wolf",5
"Vater, Tod",5
"Hand, Königstochter",5
"Fuchs, Tag",5
"Weg, Schloß",4
"Mädchen, Land",4
"Wasser, Land",4
"Stall, Pferd",4
"Königin, Land",4
"Freude, Tochter",4
"Vater, Reich",4
"Gold, Bruder",4
"Bruder, Mensch",4
"Fuchs, Sprache",4
"Wald, Fuchs",4
"Keller, Sprache",4
"König, Koch",4
"Vogel, Frau",4
"Mutter, Mann",4
"Wasser, Wein",4
"König, Brot",4
"Jahr, Tochter",4
"Kammer, Kind",4
"Wasser, Faß",4
"Wald, Berg",4
"Alte, Kopf",4
"Wasser, Tochter",4
"Kammer, Königin",4
"Mir_Es, Brot",4
"Bett, Kopf",4
"Tag, Tod",4
"Braut, Bräutigam",4
"Mädchen, Braut",4
"Hochzeit, Bräutigam",4
"Königin, Haus",4
"Mädchen, Königssohn",4
"Weg, Tier",4
"Weg, Frau",4
"Morgen, Bett",4
"Feld, Haus",4
"Hexe, Haus",4
"Vogel, Türe",4
"Vater, Herr",4
"Leben, Mann",4
"Zeit, Tod",4
"Wein, Brot",4
"Hand, Koch",4
"Apfel, Baum",4
"Tier, Sprache",4
"Wasser, Tag",4
"Bruder, Leben",4
"Feuer, Herd",4
"Frau, De",4
"De, Eine",4
"Baum, Axt",4
"Morgen, Arbeit",4
"Tag, Kleid",4
"Tag, Eltern",4
"Vogel, Baum",4
"Vater, Königssohn",4
"Gott, Himmel",4
"Arbeit, Kind",4
"Herz, Alte",4
"Leben, Tag",4
"Bett, Tag",4
"Frau, Sohn",4
"Stube, Türe",4
"Frau, Stube",4
"Wald, Auge",4
"Weg, Zeit",4
"Freude, Tag",4
"Wein, Kuchen",4
"Tag, Kopf",4
"Hund, Sprache",4
"Hund, Herr",4
"Hund, Baum",4
"Land, Mann",4
"Vogel, Mann",4
"Sprache, Wolf",4
"Gold, Geld",4
"Mutter, Zeit",4
"Pferd, Mann",4
"Wolf, Herr",4
"Gold, Berg",4
"Keller, Wein",4
"Ei, Herr",4
"Ei, Mann",4
"Vogel, Feder",4
"Ei, Tier",4
"Tür, Herz",4
"Erde, Königstochter",4
"Kind, Brunnen",4
"Pferd, Diener",4
"König, Wagen",4
"Pferd, Wagen",4
"Weg, Herr",4
"Vater, Bett",4
"Wasser, Vater",4
"Königstochter, Kopf",4
"Kind, Kirche",4
"Katze, Tag",4
"Katze, Maus",4
"Gevatter, Haus",4
"Haar, Kind",4
"Wald, Pferd",4
"Mädchen, Türe",4
"Mutter, Holz",4
"Schloß, Kopf",4
"Kind, Leben",4
"Königin, Nacht",4
"Jungfrau, Sprache",4
"Erde, Herz",4
"Kind, Leute",4
"Nacht, Leben",4
"Wald, Jahr",4
"Vater, Baum",4
"Katze, Hund",4
"Erde, Mann",4
"Nacht, Baum",4
"Bein, Mann",4
"Bein, Haus",4
"Welt, Tag",4
"Feuer, Auge",4
"Mensch, Tag",4
"Sohn, Haus",4
"'nein, Mann",4
"Vater, Stück",4
"Wirt, Nacht",4
"Baum, Mann",4
"Stück, Baum",4
"Nacht, Tochter",4
"Stück, Tag",4
"Welt, Baum",4
"Erde, Tag",4
"Vater, Leute",4
"Vater, Weg",4
"Feuer, Schloß",4
"Finger, Mann",4
"Mensch, Schloß",4
"Mir_Es, Mensch",4
"Welt, Nacht",4
"Katze, Feuer",4
"Feuer, Nacht",4
"Stück, Mann",4
"Bett, Schloß",4
"Frau, Bein",4
"Haus, Junge",4
"Schloß, Leben",4
"Wolf, Stein",4
"Mutter, Stück",4
"Weg, Alte",4
"Leben, Haus",4
"Weg, Mutter",4
"Wolf, Tag",4
"Zeit, Königin",4
"Gold, Pferd",4
"König, Schiff",4
"König, Bett",4
"König, Frieden",4
"Gold, Stein",4
"Gold, Vogel",4
"Herz, Gemahlin",4
"Sprache, Schloß",4
"Leben, Tod",4
"Welt, Hand",4
"Sohn, Auge",4
"Vater, Kopf",4
"Schloß, Türe",4
"Mädchen, Freude",4
"Hand, Stein",4
"Gold, Herr",4
"König, Mund",4
"Hund, Tag",4
"Geld, Glück",4
"Bauer, Haus",4
"Mensch, Herz",4
"Zeit, Baum",4
"Wald, Zeit",4
"Tier, Mann",4
"Mädchen, Sohn",4
"Frau, Alte",4
"Mädchen, Kleid",4
"Schloß, Baum",4
"Gott, Sprache",4
"Welt, Bruder",4
"Wald, Hauschen",4
"Vater, Schloß",4
"Wald, Alte",4
"König, Alte",4
"Bruder, Nacht",4
"Arbeit, Haus",4
"Wald, Vogel",4
"Wald, Schloß",4
"Wald, Welt",4
"Abend, Gast",4
"Wirt, Haus",4
"Zeit, Abend",4
"Alte, Tochter",4
"Tier, Wolf",4
"Tier, Kind",4
"Zeit, Schloß",4
"Wald, Feld",4
"Frau, Schloß",4
"Jäger, Tag",4
"Alte, Auge",4
"Kind, Jäger",4
"Wald, Stein",4
"Weg, Feld",4
"Königin, Schloß",4
"König, Abend",4
"Wald, Jagd",4
"Königin, Glück",4
"Mädchen, Zeit",4
"Zeit, Auge",4
"Hand, Tag",4
"Welt, Auge",4
"Bett, Abend",4
"Baum, Jäger",4
"Alte, Tag",4
"Erde, Hand",4
"Königssohn, Leben",4
"Gold, Leute",4
"Teufel, Frau",4
"Gold, Tochter",4
"Mensch, Haus",4
"Teufel, Mann",4
"Zeit, Sohn",4
"Keller, Faß",4
"Bruder, Tier",4
"Wasser, Junge",3
"Freier, Tochter",3
"Wasser, Baum",3
"Teufel, Hand",3
"Gold, Esel",3
"Welt, Himmel",3
"Wald, Herr",3
"Müller, Tochter",3
"Gott, Sohn",3
"Mir_Es, König",3
"Morgen, Garten",3
"Hand, Gnade",3
"Gott, Stein",3
"Gott, Tag",3
"Jahr, Haus",3
"Wald, Königin",3
"'guten, Kopf",3
"Hans, Kopf",3
"Hans, Haus",3
"Mutter, Hans",3
"Vater, Meister",3
"Wald, Leben",3
"Wald, Meister",3
"Meister, Sohn",3
"Frau, Faß",3
"Keller, Frau",3
"Hans, Hand",3
"Frau, Geld",3
"Hahn, Zeit",3
"Keller, Mann",3
"Türe, Herr",3
"Herr, Tisch",3
"Baum, Sack",3
"Welt, Ding",3
"Weg, Kopf",3
"Messer, Herz",3
"Meister, Tag",3
"Stall, Tier",3
"Fuchs, Bruder",3
"Freude, Sohn",3
"Bruder, Gesicht",3
"Zeit, Holz",3
"Vater, Pferd",3
"Freude, Sprache",3
"Vater, Gold",3
"Ohr, Mann",3
"Ei, Herz",3
"Ei, Gast",3
"Schneider, Hand",3
"Ohr, Herr",3
"Topf, Frau",3
"Tier, Baum",3
"Königstochter, Mann",3
"Nacht, Herr",3
"Wasser, Hand",3
"Jäger, Auge",3
"Braut, Haus",3
"Hochzeit, Kleid",3
"Fuß, Mann",3
"Mädchen, Stiefmutter",3
"Arbeit, Tag",3
"Garten, Himmel",3
"Mädchen, Asche",3
"Pferd, Haus",3
"König, Haar",3
"Arbeit, Abend",3
"Schuh, Hand",3
"Wasser, Arbeit",3
"Schuh, Fuß",3
"Tochter, Kleid",3
"Wirt, Ding",3
"Tier, Herr",3
"Morgen, Königstochter",3
"Wirt, Tochter",3
"Pferd, Tier",3
"Magd, Herr",3
"Brief, Leben",3
"Feuer, Tisch",3
"Wasser, Holz",3
"Mutter, Gold",3
"Arbeit, Tochter",3
"Apfel, Kopf",3
"Mädchen, Gold",3
"Gold, Tag",3
"Leute, Eltern",3
"Vater, Ring",3
"Mädchen, Eltern",3
"Gott, Türe",3
"Hand, Ei",3
"Wolf, Türe",3
"Ohr, Auge",3
"Weg, Jäger",3
"Wald, Wein",3
"Weg, Wolf",3
"Wolf, Haus",3
"Stube, Haus",3
"Morgen, Gott",3
"Mir_Es, Türe",3
"Blume, Tag",3
"Bett, Stube",3
"Wolf, Jäger",3
"Bett, Haus",3
"Weg, Wein",3
"Frau, Jäger",3
"Weg, Licht",3
"Bein, Tag",3
"Bein, Kopf",3
"Haus, Gesicht",3
"Katze, Baum",3
"Finger, Haus",3
"Arbeit, Mann",3
"Tag, Gast",3
"Türe, Mann",3
"Katze, Türe",3
"Stück, Bruder",3
"Faß, Sprache",3
"'nein, Sprache",3
"Sprache, Haus",3
"Fuß, Herr",3
"Gold, Mir_Es",3
"Teufel, Sprache",3
"Feuer, Baum",3
"Wald, Gold",3
"Reich, Gemahlin",3
"Reich, Tod",3
"Löwe, Tier",3
"Mensch, Sprache",3
"Fuß, Stein",3
"Kopf, Herr",3
"Vater, Jäger",3
"Jäger, Herr",3
"Sprache, Baum",3
"Reich, Jungfrau",3
"Gold, Ei",3
"Schloß, Jäger",3
"Stück, Jäger",3
"Hund, Jäger",3
"Koch, Türe",3
"Jungfrau, Jäger",3
"Keller, Herr",3
"Zeit, Kopf",3
"Wasser, Sprache",3
"König, Dümmling",3
"Vater, Dümmling",3
"Bruder, Dümmling",3
"Knabe, Kind",3
"Tag, Tisch",3
"Mädchen, Bett",3
"Bruder, Feder",3
"Bruder, Bett",3
"Königssohn, Zeit",3
"Geld, Leute",3
"Erde, Haus",3
"Leben, Jäger",3
"Königstochter, Name",3
"Tier, Leben",3
"Bruder, Kopf",3
"Fuchs, Hase",3
"Teufel, Fuß",3
"Erde, Bett",3
"Bruder, Pferd",3
"Vater, Jungfrau",3
"Jungfrau, Schloß",3
"Mensch, Königstochter",3
"Hand, Pferd",3
"Weg, Bruder",3
"Braut, Tochter",3
"Frau, Gut",3
"Welt, Königssohn",3
"Mädchen, Knabe",3
"Frau, Haar",3
"Katze, Frau",3
"Hand, Königssohn",3
"Frau, Name",3
"Vogel, Auge",3
"Schloß, Stiefmutter",3
"Faß, König",3
"Herz, Mund",3
"Mund, Mann",3
"Weg, Kuchen",3
"Wald, Erde",3
"Freude, Kammer",3
"Weg, 'nein",3
"Jahr, Glück",3
"Ei, Türe",3
"Berg, König",3
"Königin, Fuß",3
"Mutter, Kuchen",3
"Mädchen, Axt",3
"Frau, Schnee",3
"Schloß, Glück",3
"Mutter, Wagen",3
"Mutter, Auge",3
"Besen, Haus",3
"Morgen, Alte",3
"Königssohn, Königin",3
"Mutter, Tochter",3
"Mutter, Haus",3
"Mädchen, Fuß",3
"Mutter, Wein",3
"Mädchen, Bräutigam",3
"Morgen, Sohn",3
"Mädchen, Abend",3
"Frau, Bräutigam",3
"Braut, Königssohn",3
"Hochzeit, Glück",3
"Arbeit, Tisch",3
"Mensch, Auge",3
"Tag, Holz",3
"Bein, Baum",3
"Weg, Kind",3
"Feuer, Kind",3
"Vater, Holz",3
"'nein, Tier",3
"Feuer, Berg",3
"Wasser, Bruder",3
"Weg, Vogel",3
"Tier, Haus",3
"Gott, Auge",3
"Wein, Türe",3
"König, Wein",3
"Erde, Mensch",3
"König, Jüngling",3
"Mund, Leben",3
"Wein, Tag",3
"Brot, Türe",3
"Pferd, Junge",3
"Jüngling, Königstochter",3
"Jüngling, Tod",3
"Freier, König",3
"Welt, Diener",3
"Wasser, Ente",3
"Wasser, Weg",3
"Herz, Glück",3
"Ring, König",3
"Brücke, Bach",3
"Wasser, Bach",3
"Feuer, Alte",3
"Feuer, Bruder",3
"Feuer, Kohle",3
"Asche, Feuer",3
"De, Nacht",3
"Frau, Licht",3
"Stück, Frau",3
"He, De",3
"Frau, Glück",3
"Gans, Mann",3
"Hand, Bett",3
"De, Mann",3
"Finger, Frau",3
"Frau, Ehre",3
"Gold, Stück",3
"He, Frau",3
"Mann, Tisch",3
"De, Awerst",3
"Stück, Hand",3
"Ehre, Land",3
"Finger, Hand",3
"Gold, Hand",3
"Welt, Herr",3
"Schneider, Herr",3
"Gnade, Stein",3
"Braut, Erde",3
"Leben, Sohn",3
"Bett, Leben",3
"Wein, Herr",3
"Kammer, Leben",3
"Tier, Schloß",3
"Bett, Herr",3
"Königstochter, Schloß",3
"Feuer, Sprache",3
"Königstochter, Diener",3
"Königin, Kopf",3
"Vater, Stein",3
"Hand, Brunnen",3
"Schlüssel, Herz",3
"Königstochter, Land",3
"Bett, Wein",3
"Tod, Auge",3
"Morgen, Herr",3
"Jahr, Schloß",3
"Schloß, Sohn",3
"Mädchen, Hand",3
"Zeit, Leben",3
"Vater, Hand",3
"Vater, Leben",3
"Gold, Tier",3
"Mädchen, Königstochter",3
"Jahr, Königstochter",3
"Königstochter, Tochter",3
"Rock, Mann",3
"König, Hund",3
"Bauer, Kuh",3
"König, Soldat",3
"Bauer, Geld",3
"Geld, Kuh",3
"Bauer, Mann",3
"Mensch, Geld",3
"Bauer, Zeit",3
"Frau, Königstochter",3
"Bauer, Hund",3
"Fuchs, Baum",3
"Fuchs, Fuß",3
"Wald, Stück",3
"Turm, Sohn",3
"Bruder, Schloß",3
"Bruder, Sprache",3
"Bruder, Sohn",3
"Mutter, Baum",3
"Topf, Feuer",3
"Garten, Haus",3
"Mutter, Bruder",3
"Frau, Bruder",3
"Mutter, Gott",3
"Bruder, Tod",3
"'nein, Alte",3
"'nein, Welt",3
"Mutter, Sohn",3
"Königstochter, Kleid",3
"Herz, Sprache",3
"Königstochter, Gnade",3
"Mutter, Sprache",3
"Mutter, Welt",3
"Herz, Baum",3
"Mädchen, Bruder",3
"Bruder, Kind",3
"Reihe, Tag",3
"Freude, Bruder",3
"Gott, Herz",3
"'nein, Kind",3
"Kind, Sohn",3
"Mutter, Jahr",3
"Bruder, Königstochter",3
"Mädchen, Blume",3
"Mutter, Schloß",3
"Ei, Haus",3
"Wagen, Hahnchen",3
"Ente, Ei",3
"Huhnchen, Hahnchen",3
"Frau, Pferd",3
"Wiese, Feld",3
"Feld, Tag",3
"Bett, Alte",3
"Tochter, Glück",3
"Tag, Stein",3
"Morgen, Jäger",3
"Baum, Stein",3
"Welt, Tier",3
"Welt, Jäger",3
"Welt, Glück",3
"Tag, Stiefmutter",3
"Gott, Gnade",3
"Zeit, Nacht",3
"Nacht, Alte",3
"Tochter, Auge",3
"Königin, Auge",3
"Hexe, Alte",3
"Hexe, Tier",3
"Morgen, Schloß",3
"Kind, Stiefmutter",3
"Hand, Auge",3
"Hand, Alte",3
"Morgen, Türe",3
"Tag, Glück",3
"Welt, Leute",3
"Pfarrer, Herr",3
"Pfarrer, Fuß",3
"Stück, Geld",3
"Katze, Herr",3
"Löwe, Wolf",3
"Herr, Gast",3
"Fuchs, Schwanz",3
"Fuchs, Frau",3
"Wand, Haus",3
"Alte, Türe",3
"Hochzeit, Tod",3
"Finger, Ring",3
"Faß, Wein",3
"Mädchen, Weg",3
"Gevatter, Welt",3
"Kranke, Mann",3
"Kind, Tod",3
"Kranke, Tod",3
"Hexe, Frau",3
"Huhn, Herr",3
"Arbeit, König",3
"Fuchs, Herz",3
"Fuchs, Feld",3
"Weg, Sohn",3
"Braut, Mann",3
"Gold, Haus",3
"Zeit, Haus",3
"Hand, Gans",3
"Vogel, Welt",3
"Jahr, De",3
"Weg, Tochter",3
"Gold, Feder",3
"Frau, Haustür",3
"Bauer, Frau",3
"Stuhl, Tisch",3
"König, Ecke",3
"Stuhl, Fuß",3
"Frosch, Haus",3
"Wald, Brunnen",3
"Tür, König",3
"Wand, Bett",3
"Brunnen, Haus",3
"Stuhl, König",3
"Wald, Tür",3
"Freude, Königstochter",3
"'nein, Herz",3
"Tür, Kind",3
"Wasser, Herz",3
"Morgen, Kopf",3
"Wasser, Königstochter",3
"Stein, Kopf",3
"König, Frosch",3
"Pferd, Kopf",3
"Herz, Königssohn",3
"Wasser, Frosch",3
"Zeit, Tochter",3
"Ding, Kind",3
"Katze, Haus",3
"'er, Katze",3
"Kind, Name",3
"Gevatter, Kind",3
"Ding, Haar",3
"Gold, Finger",3
"Königin, Sohn",3
"Arbeit, Frau",3
"Sprache, Nacht",3
"Jungfrau, Herz",3
