Characters,TaleDistributionFrequency
"Wirt, Leben",2
"Kammer, Nacht",2
"Feuer, Gesicht",2
"Feuer, Hund",2
"Vetter, Mann",2
"Taler, Mann",2
"Mir_Es, Auge",2
"Mensch, Junge",2
"Messer, Nacht",2
"Feuer, Kleid",2
"Hochzeit, Welt",2
"Gott, Ei",2
"Brot, Ecke",2
"Wasser, Gemahlin",2
"Weg, Junge",2
"Gott, Mir_Es",2
"Bett, Treppe",2
"Vater, Mensch",2
"Vater, Bein",2
"Axt, Junge",2
"Vater, 'siehst",2
"Wirt, Auge",2
"Vater, Ecke",2
"Turm, Treppe",2
"Gold, Gemahlin",2
"Brot, Sohn",2
"Vater, Ei",2
"Baum, Abend",2
"Mir_Es, Schloß",2
"Alte, Junge",2
"Baum, Junge",2
"Morgen, Junge",2
"'siehst, Mann",2
"'nein, Junge",2
"Berg, Bett",2
"Morgen, Taler",2
"Welt, Junge",2
"Ding, Schloß",2
"Mir_Es, Tag",2
"Taler, Tag",2
"Mir_Es, 'siehst",2
"Messer, König",2
"Mensch, Nacht",2
"Wirt, Stube",2
"Ding, Brot",2
"Mir_Es, Mann",2
"Finger, Tag",2
"Mir_Es, Tochter",2
"Stück, Mir_Es",2
"Schloß, Alte",2
"Keller, Alte",2
"Morgen, Feuer",2
"Stück, Welt",2
"Hochzeit, Tochter",2
"Leute, Sohn",2
"Bett, Tisch",2
"Stimme, Fuß",2
"Mutter, Brunnen",2
"Haar, Tag",2
"Wald, Pfote",2
"Stück, Wolf",2
"Bein, Brunnen",2
"Freude, Wolf",2
"Wiese, Baum",2
"Bein, Wolf",2
"Mutter, Hochzeit",2
"Stimme, Wolf",2
"Mutter, Freude",2
"Türe, Haustür",2
"Schneider, Hochzeit",2
"Stuhl, Haustür",2
"Wald, Türe",2
"Fuß, Pfote",2
"Kind, Fuß",2
"Wolf, Pfote",2
"Mutter, Wolf",2
"Stück, Kind",2
"Haar, Wolf",2
"Sprache, Königstochter",2
"Glück, Tisch",2
"Mädchen, Brunnen",2
"Land, Schloß",2
"Tier, Glück",2
"Kammer, Königstochter",2
"Vogel, König",2
"Kammer, Sohn",2
"Leben, Baum",2
"Vater, Königin",2
"Ding, Tag",2
"Jungfrau, Pferd",2
"Leben, Herr",2
"Sprache, Kirche",2
"Wirt, Gans",2
"Asche, Holz",2
"Faß, Mann",2
"Mädchen, Herr",2
"Wasser, Asche",2
"Wasser, Braut",2
"Faß, Tag",2
"Mensch, Gans",2
"Schloß, Koch",2
"Ring, Gesicht",2
"Stück, König",2
"Koch, Tag",2
"Vater, Braut",2
"Braut, Frau",2
"Sprache, Koch",2
"Braut, Reich",2
"Koch, Kleid",2
"Finger, Kleid",2
"Zeit, Koch",2
"Schloß, Kind",2
"Vater, Königstochter",2
"Braut, De",2
"Braut, Jagd",2
"Vater, Bräutigam",2
"Jahr, Geld",2
"Herrgott, De",2
"Geld, De",2
"Leute, Zahn",2
"Sack, Herr",2
"Hans, Herr",2
"Soldat, Tochter",2
"Bein, Zeit",2
"Hans, Erde",2
"Mutter, Diener",2
"Sprache, Gesicht",2
"Fuchs, Mir_Es",2
"Fuchs, Bauer",2
"Wald, Bein",2
"Sprache, Tag",2
"Fuchs, Zeit",2
"Fuchs, Welt",2
"Wald, Hirsch",2
"Pferd, Auge",2
"Haus, Tisch",2
"Bier, Trunk",2
"Mir_Es, Sprache",2
"Frau, Mir_Es",2
"Sprache, Fuß",2
"Mir_Es, Haus",2
"Stall, Mann",2
"Frau, Hund",2
"Trunk, Tag",2
"Frau, Stall",2
"Mir_Es, Butter",2
"Brot, Butter",2
"Pfarrer, Feld",2
"Mir_Es, Käse",2
"Käse, Brot",2
"Berg, Sprache",2
"Trunk, Mir_Es",2
"Tag, Butter",2
"Teufel, Name",2
"Weg, Sprache",2
"Feld, Kleid",2
"Feuer, Butter",2
"Keller, Trunk",2
"Käse, Butter",2
"Trunk, Brot",2
"Weg, Gold",2
"Morgen, Vogel",2
"Berg, Herz",2
"Gold, Fuß",2
"Fuchs, Jäger",2
"Leben, Tochter",2
"Keller, König",2
"Löwe, Jäger",2
"Koch, Herr",2
"Kugel, Sprache",2
"Tier, Tod",2
"Schrecken, Jäger",2
"Fuchs, Löwe",2
"Fuchs, Junge",2
"Bruder, Geld",2
"Leute, Jäger",2
"Diener, Mann",2
"Wirt, Mann",2
"Jungfrau, Königstochter",2
"'nein, Jäger",2
"Ding, Tier",2
"Ohr, König",2
"Messer, Bruder",2
"Sprache, Wein",2
"Hexe, Bruder",2
"Fuchs, Hund",2
"Feuer, Spieß",2
"König, Löwe",2
"Morgen, Bruder",2
"Jungfrau, Tier",2
"Reich, Sprache",2
"Frau, Tod",2
"Tier, Kleid",2
"Reich, Königstochter",2
"Königstochter, Jäger",2
"Kugel, Jäger",2
"Reich, Jäger",2
"Bruder, Stein",2
"Jäger, Kleid",2
"Sprache, Alte",2
"Bruder, Tor",2
"Bruder, Fuß",2
"Stück, Tier",2
"Diener, Tochter",2
"Huhn, Tier",2
"Sprache, Diener",2
"Herz, Kopf",2
"Sprache, Tochter",2
"Löwe, Diener",2
"Tier, Königin",2
"Tochter, Bräutigam",2
"Messer, Tag",2
"Löwe, Sprache",2
"Tochter, Herr",2
"Gnade, Jäger",2
"Erde, Ohr",2
"Diener, Jäger",2
"Bein, König",2
"Hexe, Stein",2
"Weg, Königstochter",2
"Kuh, Kopf",2
"Sprache, Lamm",2
"Wasser, Lamm",2
"Bauer, Faß",2
"Herde, Wiese",2
"Bauer, Sprache",2
"Bauer, Lamm",2
"Schlüssel, Bett",2
"Gevatter, Frau",2
"Herz, Kuh",2
"Dümmling, Tod",2
"Ei, Dümmling",2
"Dümmling, Pferd",2
"Dümmling, Mensch",2
"Mensch, Pferd",2
"Erde, Schloß",2
"Dümmling, Feder",2
"Dümmling, Zeit",2
"Reich, Dümmling",2
"König, Verstand",2
"Hand, Dümmling",2
"Dümmling, Sohn",2
"Keller, Tag",2
"Trunk, Stück",2
"Vater, Asche",2
"Asche, Mutter",2
"Reich, Tag",2
"Gold, Gans",2
"Bruder, Wein",2
"Männlein, Wein",2
"Haar, Alte",2
"Hand, Drachen",2
"Teufel, Wald",2
"Ding, Wein",2
"Teufel, Baum",2
"Teufel, Haus",2
"Frau, Eltern",2
"Teufel, Gold",2
"Jahr, Leute",2
"Jahr, Junge",2
"Brunnen, Kopf",2
"Teufel, Tochter",2
"Haar, Tochter",2
"Teufel, 'er",2
"Kind, Tochter",2
"Teufel, König",2
"Brief, Königin",2
"Wasser, Königin",2
"Knabe, Leben",2
"'nein, Königin",2
"Leute, Tochter",2
"Teufel, Kopf",2
"Königin, Königstochter",2
"Wasser, Haar",2
"Tag, Drachen",2
"Kind, Eltern",2
"Wald, 'er",2
"Wasser, 'nein",2
"Jahr, Herr",2
"König, Knabe",2
"Wasser, Jahr",2
"Ding, Kopf",2
"Frau, Ding",2
"Morgen, Weg",2
"Weg, Tor",2
"Teufel, Nacht",2
"Brief, König",2
"Wein, Stein",2
"Teufel, Haar",2
"Gold, Eltern",2
"Haar, Wein",2
"Haar, Kopf",2
"Gold, Jahr",2
"Brief, Jahr",2
"Mutter, Engel",2
"Mutter, Gesicht",2
"Teufel, Welt",2
"Gott, Engel",2
"Gott, Königin",2
"Mädchen, Müllerstochter",2
"König, Hauschen",2
"Gnade, Haus",2
"Teufel, Kind",2
"Mutter, Leben",2
"Engel, Sohn",2
"Welt, Gesicht",2
"Hand, Mensch",2
"Jungfrau, Gnade",2
"Königin, Hauschen",2
"Gott, Hauschen",2
"König, Himmel",2
"Wasser, Himmel",2
"Teufel, Mensch",2
"Frau, Müller",2
"Frau, Engel",2
"König, Garten",2
"Mensch, Gemahlin",2
"Haus, Hauschen",2
"Feld, Kind",2
"Müller, Mann",2
"Vater, Müller",2
"Wald, Mensch",2
"Mann, Holz",2
"Teufel, Auge",2
"Brief, Kind",2
"Teufel, Müller",2
"Engel, Königin",2
"Haus, Stein",2
"Weg, Mensch",2
"Gott, Jungfrau",2
"Jungfrau, Haus",2
"Hand, Herr",2
"Geist, Schloß",2
"Frau, Hauschen",2
"Zeit, Himmel",2
"Jungfrau, Herr",2
"Gott, Jahr",2
"Hand, Mund",2
"Engel, Jahr",2
"Schloß, Gemahlin",2
"Hans, Bein",2
"Stück, Hans",2
"Gesicht, Kopf",2
"Hans, Abend",2
"Hans, Tag",2
"Grethel, Abend",2
"Hans, Gut",2
"Auge, Gesicht",2
"Hans, Auge",2
"Jahr, Meister",2
"Meister, Leute",2
"Mensch, Leute",2
"Turm, Tier",2
"Vater, Hund",2
"Hund, Sohn",2
"Jahr, Mensch",2
"Jüngling, Tier",2
"Frosch, Jahr",2
"Meister, Junge",2
"Hund, Tier",2
"Morgen, Hund",2
"Magd, Mann",2
"Knecht, Mann",2
"Hans, Geld",2
"Vater, Tisch",2
"Frau, Weile",2
"Mutter, Tisch",2
"Bier, Zeit",2
"Gott, Hans",2
"Keller, Bier",2
"Keller, Magd",2
"Hahn, Bier",2
"Geld, Brot",2
"Hans, Feld",2
"Weile, Mann",2
"Frau, Magd",2
"Hochzeit, Hans",2
"Krug, Zeit",2
"Knecht, Kind",2
"Keller, Krug",2
"Mutter, Bier",2
"Keller, Zeit",2
"Haus, Haustür",2
"Hans, Frau",2
"Vater, Bier",2
"Keller, Kopf",2
"Magd, Knecht",2
"Bier, Frau",2
"Meister, Herr",2
"Himmel, Herr",2
"Gott, Garten",2
"Schneider, Meister",2
"Erde, Himmel",2
"Erde, Herr",2
"Tag, Himmel",2
"Kind, Kleid",2
"Tor, Himmel",2
"Schneider, Leute",2
"Wirt, Tier",2
"Ranzen, Welt",2
"Wirt, Erde",2
"Zeit, Meister",2
"Wirt, Bruder",2
"Herz, Wein",2
"'nein, Gast",2
"Bruder, Stube",2
"Stück, Erde",2
"Reihe, Leute",2
"Wirt, Herr",2
"Nacht, Gast",2
"Sack, Gast",2
"Wirt, Gnade",2
"Wand, Junge",2
"Fuchs, Gesicht",2
"Geselle, Nacht",2
"Wagen, Meister",2
"Tier, Haustür",2
"Erde, Tier",2
"Meister, Sack",2
"Wirt, Gast",2
"Gold, Meister",2
"Welt, Tisch",2
"Wein, Alte",2
"Geselle, Gold",2
"Bruder, Abend",2
"Wirt, Stall",2
"Geselle, Sack",2
"Sohn, Alte",2
"Schneider, Sohn",2
"Stube, Tisch",2
"'nein, Mund",2
"Mund, Gast",2
"Welt, Meister",2
"Sack, Tag",2
"Geselle, Ding",2
"Tüchlein, Deck",2
"Gold, Müller",2
"Wirt, Hand",2
"Bruder, Auge",2
"Messer, Gast",2
"Arbeit, Meister",2
"Reihe, Sohn",2
"Tier, Sohn",2
"Meister, Holz",2
"Ding, Sack",2
"Wirt, Bett",2
"Nacht, Koch",2
"Deck, Gast",2
"Wand, Koch",2
"Wein, Sohn",2
"Wirt, Wand",2
"Welt, Müller",2
"Bett, Koch",2
"Hand, Tier",2
"Kammer, Wolf",2
"Meister, Mann",2
"Weg, Bauer",2
"Vater, Sense",2
"Nacht, Wolf",2
"Wagen, Mann",2
"Stall, Kuh",2
"Pfarrer, Mann",2
"Hand, Baum",2
"Vater, Ohr",2
"Vöglein, Baum",2
"Königin, Mann",2
"Schneider, König",2
"Käse, Haus",2
"Schneiderlein, Ei",2
"Frau, Diener",2
"Freude, Brot",2
"Tier, Türe",2
"Schneiderlein, Riese",2
"Ding, Tor",2
"Erde, Baum",2
"Nacht, Diener",2
"Vogel, Stein",2
"Königstochter, Tag",2
"Erde, Mund",2
"Vogel, Erde",2
"Schneiderlein, Welt",2
"Auge, Stein",2
"Jäger, Tochter",2
"Frau, Ohr",2
"Schneiderlein, Ecke",2
"Schneiderlein, König",2
"Hochzeit, Jäger",2
"Weg, Berg",2
"Freude, Ei",2
"Weg, Haar",2
"Schneider, Vater",2
"Schneider, Freude",2
"Schneider, Erde",2
"Schneider, Zeit",2
"Wald, Schneiderlein",2
"Schneiderlein, Frau",2
"Frau, Himmel",2
"Schuh, Haus",2
"Brot, Kleid",2
"Mann, Himmel",2
"König, Stiefmutter",2
"Braut, Sohn",2
"Wasser, Abend",2
"Vöglein, Tag",2
"Asche, Herd",2
"Braut, Gesicht",2
"Vogel, Tag",2
"Morgen, Schuh",2
"Schuh, Himmel",2
"Asche, Haus",2
"Mutter, Kammer",2
"Braut, Land",2
"Herd, Abend",2
"Aschenputtel, Haus",2
"Land, Sohn",2
"Baum, Kleid",2
"Asche, Erbse",2
"'nein, Tochter",2
"Jungfrau, Land",2
"Stube, Kleid",2
"Stück, Messer",2
"Jungfrau, Sohn",2
"Schnee, Mann",2
"Tüchlein, Mann",2
"Königssohn, Haus",2
"Mutter, Königssohn",2
"Aschenputtel, Tochter",2
"Mädchen, Messer",2
"Kleid, Himmel",2
"Gans, Brot",2
"Messer, Königin",2
"Königssohn, Pferd",2
"Fremde, Auge",2
"Mädchen, Kunst",2
"Wirt, Tisch",2
"Gold, Diener",2
"Mantel, Nacht",2
"Gold, Nacht",2
"Mädchen, Diener",2
"Hexe, Suppe",2
"Magd, Bett",2
"Suppe, Tisch",2
"Mantel, Pferd",2
"Jüngling, Nacht",2
"Königstochter, Herr",2
"Abend, Kohle",2
"Wirt, Diener",2
"Pferd, Herr",2
"Hexe, Kunst",2
"Nacht, Stimme",2
"Königssohn, Diener",2
"Mädchen, Stimme",2
"Morgen, Leben",2
"Hund, Leben",2
"Wasser, Maus",2
"Weg, Hund",2
"Haar, Leben",2
"Wasser, Tisch",2
"Leben, Maus",2
"Maus, Tisch",2
"Frau, Zahn",2
"Frau, Brunnen",2
"Gold, Tor",2
"Welt, Bett",2
"Welt, Haus",2
"Haus, Zahn",2
"Frau, Feder",2
"Hahn, Haus",2
"Zwerg, Haus",2
"Zeit, Leute",2
"Mädchen, Leute",2
"Mädchen, Junge",2
"Zwerg, Zwerglein",2
"Zwerg, Herr",2
"Schlüssel, Bruder",2
"Haus, Zwerglein",2
"Mädchen, Ring",2
"Mutter, Ring",2
"Bruder, Leute",2
"Ring, Türe",2
"Krug, Brunnen",2
"Ohr, Bett",2
"Ding, Wolf",2
"Ei, Wolf",2
"Wein, Wolf",2
"Ei, Bett",2
"Baum, Auge",2
"Stück, Wein",2
"Stück, Kuchen",2
"Bett, Wolf",2
"Wurst, Haus",2
"Mutter, Jäger",2
"Wasser, Haus",2
"Jäger, Haus",2
"Bett, Kuchen",2
"Wein, Jäger",2
"'guten, Türe",2
"Freude, Auge",2
"Wald, Kuchen",2
"Blume, Zeit",2
"Ei, Auge",2
"Kuchen, Tag",2
"Hahn, Katze",2
"Sack, Mann",2
"Asche, Hund",2
"Wald, Räuber",2
"Katze, Kopf",2
"Asche, Türe",2
"Asche, Katze",2
"Hexe, Mann",2
"Suppe, Kopf",2
"Katze, Herd",2
"Bein, Kochin",2
"Hund, Kopf",2
"Stube, Esel",2
"Esel, Gast",2
"Finger, Türe",2
"Maus, Zahn",2
"Sack, Esel",2
"Hexe, Finger",2
"Brot, Herr",2
"Finger, Gesicht",2
"Räuber, Tier",2
"Abend, Kopf",2
"Ei, Esel",2
"Katze, Gesicht",2
"Jahr, Sack",2
"Asche, Weg",2
"Hund, Mann",2
"Tag, Gesicht",2
"Türe, Gesicht",2
"Jahr, Esel",2
"Räuber, Finger",2
"Räuber, Licht",2
"Messer, Haus",2
"Räuber, Bein",2
"Mann, Gesicht",2
"Hahn, Tod",2
"Räuber, Haus",2
"Hund, Brot",2
"Weg, Gesicht",2
"Licht, Auge",2
"Morgen, Esel",2
"Abend, Kochin",2
"Morgen, Tier",2
"Tier, Land",2
"Hand, Schwein",2
"Wein, Leute",2
"Wasser, Brücke",2
"Bruder, Land",2
"Frau, Gemahlin",2
"Bruder, Glück",2
"Wald, Gemahlin",2
"Bruder, Frieden",2
"Weg, Hochzeit",2
"Asche, König",2
"Vater, Feder",2
"Zeit, Jäger",2
"Mädchen, Gemahlin",2
"Mädchen, Leben",2
"Schlüssel, Frau",2
"Königssohn, Schloß",2
"Zeit, Königstochter",2
"Haar, Koch",2
"Huhn, Feuer",2
"Kammer, Stube",2
"Huhn, Koch",2
"Ring, Schloß",2
"Jahr, Land",2
"Hand, Jüngling",2
"Land, Tochter",2
"Hund, Stall",2
"Hund, Koch",2
"Wasser, Welt",2
"Wand, Stall",2
"Freude, Jahr",2
"Feuer, Koch",2
"Schloß, Haus",2
"Kind, Baum",2
"Haus, Kochin",2
"Vater, Glück",2
"Reich, Leute",2
"Arbeit, Koch",2
"Ei, Name",2
"Freude, Glück",2
"Zeit, Name",2
"Wald, Eine",2
"Vater, Kleid",2
"König, Reihe",2
"Jahr, Gemahlin",2
"Haus, Glück",2
"Herz, Jäger",2
"Jäger, Hirschfänger",2
"Gott, Freude",2
"Wand, Spieglein",2
"Wald, Königssohn",2
"Freude, Schloß",2
"Herz, Nacht",2
"Mir_Es, Kopf",2
"König, Name",2
"Ranzen, Bruder",2
"Erde, Gast",2
"Ranzen, König",2
"Weg, Ranzen",2
"Weg, Glück",2
"Gold, Türe",2
"Ranzen, Herz",2
"Weg, Soldat",2
"Land, Leute",2
"Bruder, Türe",2
"Stück, Soldat",2
"Geselle, 'nein",2
"Weg, Tüchlein",2
"Berg, Hase",2
"Fuchs, Berg",2
"Bein, Leute",2
"Bein, Hase",2
"Sprache, Abend",2
"Morgen, Müller",2
"Sprache, Türe",2
"Fuchs, Bein",2
"Fuchs, Reihe",2
"Männlein, Tag",2
"Nacht, Leute",2
"Morgen, Männchen",2
"Fuchs, Leute",2
"Feuer, Stube",2
"Ente, See",2
"Hochzeit, Feld",2
"Mädchen, Feld",2
"Kind, Axt",2
"Erde, Kopf",2
"Morgen, Blume",2
"Vogel, Pferd",2
"Vogel, Jungfrau",2
"Fuchs, 'siehst",2
"Schloß, Leute",2
"Freude, Pferd",2
"Fuchs, Tod",2
"Fuchs, Mann",2
"Berg, Leben",2
"Vogel, Schloß",2
"Fuchs, König",2
"Fuchs, Abend",2
"Weg, Kleid",2
"Vogel, Leben",2
"Fuchs, Königstochter",2
"Fuchs, Mensch",2
"Vogel, Kammer",2
"Baum, Herr",2
"Fuchs, Kopf",2
"Garten, Sohn",2
"Fuchs, Leben",2
"Stall, Schloß",2
"Jungfrau, Königssohn",2
"König, Feder",2
"Sprache, Brot",2
"Frau, Mund",2
"Stück, Hund",2
"Hund, Wagen",2
"Sperling, Pferd",2
"Mund, Kopf",2
"Ding, Mensch",2
"Wiese, Gans",2
"Freude, Hans",2
"Gold, Kopf",2
"Ei, Kopf",2
"Gold, Hans",2
"Hans, Bauer",2
"Weg, Hans",2
"Milch, Hans",2
"Gut, Tag",2
"Abend, Herr",2
"Welt, Ohr",2
"Vater, Wolf",2
"Leute, Wolf",2
"Pferd, Fuhrmann",2
"Stall, Herr",2
"Kuh, Stimme",2
"Vater, Kuchen",2
"Wolf, Mann",2
"'guten, Herr",2
"Frau, Herd",2
"Messer, Wolf",2
"Vater, Geld",2
"Vogel, Kopf",2
"Mutter, Bauer",2
"Bauer, Pferd",2
"Wald, Bauer",2
"Kuh, Herr",2
"Vater, Wagen",2
"Fuhrmann, Wagen",2
"Hand, Magd",2
"Milch, Kuh",2
"Gott, Pfarrer",2
"Magd, Kuh",2
"Hund, Hase",2
"Fuchs, Katze",2
"Kammer, Herr",2
"Hochzeit, Herr",2
"Katze, Wolf",2
"Schwanz, Herr",2
"Schwanz, Türe",2
"Hund, Wolf",2
"Fuchs, Türe",2
"Freier, Türe",2
"Fuchs, Kammer",2
"Löwe, Hase",2
"Hirsch, Wolf",2
"'er, Fuchs",2
"Hirsch, Löwe",2
"'er, Herr",2
"Wolf, Hase",2
"Mädchen, Arbeit",2
"Arbeit, Hand",2
"Mädchen, Ecke",2
"Auge, Tisch",2
"Berg, Jahr",2
"Arbeit, Ecke",2
"Wasser, Herd",2
"Berg, Mann",2
"Arbeit, Geld",2
"Auge, Kopf",2
"Herz, Bräutigam",2
"Braut, Tod",2
"Mädchen, Erbse",2
"Weg, Bräutigam",2
"Haus, Bräutigam",2
"Tag, Bräutigam",2
"Wald, Braut",2
"Asche, Erde",2
"Korb, Haus",2
"Mauschen, Ei",2
"Huhnchen, Wagen",2
"Katze, Ei",2
"Feuer, Haus",2
"Asche, Gesicht",2
"Feuer, Herr",2
"Ei, Treppe",2
"Gevatter, Herr",2
"Wasser, Tod",2
"Tod, Fuß",2
"Gevatter, Mann",2
"Mann, Kunst",2
"Tür, Mann",2
"Fisch, Haus",2
"Magd, Haus",2
"Fisch, Mann",2
"Finger, Treppe",2
"Kranke, Fuß",2
"Treppe, Kopf",2
"Geld, Kopf",2
"Finger, Herr",2
"Tod, Kopf",2
"Jäger, Mann",2
"Jäger, Kopf",2
"Haus, Eltern",2
"Hexe, Kopf",2
"Köhler, Mann",2
"Hexe, Jäger",2
"Mädchen, Ding",2
"Nacht, Tod",2
"Hand, Tod",2
"Gold, Mensch",2
"Gevatter, Zeit",2
"Brot, Mann",2
"Tür, Tier",2
"Frau, Wurst",2
"Ei, Kind",2
"Geld, Kreuzer",2
"Welt, Licht",2
"Fuchs, Ei",2
"Stück, Kreuzer",2
"Vater, Huhn",2
"Fuchs, Huhn",2
"Huhn, Kind",2
"Silber, Haus",2
"Bruder, Gast",2
"Braut, Schlüssel",2
"Haus, Gast",2
"Schlüssel, Haus",2
"Türe, Tochter",2
"Schnee, Kind",2
"Freude, Ehre",2
"Welt, De",2
"Gans, Tochter",2
"Feder, Tochter",2
"Geselle, Tochter",2
"Mensch, Awerst",2
"Welt, Ehre",2
"Vogel, Gans",2
"Vogel, Tochter",2
"Gans, Auge",2
"Mensch, De",2
"Freude, De",2
"Finger, Schnee",2
"Auge, Herr",2
"Bauer, Wolf",2
"Ei, Jahr",2
"Feld, Wolf",2
"Vater, Feld",2
"Frau, Ei",2
"Kind, Herr",2
"Jahr, Tier",2
"Tier, Zeit",2
"Ei, Zeit",2
"Weg, Gemahlin",2
"Zeit, Land",2
"Fisch, Sprache",2
"Königin, Gemahlin",2
"Bruder, Königin",2
"Hand, Haar",2
"Pferd, Alte",2
"Turm, Jahr",2
"Turm, Tag",2
"Königssohn, Kind",2
"Turm, Leben",2
"Turm, König",2
"Knabe, Jahr",2
"Treppe, Türe",2
"Frau, Königssohn",2
"Gold, Haar",2
"Garten, Kraut",2
"Schnee, Kleid",2
"Männlein, König",2
"Mensch, Bett",2
"Haus, Stiefmutter",2
"König, Männchen",2
"Mädchen, Besen",2
"Bett, Fuß",2
"Geist, Nacht",2
"Faß, Mensch",2
"Sohn, Tochter",2
"Wein, Tochter",2
"Ei, Magd",2
"Faß, Alte",2
"Wasser, Frau",2
"Männchen, Gemahlin",2
"Schnee, Haus",2
"Mädchen, Auge",2
"Gott, Erde",2
"Mädchen, Wagen",2
"Magd, Besen",2
"Faß, Bett",2
"Wald, Kleid",2
"Mädchen, Hauschen",2
"Frau, Berg",2
"Ei, Besen",2
"Männchen, Tag",2
"Tochter, Kopf",2
"Mädchen, Mund",2
"Magd, Türe",2
"Berg, Alte",2
"Mädchen, Männlein",2
"Wagen, Kind",2
"Berg, Tochter",2
"Wasser, Freude",2
"Nacht, Gemahlin",2
"Tag, Gemahlin",2
"Geist, Gemahlin",2
"Mund, Haus",2
"Wasser, Morgen",2
"Wald, Brot",2
"Wald, Männlein",2
"Wagen, Schloß",2
"Zeit, Tisch",2
"Gut, Bräutigam",2
"Königssohn, Fuß",2
"Braut, Königin",2
"Hochzeit, Gut",2
"Hochzeit, Tisch",2
"Mädchen, Glück",2
"Mädchen, Kammer",2
"Mädchen, Flachs",2
"Flachs, Schloß",2
"Mädchen, Spinnrad",2
"Braut, Gut",2
"Gut, Glück",2
"Herz, Zeit",2
"Flachs, Frau",2
"Herz, Schloß",2
"Finger, Faden",2
"Hochzeit, Herz",2
"Bräutigam, Tisch",2
"Königssohn, Glück",2
"Grethel, Haus",2
"Wald, Bett",2
"Weg, Brot",2
"Morgen, Finger",2
"Gans, Kopf",2
"Stück, Grethel",2
"Alte, Hauschen",2
"Wald, Hand",2
"Kind, Brot",2
"Morgen, Auge",2
"Finger, Stallchen",2
"Haus, Ecke",2
"Hand, Hauschen",2
"Stallchen, Türe",2
"Erde, Nacht",2
"Erde, Abend",2
"Wasser, Koch",2
"Bruder, Stall",2
"Gott, Alte",2
"Kind, Hauschen",2
"Grethel, Kopf",2
"Stall, Grethel",2
"Weg, Holz",2
"Kind, Holz",2
"Vater, 'nein",2
"Feuer, Grethel",2
"Kind, Ecke",2
"Schwesterchen, Haus",2
"Weg, Hand",2
"Hexe, Türe",2
"Stall, Koch",2
"Tier, Auge",2
"Finger, Alte",2
"Frau, Tier",2
"Hand, Stall",2
"Jüngling, Zeit",2
"Freier, Jüngling",2
"Zeit, Diener",2
"Vater, Jüngling",2
"Kammer, Tochter",2
"Kammer, Mann",2
"Wein, Tod",2
"König, Tor",2
"Reich, Zeit",2
"Frau, Schiff",2
"König, Feld",2
"Schiff, Nacht",2
"Brot, Tisch",2
"Kammer, Tag",2
"Wald, Junge",2
"Freude, Baum",2
"Leute, Junge",2
"Diener, Tag",2
"Herz, Pferd",2
"Leben, Apfel",2
"Ring, Hand",2
"Jüngling, Apfel",2
"Fisch, Tag",2
"Jüngling, Pferd",2
"Freude, Jüngling",2
"Rabe, Pferd",2
"Freude, Leben",2
"Aufgabe, Königstochter",2
"Königin, Diener",2
"Ring, Koch",2
"Welt, Jüngling",2
"Jüngling, Baum",2
"Pferd, Königstochter",2
"Hand, Apfel",2
"Bein, Leben",2
"Weg, Leute",2
"Pferd, Leute",2
"Pferd, Leben",2
"Kind, Junge",2
"Brücke, Strohhalm",2
"Asche, Bruder",2
"Topf, Kohle",2
"Stroh, Leben",2
"Wasser, Strohhalm",2
"Strohhalm, Bach",2
"Land, Tod",2
"Feuer, Leben",2
"Wasser, Geist",2
"Tod, Glück",2
"Leben, Alte",2
"Wasser, Kohle",2
"De, Wöör",2
"He, Zeit",2
"Frau, Treppe",2
"Hand, Ehre",2
"Hand, Wöör",2
"Nacht, Awerst",2
"Bett, Land",2
"Hand, Tisch",2
"De, Gans",2
"Finger, De",2
"Wöör, Mann",2
"He, Hand",2
"Wöör, Ik",2
"Frau, Gans",2
"Frau, Ik",2
"Frau, Tisch",2
"Mann, Glück",2
"Ehre, Ik",2
"Ehre, Wöör",2
"Soldat, Mann",2
"Stück, De",2
"He, Mann",2
"Gott, De",2
"Reich, Mann",2
"De, Bett",2
"De, Land",2
"Awerst, Ik",2
"Frau, Eine",2
"Mann, Ik",2
"Awerst, Wöör",2
"He, Awerst",2
"Ehre, Bett",2
"He, Ehre",2
"Hand, De",2
"Awerst, Mann",2
"He, Wöör",2
"Wöör, Eine",2
"De, Ehre",2
"De, Himmel",2
"Ehre, Mann",2
"Ehre, Licht",2
"Gold, Soldat",2
"Morgen, Land",2
"He, Gold",2
"Frau, Wöör",2
"Gold, Wöör",2
"Frau, Awerst",2
"De, Ik",2
"Hand, Riese",2
"Stück, Riese",2
"Eine, Mann",2
"Wöör, Licht",2
"Gold, De",2
"Frau, Land",2
"He, Ik",2
"Schneiderlein, Herz",2
"Schneider, Tier",2
"Morgen, Zeit",2
"Ohr, Stimme",2
"Ohr, Zeit",2
"Schneider, Nacht",2
"Schiff, Herr",2
"König, Tisch",2
"Bett, Königstochter",2
"Schloß, Tod",2
"Reich, Glück",2
"Ding, Nacht",2
"Königin, Leben",2
"Schloß, Diener",2
"Braut, Stein",2
"Sprache, Stein",2
"Gold, Sprache",2
"Herz, Königstochter",2
"Freude, Hand",2
"Stuhl, Gold",2
"Königstochter, Sohn",2
"'er, Sprache",2
"Jahr, Bett",2
"Schloß, Frieden",2
"Schiff, Land",2
"Feuer, Pferd",2
"Silber, König",2
"Feuer, Stein",2
"Kammer, Bett",2
